"id","source_title","source_type","year","authors","target_or_class","orbit_regime","number_of_targets","brightness_type","mag_min","mag_max","mag_typical","band","range_km","phase_angle_deg","observation_condition","notes","citation_status","source_tier","doi_or_url","use_for_A9_sanity_check"
"E1","Optical Studies of Space Debris at GEO","AMOS_conference","2007","P. Seitzer et al.","GEO debris","GEO","50","apparent magnitude","12","18","R≈14.5-15 cataloged/uncataloged boundary","R-band","~36000","varies","MODEST 0.61m Schmidt + CTIO 0.9m","R≈14.5-15为编目目标与未编目碎片分界；主要目标群体为GEO碎片","A2_checked","T1","not_reported","indirect"
"E2","Comparison of GEO Objects Photometric Signatures with the AMR Values","conference_report","2009","V. Agapov et al.","GEO objects (ISON tracked)","GEO",">1500","apparent magnitude classified","10","18","Bright≤16.2; Faint 16.2-18","V/R broad","~36000","varies","ISON network 22-25cm survey telescopes","GEO区域探测分级；混合运行卫星/退役/碎片；光变振幅可达7-9 mag","A2_checked","T1/T2","not_reported","indirect"
"E3","Deep GEO Debris Survey with Magellan 6.5m","NASA_report","2011","P. Seitzer et al.","GEO faint debris","GEO","19","apparent magnitude faint","21","unknown","R>21 limiting","R-band","~36000","varies","Magellan 6.5m + IMACS f/2","深度极限星等R>21主要探测暗于15 mag的小型碎片；主要目标群体为GEO小型碎片","A2_checked","T1","not_reported","no"
"E4","DebrisWatch I: A survey of faint geosynchronous debris","journal_ASR","2021","J.A. Blake et al.","GEO faint debris","GEO","survey","apparent magnitude faint","unknown","unknown","unknown","unspecified","GEO","survey","Advances in Space Research 67:360-375","系统性暗弱GEO碎片巡天；主要目标群体为GEO碎片","A2_checked","T1","10.1016/j.asr.2020.08.009","no"
"E5","Galaxy 14 photometry case study","PNNL_report","2014","Pacific Northwest National Laboratory","Galaxy 14 GEO comsat","GEO","1","apparent magnitude regular","11","14","typical 11-14","visual","normalized ~40Mm","varies","PNNL-23994 report","典型大型GEO通信卫星个例；单次观测约13.8-14.3 mag","A2_checked","T2","https://www.pnnl.gov/main/publications/external/technical_reports/PNNL-23994.pdf","yes"
"E5b","Multi wavelength optical broad band photometric properties of a representative sample of geostationary satellites","journal_ASR","2020","H. R. Schmitt","Active GEO communications satellites","GEO","61","apparent magnitude quiescent","unknown","unknown","BVRI quiescent distribution","BVRI","unknown","~16.5 deg latitudinal solar phase","Outside glinting season; 2015-07-09 to 2015-07-11","61颗active GEO通信卫星多波段样本；最直接的大样本active GEO通信卫星多波段光度来源之一；具体分布需查全文图表","A2_checked","T1","10.1016/j.asr.2019.09.036","yes"
"E6","SSA Analysis of GEOS Photometric Signature Classifications and Solar Panel Offsets","AMOS_conference","2006","T. E. Payne et al.","GEOS over CONUS","GEO","36","photometric signature classification","unknown","unknown","unknown","unspecified","unknown","unknown","AMOS 2006; Boeing LTS / AFRL","36 GEOS光度签名分类系统；约80%卫星可归入两类光度签名；系统样本但重点是光变分类而非typical magnitude","A2_checked","T1/T2","https://amostech.com/TechnicalPapers/2006/NROC/Payne.pdf","yes"
"E7","Multicolour Optical Photometry of Active Geostationary Satellites","AMOS_conference","2015","A. Jolley et al.","Active geostationary satellites","GEO","6","apparent magnitude with glint","unknown","unknown","glint 1-10 mag amplitude","BVRI Bessel","unknown","varies","12 nights; 14-inch Celestron; RMC Canada","6颗active GEO多夜光变；glint增亮相对基线约1-10 mag；光照-观测几何至关重要","A2_checked","T1","https://amostech.com/TechnicalPapers/2015/Poster/Jolley.pdf","yes"
"E8","A comprehensive survey of the GEO-belt using simultaneous four-colour observations with STING","journal_ASR","2025","S. Airey et al.","Active geostationary objects","GEO","112","apparent magnitude multi-color","unknown","unknown","unknown","four-color","unknown","varies","2023-04 to 2023-05; full-night light curves","112颗active GEO系统光度研究；最新最大样本；识别短时标glinting features；具体星等分布需查全文图表","A2_checked","T1","10.1016/j.asr.2025.02.027","yes"
"E9","Reflectance spectroscopy characterization of space debris","journal_ASR","2017","A. Vananti et al.","Active GEO satellites","GEO","multiple","apparent magnitude constraint","unknown","15","usually brighter than 15 mag","unspecified","unknown","unknown","ESA Space Debris Telescope Tenerife 1-m class","Active GEO satellites通常亮于~15 mag；ESA权威观测支撑的active GEO亮度上限约束","A2_checked","T1","10.1016/j.asr.2017.02.033","yes"
