id,source_title,source_type,year,authors,target_or_class,orbit_regime,number_of_targets,brightness_type,mag_min,mag_max,mag_typical,band,range_km,phase_angle_deg,observation_condition,notes,citation_status,source_tier
S001,"Optical Studies of Space Debris at GEO – Survey and Follow-up with Two Telescopes",AMOS_conference,2007,"P. Seitzer et al. (U.Mich / NASA ODPO)",GEO debris (50 targets),GEO,50,apparent magnitude (regular),12,18,R≈14.5为编目/未编目分界,R-band,~36000,varies,"MODEST 0.61m + CTIO 0.9m at CTIO, Chile; 5s exposure","R≈14.5–15为编目目标分界；暗于此为未编目碎片。90+ 标定 BVRI 序列",可引用为R-band统计,T1
S002,"Comparison of GEO Objects Photometric Signatures with the AMR Values",conference_report,2009,"V. Agapov et al. (KIAM/ISON)","GEO objects (1500+ tracked)",GEO,>1500,apparent magnitude (classified),10,18,"Bright ≤16.2; Faint 16.2-18",V/R (broad),~36000,varies,"ISON network: 22-25cm survey telescopes","Bright ≤16.2可被小口径望远镜观测；光变振幅可达7-9 mag",可引用为系统样本,T1/T2
S003,"A New Search for Optically Faint GEO Debris",NASA_report/IADC,2011,"P. Seitzer et al. (NASA ODPO)","Magellan 6.5m GEO deep survey",GEO,19,"apparent magnitude (faint debris)","","","R>21 (limiting)",R-band,~36000,varies,"Magellan 6.5m + IMACS f/2, 6hr photometry, 0.5° FoV","探测率~10目标/hr/deg²，形态含恒亮度/亮度变化/快速glint体。对应~10cm碎片",可引用为极限探测,T1
S004,DebrisWatch I: A survey of faint geosynchronous debris,journal_paper,2021,"J.A. Blake et al. (U.Warwick)",GEO faint debris,GEO,survey,apparent magnitude (faint),"","","",unspecified,GEO,survey,"Advances in Space Research, 67:360","系统性暗弱GEO碎片巡天，侧重碎片群体下限",可引用为碎片下限,T1
S005,"Analysis of Faint Glints from Stabilized GEO Satellites",AMOS_conference,2013,"D. Hall et al. (PNNL)","GEO stabilized satellites (solar panel glint)",GEO,several,glint/flare amplitude,0.2 mag amplitude,several mag amplitude,varies,unspecified,normalized to 40Mm,specular direction,"AMOS 0.4m/1.6m/3.6m telescopes","glint 可产生数个星等振幅；Galaxy 14 常态约11-14mag（标化至40Mm）",可引用为glint峰值,T2
S006,"Galaxy 15 Photometry Before, During and After Anomaly",AMOS_conference,2011,"D. Hall et al. (PNNL/AMOS)",Galaxy 15 single GEO comsat,GEO,1,"apparent magnitude (regular + glint)","","","",I-band,normalized to 40Mm,varies,"AMOS 0.4m RME + 1.6m + 3.6m","姿态稳定期/自由漂移期/失控后多轴旋转期的光变差异；非系统样本",可引用为单案例,T2
S007,"The Steward Observatory LEO Satellite Photometric Survey",journal_paper (PASP),2023,"P. Seitzer et al. (U.Arizona)",Starlink/OneWeb/LEO sats,LEO,survey,apparent magnitude (regular),5.0,9.0,varies by class,Sloan g/r,550-1200,varies,Steward Observatory survey,"Starlink v1.5 550km ~5-7mag; OneWeb 1200km ~7-9mag",可引用为LEO对照,T1
S008,"三轴稳定GEO卫星漫反射光变特性",journal_paper (光子学报),2009,未记录,三轴稳定GEO,GEO,modeling,apparent magnitude,varies,varies,varies,unspecified,GEO,varies,理论建模,"漫反射光变特性理论分析，非观测统计",仅作背景,T3
S009,"GEO卫星空间目标光电监测仿真",master_thesis,2016,未记录,"2.8×1.8×2.9m cubic GEO target",GEO,simulation,apparent magnitude,11.7,12.5,~12,unspecified,~36000,varies,"中国西北(100°E,40°N)地面站仿真","仿真误差~3%；单仿真案例",仅作背景参考,T3
S010,"Sky & Telescope amateur GEO observing guide",amateur_astronomy_magazine,2000,未记录,GEO satellites (general),GEO,anecdotal,apparent magnitude,11,14,12.5,visual/broadband,~36000,varies,15-25cm telescope,"GEO卫星业余观测经验11-14等，有利太阳角~7等",仅作旁证,T3
