rank,yaw,pitch,roll,total_ocs,delta_mag_vs_max,delta_mag_vs_median,occlusion_ratio,part_sum_ocs,jinshuzhuti_ocs,jinshuzhuti_frac,taiyangnengban_ocs,taiyangnengban_frac,yinshenban_ocs,yinshenban_frac
1,300.0,15.0,0.0,14.823572679879598,-0.0,-7.948212088144434,0.5298134767496117,14.823572679879597,14.814767522353664,0.9994060030118188,0.0026151935024443904,0.00017642126894240934,0.00618996402348895,0.0004175757192387731
2,30.0,15.0,0.0,8.449004319038856,0.610368387342413,-7.33784370080202,0.6091159170518325,8.449004319038856,8.446334170998615,0.9996839689104875,0.00202101462377704,0.00023920151386630452,0.0006491334164653518,7.682957564628112e-05
3,210.0,15.0,0.0,8.096693759045928,0.6566129344320847,-7.291599153712349,0.6253126443907018,8.096693759045928,8.094053446738293,0.9996739024117486,0.0020210139136566914,0.0002496097757678854,0.0006192983939786082,7.648781248354675e-05
4,120.0,15.0,0.0,5.749970289520311,1.028218215970834,-6.9199938721736,0.817697521704905,5.749970289520312,5.741862814517956,0.9985899970618751,0.0026152015430255717,0.00045482000972977963,0.005492273459329623,0.0009551829283952376
5,305.0,15.0,0.0,2.8423229295420875,1.7931986711059293,-6.155013417038504,0.5294224326634793,2.8423229295420875,2.83394123732653,0.9970511119167912,0.0022291161095946005,0.0007842585676757434,0.006152576105963096,0.0021646295155330246
6,35.0,15.0,0.0,1.6319545855947066,2.395612045288394,-5.55260004285604,0.6104226891953992,1.6319545855947066,1.629585541282177,0.9985483393144384,0.0017227019067650453,0.0010556065235953053,0.0006463424057646572,0.00039605416196622967
7,215.0,15.0,0.0,1.5724911105475226,2.435911720104858,-5.5123003680395755,0.6238084065342245,1.5724911105475226,1.5701634631713028,0.9985197707251844,0.001722599326355782,0.0010954588644739578,0.0006050480498639136,0.00038477041034161593
8,300.0,20.0,0.0,1.3048944970940322,2.6384437184947047,-5.309768369649729,0.5314783175821185,1.3048944970940322,1.2966451064678781,0.9936781167791532,0.0020956654134294808,0.0016060037176158502,0.0061537252127245425,0.004715879503230902
9,300.0,10.0,0.0,1.2668000006276785,2.6706120803504256,-5.277600007794008,0.5425230089692562,1.2668000006276785,1.2586355365596171,0.993555048891683,0.0020108877013848177,0.0015873758291667635,0.006153576366676446,0.004857575279150182
10,125.0,15.0,0.0,1.1257068771049437,2.7988189194768616,-5.149393168667572,0.8140011760323508,1.1257068771049437,1.1179076515204356,0.9930717083255581,0.0022291241390015462,0.001980199450086274,0.0055701014455065406,0.00494809222435555
11,305.0,20.0,0.0,0.7588633865283577,3.2269732186668865,-4.721238869477547,0.5268209470225529,0.7588633865283577,0.7508532709749887,0.9894445881886413,0.0018906436921701146,0.0024914150896374336,0.006119471861198963,0.00806399672172125
12,30.0,20.0,0.0,0.733680703358671,3.263614475679146,-4.684597612465288,0.6197240640648743,0.7336807033586709,0.73138081507046,0.9968652735751636,0.0016535400113724859,0.002253759712914417,0.000646348276838356,0.000880966711921792
13,210.0,20.0,0.0,0.7186502875121114,3.2860882084803844,-4.662123879664049,0.6316220538555543,0.7186502875121114,0.7163785723692315,0.9968389143059495,0.001654600066500195,0.00230237167541982,0.0006171150763796015,0.000858714018630656
14,305.0,10.0,0.0,0.710821377563963,3.2979810163916623,-4.6502310717527715,0.5389535185016274,0.710821377563963,0.7028987992817028,0.9888543331245728,0.0018064477324978329,0.0025413525669256906,0.006116130549762388,0.008604314308501549
15,210.0,10.0,0.0,0.7066704354203339,3.3043399117454593,-4.6438721763989745,0.6241705797197312,0.706670435420334,0.7044948522200956,0.9969213609467837,0.001559667584748922,0.002207065000280106,0.0006159156154895034,0.0008715740529362195
16,30.0,10.0,0.0,0.7029185297738337,3.310119737663284,-4.63809235048115,0.6312765808130871,0.7029185297738337,0.7007132744910667,0.9968627156784776,0.0015593931034796325,0.002218454966582503,0.0006458621792874511,0.0009188293549399804
17,120.0,20.0,0.0,0.5427605680567708,3.5908614968149886,-4.357350591329444,0.8083235697763598,0.5427605680567708,0.5352036845178555,0.9860769481357665,0.0020956744446861643,0.0038611398248572923,0.005461209094229067,0.010061912039376163
18,120.0,10.0,0.0,0.5153281212987983,3.6471726115743746,-4.301039476570059,0.8113862512417337,0.5153281212987983,0.5078592983311845,0.9855066652508891,0.002010989350345487,0.0039023473923315588,0.005457833617268322,0.010590987356779144
19,35.0,20.0,0.0,0.42884061862911643,3.8466424330447997,-4.101569655099635,0.6156469619180218,0.42884061862911643,0.4266995970522361,0.9950074188780798,0.0014970780274988723,0.0034909893383808003,0.0006439435493814605,0.0015015917835394603
20,35.0,10.0,0.0,0.4285273563794544,3.8474358384228675,-4.100776249721567,0.6062233031161799,0.4285273563794543,0.4264859038024767,0.9952361207596511,0.0013983890314970715,0.00326324331616024,0.0006430635454805769,0.0015006359241885926
