yaw,pitch,roll,ocs_no_occ,ocs_with_occ,occlusion_ratio,visible_faces_no_occ,visible_faces_with_occ,ocs_no_occ_jinshuzhuti,ocs_no_occ_taiyangnengban,ocs_no_occ_yinshenban,ocs_with_occ_jinshuzhuti,ocs_with_occ_taiyangnengban,ocs_with_occ_yinshenban,visible_faces_no_occ_jinshuzhuti,visible_faces_no_occ_taiyangnengban,visible_faces_no_occ_yinshenban,visible_faces_with_occ_jinshuzhuti,visible_faces_with_occ_taiyangnengban,visible_faces_with_occ_yinshenban
0.0,-90.0,0.0,0.03815827828127251,0.011999979034730247,0.6855209518030154,36141,6700,0.009566514111843484,0.028272762768624487,0.00031900140080453904,0.0024330038096705194,0.009345557607724696,0.00022141761733503136,34408,1382,351,6257,391,52
0.0,-85.0,0.0,0.035901518224303035,0.010963731487908846,0.6946164945055973,35926,6614,0.0061906648557404215,0.02939929679193975,0.00031155657662285607,0.001038639490627082,0.009704515243252446,0.00022057675402931874,34197,1379,350,6178,391,45
0.0,-80.0,0.0,0.04175397643763597,0.011780905357627722,0.717849499311191,35453,6238,0.011372276073777707,0.030074736838329168,0.0003069635255290921,0.001646836019530557,0.009919918800807094,0.00021415053729007176,33721,1380,352,5800,393,45
0.0,-75.0,0.0,0.08394341610113706,0.013078551880970835,0.8441980027925778,30358,5304,0.0533868668644805,0.03024954159396934,0.00030700764268722027,0.0028943289410013643,0.009976803394723142,0.00020741954524632707,28710,1353,295,4898,375,31
0.0,-70.0,0.0,0.048668670778252765,0.011552462916663602,0.7626303999692193,35967,5841,0.018458011248031318,0.029901670929905193,0.00030898860031624783,0.00147795170980544,0.009865866400441362,0.000208644806416801,34251,1391,325,5400,395,46
0.0,-65.0,0.0,0.0372227816819662,0.010486290909229068,0.7182829859728217,35978,5983,0.007850129243023468,0.029057549103253207,0.00031510333568952984,0.0006764399480443672,0.009597433395951677,0.00021241756523302294,34245,1408,325,5545,391,47
0.0,-60.0,0.0,0.03473193648307989,0.009961357676414572,0.7131931390791476,36116,6204,0.006635489100719511,0.02777285444816887,0.0003235929341915071,0.0005998479590425937,0.00913903603260683,0.00022247368476514744,34389,1409,318,5770,388,46
0.0,-55.0,0.0,0.03163319787601014,0.010012438939202352,0.6834831881858032,36233,6174,0.00518259287541053,0.026116605167560578,0.00033399983303903784,0.001366263179030176,0.008417220513762397,0.0002289552464097798,34501,1407,325,5754,377,43
0.0,-50.0,0.0,0.027887320526423023,0.008893046941053407,0.681107873643604,36357,6278,0.003384494230285539,0.024156732252573115,0.0003460940435643701,0.0008544658555243679,0.007813263321174869,0.00022531776435416985,34629,1407,321,5858,381,39
0.0,-45.0,0.0,0.0274864908517983,0.009505252101427697,0.6541845900708778,36437,6399,0.005169522790309051,0.02195739741042041,0.00035957065106884015,0.0021530027924843106,0.00711051665851604,0.00024173265042734578,34705,1416,316,5974,384,41
