panel,geom,ocs_no_occ_mean_m2,ocs_with_occ_mean_m2,occlusion_ratio_mean_frac,ocs_change_low_pct,ocs_change_high_pct,note,yaw,pitch,roll,total_ocs_m2
a_self_occlusion,phase63_backscatter,0.1040426001095583,0.0334350014856061,0.6966237977484135,,,,,,,
a_self_occlusion,phase24_near_backscatter,0.1695549560827089,0.0643619767599202,0.6010528229180924,,,,,,,
a_self_occlusion,phase120_forward_scatter,0.1698542128653489,0.0530170556871463,0.7846761109338298,,,,,,,
a_self_occlusion,phase90_side,0.1372186929414134,0.0451776721502069,0.7259879853544171,,,,,,,
a_self_occlusion,phase45_overhead,0.7500212817308123,0.1588726526408269,0.6838575515872682,,,,,,,
b_brdf_roughness_representative,Metal body,,,,30.0,46.0,author-confirmed summary; raw per-point absent,,,,
b_brdf_roughness_representative,Solar panel,,,,1.0,5.0,author-confirmed summary; raw per-point absent,,,,
b_brdf_roughness_representative,Baffle,,,,1.0,5.0,author-confirmed summary; raw per-point absent,,,,
c_roll_sensitivity,,,,,,,,0.0,0.0,0.0,0.0098573175465429
c_roll_sensitivity,,,,,,,,0.0,0.0,30.0,0.0094504725393881
c_roll_sensitivity,,,,,,,,0.0,0.0,60.0,0.0091381484555889
c_roll_sensitivity,,,,,,,,0.0,0.0,90.0,0.0089059633783646
c_roll_sensitivity,,,,,,,,0.0,0.0,120.0,0.0087380976783112
c_roll_sensitivity,,,,,,,,0.0,0.0,150.0,0.00861886302664
c_roll_sensitivity,,,,,,,,0.0,0.0,180.0,0.0085350043143382
c_roll_sensitivity,,,,,,,,0.0,-45.0,0.0,0.0115713028461619
c_roll_sensitivity,,,,,,,,0.0,-45.0,30.0,0.0108464573167095
c_roll_sensitivity,,,,,,,,0.0,-45.0,60.0,0.0102598290420905
c_roll_sensitivity,,,,,,,,0.0,-45.0,90.0,0.0097956282197081
c_roll_sensitivity,,,,,,,,0.0,-45.0,120.0,0.0094371377384384
c_roll_sensitivity,,,,,,,,0.0,-45.0,150.0,0.0091666606021659
c_roll_sensitivity,,,,,,,,0.0,-45.0,180.0,0.0089657801308027
c_roll_sensitivity,,,,,,,,45.0,0.0,0.0,0.0100762107992288
c_roll_sensitivity,,,,,,,,45.0,0.0,30.0,0.0096188707500093
c_roll_sensitivity,,,,,,,,45.0,0.0,60.0,0.0092419617655952
c_roll_sensitivity,,,,,,,,45.0,0.0,90.0,0.0089387822806927
c_roll_sensitivity,,,,,,,,45.0,0.0,120.0,0.0086993641573926
c_roll_sensitivity,,,,,,,,45.0,0.0,150.0,0.008511992818865
c_roll_sensitivity,,,,,,,,45.0,0.0,180.0,0.0084479338122527
c_roll_sensitivity,,,,,,,,90.0,-45.0,0.0,0.0116060758521581
c_roll_sensitivity,,,,,,,,90.0,-45.0,30.0,0.0109860010740773
c_roll_sensitivity,,,,,,,,90.0,-45.0,60.0,0.0104408165846233
c_roll_sensitivity,,,,,,,,90.0,-45.0,90.0,0.009971504304682
c_roll_sensitivity,,,,,,,,90.0,-45.0,120.0,0.0095789820223203
c_roll_sensitivity,,,,,,,,90.0,-45.0,150.0,0.0092608780622481
c_roll_sensitivity,,,,,,,,90.0,-45.0,180.0,0.0090110091848619
c_roll_sensitivity,,,,,,,,150.0,-80.0,0.0,0.0131250639756429
c_roll_sensitivity,,,,,,,,150.0,-80.0,30.0,0.0122852360424804
c_roll_sensitivity,,,,,,,,150.0,-80.0,60.0,0.0115791667713718
c_roll_sensitivity,,,,,,,,150.0,-80.0,90.0,0.0109802843361165
c_roll_sensitivity,,,,,,,,150.0,-80.0,120.0,0.0104705596072375
c_roll_sensitivity,,,,,,,,150.0,-80.0,150.0,0.0100401068831813
c_roll_sensitivity,,,,,,,,150.0,-80.0,180.0,0.0096835715078623
c_roll_sensitivity,,,,,,,,180.0,0.0,0.0,0.0105093469127617
c_roll_sensitivity,,,,,,,,180.0,0.0,30.0,0.0100466483450251
c_roll_sensitivity,,,,,,,,180.0,0.0,60.0,0.0096767680354545
c_roll_sensitivity,,,,,,,,180.0,0.0,90.0,0.0093845051697519
c_roll_sensitivity,,,,,,,,180.0,0.0,120.0,0.0091583493983264
c_roll_sensitivity,,,,,,,,180.0,0.0,150.0,0.0089892678467288
c_roll_sensitivity,,,,,,,,180.0,0.0,180.0,0.008869455487191
c_roll_sensitivity,,,,,,,,270.0,-45.0,0.0,0.0129380362824784
c_roll_sensitivity,,,,,,,,270.0,-45.0,30.0,0.0119888024762011
c_roll_sensitivity,,,,,,,,270.0,-45.0,60.0,0.0112345342470083
c_roll_sensitivity,,,,,,,,270.0,-45.0,90.0,0.010644783253055
c_roll_sensitivity,,,,,,,,270.0,-45.0,120.0,0.0101893583532721
c_roll_sensitivity,,,,,,,,270.0,-45.0,150.0,0.009841699671061
c_roll_sensitivity,,,,,,,,270.0,-45.0,180.0,0.0095800558664182
