config_name,fold_id,yaw_acc_pct,yaw_cmae_deg,yaw_within3_pct,pitch_acc_pct,yaw_correct_count,pitch_correct_count,n_test
baseline_4dim,0,0.00,75.60,6.67,2.70,0,15,555
baseline_4dim,1,0.00,82.32,5.59,4.32,0,24,555
baseline_4dim,2,0.00,117.88,0.00,1.93,0,10,518
baseline_4dim,3,0.00,37.50,21.43,2.70,0,14,518
baseline_4dim,4,0.00,132.95,7.14,1.16,0,6,518
R_ratio_2d,0,0.00,62.02,1.98,1.80,0,10,555
R_ratio_2d,1,0.00,89.39,1.98,2.70,0,15,555
R_ratio_2d,2,0.00,98.00,2.70,3.28,0,17,518
R_ratio_2d,3,0.00,37.50,21.43,2.12,0,11,518
R_ratio_2d,4,0.00,133.82,3.47,2.90,0,15,518
R_ratio_3d,0,0.00,49.42,19.64,1.98,0,11,555
R_ratio_3d,1,0.00,94.11,3.24,3.60,0,20,555
R_ratio_3d,2,0.00,104.30,1.74,4.05,0,21,518
R_ratio_3d,3,0.00,37.50,21.43,2.51,0,13,518
R_ratio_3d,4,0.00,116.48,6.18,0.97,0,5,518
I_interpart_1d,0,0.00,90.39,7.39,3.06,0,17,555
I_interpart_1d,1,0.00,88.22,0.00,0.36,0,2,555
I_interpart_1d,2,0.00,134.86,2.90,4.44,0,23,518
I_interpart_1d,3,0.00,106.58,3.47,3.09,0,16,518
I_interpart_1d,4,0.00,118.86,0.00,2.51,0,13,518
N_density_3d,0,0.00,106.59,4.68,4.50,0,25,555
N_density_3d,1,0.00,117.42,2.16,5.41,0,30,555
N_density_3d,2,0.00,121.68,8.11,2.51,0,13,518
N_density_3d,3,0.00,135.66,4.83,3.67,0,19,518
N_density_3d,4,0.00,119.92,0.00,0.97,0,5,518
L_logratio_3d,0,0.00,57.34,13.87,3.78,0,21,555
L_logratio_3d,1,0.00,90.77,3.78,3.06,0,17,555
L_logratio_3d,2,0.00,102.44,0.58,3.47,0,18,518
L_logratio_3d,3,0.00,38.85,20.08,2.90,0,15,518
L_logratio_3d,4,0.00,126.44,0.19,2.70,0,14,518
M1_ratio_log_5d,0,0.00,61.26,5.95,3.42,0,19,555
M1_ratio_log_5d,1,0.00,87.14,2.70,3.60,0,20,555
M1_ratio_log_5d,2,0.00,107.42,1.74,3.09,0,16,518
M1_ratio_log_5d,3,0.00,37.50,21.43,2.70,0,14,518
M1_ratio_log_5d,4,0.00,121.90,7.34,2.51,0,13,518
M3_density_ratio_5d,0,0.00,88.48,4.86,3.96,0,22,555
M3_density_ratio_5d,1,0.00,112.77,2.34,5.05,0,28,555
M3_density_ratio_5d,2,0.00,114.77,10.42,2.12,0,11,518
M3_density_ratio_5d,3,0.00,53.58,21.43,2.90,0,15,518
M3_density_ratio_5d,4,0.00,117.78,13.51,1.74,0,9,518
M4_log_density_ratio_9d,0,0.00,94.21,10.99,3.96,0,22,555
M4_log_density_ratio_9d,1,0.00,116.30,10.63,6.31,0,35,555
M4_log_density_ratio_9d,2,0.00,131.34,11.78,3.09,0,16,518
M4_log_density_ratio_9d,3,0.00,78.14,20.46,5.21,0,27,518
M4_log_density_ratio_9d,4,0.00,158.72,6.37,3.28,0,17,518
P_pixelfrac_3d,0,0.00,59.77,19.10,3.24,0,18,555
P_pixelfrac_3d,1,0.00,142.06,2.52,2.16,0,12,555
P_pixelfrac_3d,2,0.00,98.01,21.43,3.09,0,16,518
P_pixelfrac_3d,3,0.00,43.08,20.66,3.28,0,17,518
P_pixelfrac_3d,4,0.00,147.84,10.23,1.54,0,8,518
M5_pixelfrac_only_4d,0,0.00,62.54,17.84,3.24,0,18,555
M5_pixelfrac_only_4d,1,0.00,137.89,3.24,1.98,0,11,555
M5_pixelfrac_only_4d,2,0.00,97.89,21.43,2.90,0,15,518
M5_pixelfrac_only_4d,3,0.00,37.50,21.43,2.51,0,13,518
M5_pixelfrac_only_4d,4,0.00,142.95,13.90,2.32,0,12,518
M2_ratio_pixelfrac_5d,0,0.00,63.51,16.40,4.32,0,24,555
M2_ratio_pixelfrac_5d,1,0.00,139.68,0.36,4.50,0,25,555
M2_ratio_pixelfrac_5d,2,0.00,99.53,21.04,2.12,0,11,518
M2_ratio_pixelfrac_5d,3,0.00,43.60,20.46,2.90,0,15,518
M2_ratio_pixelfrac_5d,4,0.00,144.95,15.44,2.32,0,12,518
M6_all_nongeo_13d,0,0.00,74.22,14.05,4.32,0,24,555
M6_all_nongeo_13d,1,0.00,120.70,12.43,5.41,0,30,555
M6_all_nongeo_13d,2,0.00,113.63,20.27,2.12,0,11,518
M6_all_nongeo_13d,3,0.00,70.22,18.53,2.51,0,13,518
M6_all_nongeo_13d,4,0.00,157.12,7.72,2.12,0,11,518
