true_yaw,pred_yaw,true_deg,pred_deg,angular_dist_deg,confusion_count,cos_dist,eucl_dist
13,15,65,75,10,37,6.176136065905169e-07,1.5878556320713015
14,15,70,75,5,37,4.8768348581695875e-08,0.48303052518059675
56,58,280,290,10,37,0.00208127056522478,0.5314045358700419
57,58,285,290,5,37,0.0005693524203520539,0.256469960887044
60,50,300,250,50,37,0.017629070865233798,3.022017478234404
61,50,305,250,55,37,0.018191813197044437,2.996392100177322
62,50,310,250,60,37,0.018977637001700076,2.9802259667769024
70,0,350,0,10,37,0.00016300788432510593,0.29971148662192676
71,0,355,0,5,37,4.215433086973697e-05,0.13885573790488187
12,15,60,75,15,36,1.183436676899241e-05,2.8432741569503097
69,0,345,0,15,36,0.00023095116495952528,0.4813878217643572
4,42,20,210,170,34,0.0144618312203727,1.761572512418446
63,50,315,250,65,33,0.01888760099096254,2.9570541877931187
29,30,145,150,5,32,2.7622700384810628e-06,0.05784037258516159
43,44,215,220,5,32,9.342964770253648e-05,0.43878045880209865
6,42,30,210,180,31,0.015973804001409464,1.832774582074179
11,15,55,75,20,31,8.696039992872606e-06,2.813154403485026
3,42,15,210,165,30,0.01372384010175176,1.7568163886288124
68,0,340,0,20,30,8.035486606772224e-06,0.8474732486367008
7,42,35,210,175,29,0.016097042195751587,1.9023553011861203
