yaw_i,yaw_i_deg,count_i,yaw_j,yaw_j_deg,count_j,cos_dist
0,0,37,68,340,37,8.035486606772224e-06
0,0,37,27,135,37,3.912564638786087e-05
0,0,37,71,355,37,4.215433086973697e-05
1,5,37,67,335,37,5.273921804382908e-06
1,5,37,64,320,37,1.6319269207420994e-05
1,5,37,28,140,37,2.8199138736528795e-05
2,10,37,66,330,37,1.5617392987277157e-05
2,10,37,65,325,37,1.6479640324917888e-05
2,10,37,22,110,37,5.724309848798015e-05
3,15,37,21,105,37,9.406560238556239e-05
3,15,37,22,110,37,0.00016087514362905786
3,15,37,4,20,37,0.00018915990761192436
4,20,37,21,105,37,2.347912914701933e-05
4,20,37,20,100,37,9.388999013060229e-05
4,20,37,5,25,37,0.00010252130144428051
5,25,37,20,100,37,4.087978093592071e-06
5,25,37,6,30,37,5.5513514252369944e-05
5,25,37,19,95,37,5.898469680187812e-05
6,30,37,9,45,37,6.732646373741602e-08
6,30,37,8,40,37,3.0264828854154047e-07
6,30,37,7,35,37,1.3318189668876101e-06
7,35,37,14,70,37,2.0069147388390718e-07
7,35,37,8,40,37,3.7251217821498983e-07
7,35,37,15,75,37,4.4094854190213084e-07
8,40,37,9,45,37,8.717782218337078e-08
8,40,37,6,30,37,3.0264828854154047e-07
8,40,37,7,35,37,3.7251217821498983e-07
9,45,37,6,30,37,6.732646373741602e-08
9,45,37,8,40,37,8.717782218337078e-08
9,45,37,7,35,37,8.186415121347324e-07
10,50,37,13,65,37,1.2091105894285192e-10
10,50,37,16,80,37,1.0972708619494398e-07
10,50,37,15,75,37,6.21421139990197e-07
11,55,37,12,60,37,2.4227945560895137e-07
11,55,37,17,85,37,1.6119608271525365e-06
11,55,37,18,90,37,1.830475582553781e-06
12,60,37,11,55,37,2.4227945560895137e-07
12,60,37,17,85,37,2.997439568330762e-06
12,60,37,18,90,37,3.0668424738644617e-06
13,65,37,10,50,37,1.2091105894285192e-10
13,65,37,16,80,37,1.0510241510441887e-07
13,65,37,15,75,37,6.176136065905169e-07
14,70,37,15,75,37,4.8768348581695875e-08
14,70,37,7,35,37,2.0069147388390718e-07
14,70,37,13,65,37,9.729765629851173e-07
15,75,37,14,70,37,4.8768348581695875e-08
15,75,37,7,35,37,4.4094854190213084e-07
15,75,37,13,65,37,6.176136065905169e-07
16,80,37,13,65,37,1.0510241510441887e-07
16,80,37,10,50,37,1.0972708619494398e-07
16,80,37,17,85,37,6.397993745910213e-07
17,85,37,18,90,37,1.7286401710059351e-07
17,85,37,16,80,37,6.397993745910213e-07
17,85,37,13,65,37,1.220260775203208e-06
18,90,37,17,85,37,1.7286401710059351e-07
18,90,37,16,80,37,1.2293859134038243e-06
18,90,37,11,55,37,1.830475582553781e-06
19,95,37,6,30,37,2.195483497113848e-06
19,95,37,9,45,37,2.4217107784663128e-06
19,95,37,8,40,37,2.613248141769553e-06
20,100,37,5,25,37,4.087978093592071e-06
20,100,37,19,95,37,6.645651859593649e-05
20,100,37,6,30,37,6.85912410643974e-05
21,105,37,4,20,37,2.347912914701933e-05
21,105,37,3,15,37,9.406560238556239e-05
21,105,37,20,100,37,0.00019143429410206636
22,110,37,2,10,37,5.724309848798015e-05
22,110,37,65,325,37,9.343128474803564e-05
22,110,37,66,330,37,9.785154245345318e-05
23,115,37,59,295,37,2.4982690715380507e-05
23,115,37,64,320,37,5.361265438186269e-05
23,115,37,28,140,37,6.229065404461664e-05
24,120,37,60,300,37,1.9846973675630153e-06
24,120,37,31,155,37,1.1104634785485956e-05
24,120,37,28,140,37,9.142006291862348e-05
25,125,37,27,135,37,3.0553949553757676e-06
25,125,37,63,315,37,7.827577716446044e-06
25,125,37,61,305,37,8.258415267192731e-06
26,130,37,62,310,37,2.0762060065848686e-05
26,130,37,36,180,37,2.6528922969060176e-05
26,130,37,71,355,37,3.827432529968089e-05
27,135,37,25,125,37,3.0553949553757676e-06
27,135,37,62,310,37,1.0980798349047305e-05
27,135,37,63,315,37,1.9464840142924267e-05
28,140,37,67,335,37,9.166208468469605e-06
28,140,37,64,320,37,2.1256316999007652e-05
28,140,37,1,5,37,2.8199138736528795e-05
29,145,37,30,150,37,2.7622700384810628e-06
29,145,37,65,325,37,1.7994900276430137e-05
29,145,37,66,330,37,1.869659908781962e-05
30,150,37,29,145,37,2.7622700384810628e-06
30,150,37,65,325,37,3.3237102084693326e-05
30,150,37,66,330,37,3.345542177479732e-05
31,155,37,24,120,37,1.1104634785485956e-05
31,155,37,60,300,37,1.883816107417502e-05
31,155,37,28,140,37,4.0327284641317185e-05
32,160,37,36,180,37,2.706374918282073e-06
32,160,37,35,175,37,5.617957802628304e-06
32,160,37,69,345,37,2.2115997882710126e-05
33,165,37,34,170,37,1.469398009923406e-05
33,165,37,35,175,37,0.00014536544936005757
33,165,37,69,345,37,0.00020562225546327806
34,170,37,33,165,37,1.469398009923406e-05
34,170,37,35,175,37,6.834037823444383e-05
34,170,37,32,160,37,0.00011240464058237531
35,175,37,32,160,37,5.617957802628304e-06
35,175,37,36,180,37,1.4921977674164921e-05
35,175,37,69,345,37,2.865664883544561e-05
36,180,37,32,160,37,2.706374918282073e-06
36,180,37,35,175,37,1.4921977674164921e-05
36,180,37,26,130,37,2.6528922969060176e-05
37,185,37,61,305,37,0.0003597458835000733
37,185,37,27,135,37,0.00039057409873843874
37,185,37,62,310,37,0.00039099360398786587
38,190,37,39,195,37,0.00044428418304831574
38,190,37,58,290,37,0.0004645364790338835
38,190,37,37,185,37,0.0005147192604508799
39,195,37,57,285,37,0.00027966147046376566
39,195,37,40,200,37,0.00041842275299197595
39,195,37,38,190,37,0.00044428418304831574
40,200,37,56,280,37,0.00018859054506659145
40,200,37,41,205,37,0.0004053651263256075
40,200,37,39,195,37,0.00041842275299197595
41,205,37,55,275,37,0.00011946650817151738
41,205,37,46,230,37,0.00024605789226161967
41,205,37,54,270,37,0.0002535032804444892
42,210,37,49,245,37,1.4965105700204262e-05
42,210,37,46,230,37,3.990137916110026e-05
42,210,37,54,270,37,4.077679196179407e-05
43,215,37,53,265,37,1.5720929048113064e-05
43,215,37,45,225,37,4.3656976043915385e-05
43,215,37,52,260,37,9.144746805145321e-05
44,220,37,52,260,37,2.6195545894669436e-06
44,220,37,50,250,37,4.937712456132282e-06
44,220,37,45,225,37,1.0575643535237766e-05
45,225,37,44,220,37,1.0575643535237766e-05
45,225,37,52,260,37,1.4626652512061966e-05
45,225,37,50,250,37,2.9914969353561638e-05
46,230,37,54,270,37,6.02774906655057e-08
46,230,37,49,245,37,6.439004220815114e-06
46,230,37,42,210,37,3.990137916110026e-05
47,235,37,48,240,37,1.9291964836742892e-07
47,235,37,55,275,37,0.00010523730561651234
47,235,37,56,280,37,0.00038954177217098707
48,240,37,47,235,37,1.9291964836742892e-07
48,240,37,55,275,37,0.00010192141502507468
48,240,37,56,280,37,0.0004011799896154189
49,245,37,46,230,37,6.439004220815114e-06
49,245,37,54,270,37,6.573038699220213e-06
49,245,37,42,210,37,1.4965105700204262e-05
50,250,37,44,220,37,4.937712456132282e-06
50,250,37,52,260,37,5.985088907589642e-06
50,250,37,45,225,37,2.9914969353561638e-05
51,255,37,50,250,37,4.3449528111749736e-05
51,255,37,44,220,37,7.698062213334911e-05
51,255,37,52,260,37,7.800185211193078e-05
52,260,37,44,220,37,2.6195545894669436e-06
52,260,37,50,250,37,5.985088907589642e-06
