true_yaw_bin,true_yaw_deg,pred_yaw_bin,pred_yaw_deg,count
8,40,15,75,37
9,45,15,75,37
11,55,64,320,37
12,60,64,320,37
14,70,15,75,37
15,75,7,35,37
38,190,57,285,37
41,205,54,270,37
42,210,53,265,37
43,215,52,260,37
44,220,58,290,37
45,225,58,290,37
46,230,58,290,37
47,235,58,290,37
48,240,58,290,37
49,245,58,290,37
50,250,58,290,37
51,255,58,290,37
52,260,58,290,37
53,265,58,290,37
54,270,58,290,37
55,275,58,290,37
56,280,58,290,37
57,285,58,290,37
40,200,55,275,33
16,80,7,35,31
39,195,56,280,31
2,10,21,105,30
58,290,37,185,29
13,65,64,320,28
