true_yaw_bin,true_yaw_deg,pred_yaw_bin,pred_yaw_deg,count
13,65,15,75,37
14,70,15,75,37
56,280,58,290,37
57,285,58,290,37
60,300,50,250,37
61,305,50,250,37
62,310,50,250,37
70,350,0,0,37
71,355,0,0,37
12,60,15,75,36
69,345,0,0,36
4,20,42,210,34
63,315,50,250,33
29,145,30,150,32
43,215,44,220,32
6,30,42,210,31
11,55,15,75,31
3,15,42,210,30
68,340,0,0,30
7,35,42,210,29
8,40,42,210,29
55,275,58,290,28
5,25,42,210,27
64,320,50,250,27
9,45,42,210,25
28,140,30,150,25
17,85,30,150,24
67,335,0,0,24
10,50,15,75,23
27,135,30,150,21
