true_yaw_bin,true_yaw_deg,pred_yaw_bin,pred_yaw_deg,count
11,55,15,75,37
12,60,15,75,37
13,65,15,75,37
14,70,15,75,37
43,215,44,220,37
61,305,50,250,37
62,310,50,250,37
71,355,0,0,37
42,210,44,220,36
60,300,50,250,36
70,350,0,0,36
57,285,58,290,35
69,345,0,0,35
29,145,30,150,33
10,50,15,75,32
21,105,39,195,32
22,110,39,195,32
23,115,39,195,32
56,280,58,290,31
68,340,0,0,30
18,90,44,220,29
63,315,50,250,29
15,75,30,150,28
55,275,58,290,27
59,295,50,250,27
0,0,54,270,26
16,80,30,150,26
28,140,30,150,26
5,25,42,210,25
54,270,58,290,25
