error_bins,C2_baseline_4dim,C3_image_only,C3_joint
0,0.0,0.0,0.0
1,0.03566066066066066,0.0656906906906907,0.06719219219219219
2,0.021396396396396396,0.057432432432432436,0.06231231231231231
3,0.024024024024024024,0.04804804804804805,0.047672672672672674
4,0.024399399399399398,0.03753753753753754,0.04091591591591592
5,0.02364864864864865,0.027402402402402402,0.02702702702702703
6,0.031156156156156155,0.01951951951951952,0.019894894894894894
7,0.033783783783783786,0.012762762762762763,0.013513513513513514
8,0.029654654654654656,0.027402402402402402,0.0259009009009009
9,0.05292792792792793,0.02364864864864865,0.016516516516516516
10,0.03003003003003003,0.02665165165165165,0.018018018018018018
11,0.052177177177177174,0.030405405405405407,0.02252252252252252
12,0.03528528528528529,0.04016516516516516,0.03340840840840841
13,0.04054054054054054,0.0457957957957958,0.04391891891891892
14,0.029654654654654656,0.04692192192192192,0.04129129129129129
15,0.031156156156156155,0.03340840840840841,0.04054054054054054
16,0.01126126126126126,0.03003003003003003,0.031156156156156155
17,0.0259009009009009,0.033783783783783786,0.03078078078078078
18,0.021396396396396396,0.04091591591591592,0.04279279279279279
19,0.05292792792792793,0.028528528528528527,0.04241741741741742
20,0.0228978978978979,0.02027027027027027,0.016891891891891893
21,0.033783783783783786,0.009009009009009009,0.007132132132132132
22,0.012012012012012012,0.010885885885885885,0.003003003003003003
23,0.023273273273273273,0.010510510510510511,0.00487987987987988
24,0.024774774774774775,0.007882882882882882,0.008258258258258258
25,0.01539039039039039,0.0033783783783783786,0.01839339339339339
26,0.011636636636636636,0.008258258258258258,0.025525525525525526
27,0.012012012012012012,0.013138138138138139,0.020645645645645645
28,0.008633633633633633,0.0075075075075075074,0.015765765765765764
29,0.008633633633633633,0.010885885885885885,0.02027027027027027
30,0.009384384384384385,0.011636636636636636,0.02252252252252252
31,0.012012012012012012,0.019894894894894894,0.019144144144144143
32,0.016891891891891893,0.03153153153153153,0.02252252252252252
33,0.026276276276276277,0.03340840840840841,0.03753753753753754
34,0.042042042042042045,0.047672672672672674,0.03265765765765766
35,0.06606606606606606,0.047672672672672674,0.03791291291291291
36,0.0472972972972973,0.030405405405405407,0.019144144144144143
