k_bins,C2_baseline_4dim,C3_image_only,C3_joint,random_baseline
0,0.0,0.0,0.0,0.013888888888888888
1,0.03567567567567568,0.06579150579150579,0.0673101673101673,0.041666666666666664
2,0.057245817245817246,0.12326898326898328,0.1297812097812098,0.06944444444444445
3,0.08164736164736164,0.1712226512226512,0.17742599742599743,0.09722222222222222
4,0.10615186615186616,0.20862290862290864,0.21830115830115832,0.125
5,0.1298069498069498,0.23608751608751607,0.24522522522522525,0.1527777777777778
6,0.16066924066924065,0.25572715572715576,0.2651222651222651,0.18055555555555555
7,0.19405405405405407,0.2687001287001287,0.2787387387387387,0.20833333333333334
8,0.22350064350064347,0.2958558558558559,0.3049163449163449,0.2361111111111111
9,0.27621621621621617,0.3192020592020592,0.3217245817245817,0.2638888888888889
10,0.30599742599742596,0.3461776061776062,0.3401287001287001,0.2916666666666667
11,0.3580952380952381,0.3769369369369369,0.3628571428571429,0.3194444444444444
12,0.3932561132561132,0.4173230373230373,0.39662805662805667,0.3472222222222222
13,0.43423423423423424,0.46360360360360364,0.4411325611325611,0.375
14,0.46386100386100393,0.5108365508365509,0.48247104247104244,0.4027777777777778
15,0.4947232947232947,0.5444272844272844,0.5227799227799228,0.4305555555555556
16,0.5058429858429858,0.5742599742599742,0.5533590733590733,0.4583333333333333
17,0.5315830115830116,0.607902187902188,0.5840669240669241,0.4861111111111111
18,0.5523294723294723,0.6488803088803089,0.6263835263835263,0.5138888888888888
19,0.6042728442728442,0.6774517374517375,0.6684169884169885,0.5416666666666666
20,0.6264864864864864,0.6977091377091377,0.6854054054054055,0.5694444444444444
21,0.6602574002574003,0.7065379665379666,0.6924066924066925,0.5972222222222222
22,0.6723294723294723,0.7174517374517374,0.6953667953667954,0.625
23,0.6949034749034749,0.7281338481338481,0.7003861003861004,0.6527777777777778
24,0.7195109395109395,0.7362419562419562,0.7088288288288289,0.6805555555555556
25,0.7349034749034749,0.7396396396396396,0.7273873873873875,0.7083333333333334
26,0.7467181467181467,0.747979407979408,0.7527927927927928,0.7361111111111112
27,0.7589446589446589,0.7610810810810811,0.7735135135135135,0.7638888888888888
28,0.7678249678249678,0.7687258687258687,0.7894208494208493,0.7916666666666666
29,0.7766537966537965,0.7799227799227799,0.8102187902187902,0.8194444444444444
30,0.7862548262548262,0.7918661518661518,0.8333848133848134,0.8472222222222222
31,0.7985328185328185,0.8119433719433718,0.8529987129987131,0.875
32,0.8158815958815959,0.8434234234234234,0.8752895752895753,0.9027777777777778
33,0.8428571428571429,0.8761132561132561,0.9119948519948521,0.9305555555555556
34,0.8857142857142858,0.9228828828828828,0.9440411840411841,0.9583333333333334
35,0.9527413127413128,0.9699613899613899,0.9812097812097811,0.9861111111111112
36,1.0,1.0,1.0,1.0138888888888888
