channel,fold,test_yaw_block,n_samples,circular_mae_bins,within_3bins,within_6bins,coarse45
C2_baseline_4dim,0,"[0,70]",555,15.12072072072072,0.06666666666666667,0.13333333333333333,0.13333333333333333
C2_baseline_4dim,1,"[75,145]",555,16.464864864864865,0.055855855855855854,0.16036036036036036,0.16756756756756758
C2_baseline_4dim,2,"[150,215]",518,23.575289575289574,0.0,0.0,0.0
C2_baseline_4dim,3,"[220,285]",518,7.5,0.21428571428571427,0.42857142857142855,0.2857142857142857
C2_baseline_4dim,4,"[290,355]",518,26.590733590733592,0.07142857142857142,0.08108108108108109,0.0
C3_image_only,0,"[0,70]",555,20.89189189189189,0.1981981981981982,0.3153153153153153,0.3153153153153153
C3_image_only,1,"[75,145]",555,14.427027027027027,0.14054054054054055,0.1891891891891892,0.14054054054054055
C3_image_only,2,"[150,215]",518,21.57335907335907,0.10810810810810811,0.1640926640926641,0.20656370656370657
C3_image_only,3,"[220,285]",518,14.68918918918919,0.1969111969111969,0.2606177606177606,0.23552123552123552
C3_image_only,4,"[290,355]",518,9.85907335907336,0.21235521235521235,0.34942084942084944,0.0
C3_joint,0,"[0,70]",555,20.158558558558557,0.2,0.34234234234234234,0.34234234234234234
C3_joint,1,"[75,145]",555,15.151351351351352,0.13693693693693693,0.18018018018018017,0.13693693693693693
C3_joint,2,"[150,215]",518,19.030888030888033,0.16216216216216217,0.17567567567567569,0.19498069498069498
C3_joint,3,"[220,285]",518,17.70849420849421,0.17953667953667954,0.2722007722007722,0.2335907335907336
C3_joint,4,"[290,355]",518,9.343629343629344,0.2084942084942085,0.3552123552123552,0.0
