run,mode,aug,pitch_band_deg,n,pitch_mae_deg,pitch_hit@10
image_only_fold0_aug-none,image_only,none,"[-90,-60)",90,32.15,0.1444
image_only_fold0_aug-none,image_only,none,"[-60,-30)",90,17.92,0.3778
image_only_fold0_aug-none,image_only,none,"[-30,0)",90,12.6,0.3667
image_only_fold0_aug-none,image_only,none,"[0,30)",90,11.5,0.4333
image_only_fold0_aug-none,image_only,none,"[30,60)",90,7.63,0.7556
image_only_fold0_aug-none,image_only,none,"[60,90)",90,6.83,0.7222
image_only_fold0_aug-none,image_only,none,"[90,120)",15,19.17,0.2667
image_only_fold0_aug-standard,image_only,standard,"[-90,-60)",90,32.5,0.0
image_only_fold0_aug-standard,image_only,standard,"[-60,-30)",90,7.5,0.8333
image_only_fold0_aug-standard,image_only,standard,"[-30,0)",90,27.5,0.0
image_only_fold0_aug-standard,image_only,standard,"[0,30)",90,57.5,0.0
image_only_fold0_aug-standard,image_only,standard,"[30,60)",90,87.5,0.0
image_only_fold0_aug-standard,image_only,standard,"[60,90)",90,108.27,0.0
image_only_fold0_aug-standard,image_only,standard,"[90,120)",15,98.11,0.0
joint_fold0_aug-none,joint,none,"[-90,-60)",90,29.38,0.1222
joint_fold0_aug-none,joint,none,"[-60,-30)",90,13.36,0.4778
joint_fold0_aug-none,joint,none,"[-30,0)",90,20.29,0.1
joint_fold0_aug-none,joint,none,"[0,30)",90,16.3,0.4222
joint_fold0_aug-none,joint,none,"[30,60)",90,7.08,0.8333
joint_fold0_aug-none,joint,none,"[60,90)",90,7.84,0.6333
joint_fold0_aug-none,joint,none,"[90,120)",15,15.39,0.3333
joint_fold0_aug-standard,joint,standard,"[-90,-60)",90,32.5,0.0
joint_fold0_aug-standard,joint,standard,"[-60,-30)",90,7.5,0.8333
joint_fold0_aug-standard,joint,standard,"[-30,0)",90,27.5,0.0
joint_fold0_aug-standard,joint,standard,"[0,30)",90,57.5,0.0
joint_fold0_aug-standard,joint,standard,"[30,60)",90,87.5,0.0
joint_fold0_aug-standard,joint,standard,"[60,90)",90,117.5,0.0
joint_fold0_aug-standard,joint,standard,"[90,120)",15,129.49,0.0
ocs_only_fold0_aug-none,ocs_only,none,"[-90,-60)",90,80.11,0.0
ocs_only_fold0_aug-none,ocs_only,none,"[-60,-30)",90,49.76,0.0
ocs_only_fold0_aug-none,ocs_only,none,"[-30,0)",90,19.62,0.1667
ocs_only_fold0_aug-none,ocs_only,none,"[0,30)",90,11.08,0.5
ocs_only_fold0_aug-none,ocs_only,none,"[30,60)",90,40.28,0.0
ocs_only_fold0_aug-none,ocs_only,none,"[60,90)",90,70.27,0.0
ocs_only_fold0_aug-none,ocs_only,none,"[90,120)",15,87.82,0.0
