run,mode,fold,aug,select,pitch_band_deg,n,pitch_mae_deg,pitch_hit@10
image_only_fold0_aug-none,image_only,0,none,best,"[-90,-60)",90,40.109,0.044
image_only_fold0_aug-none,image_only,0,none,best,"[-60,-30)",90,25.024,0.344
image_only_fold0_aug-none,image_only,0,none,best,"[-30,0)",90,19.481,0.156
image_only_fold0_aug-none,image_only,0,none,best,"[0,30)",90,18.401,0.211
image_only_fold0_aug-none,image_only,0,none,best,"[30,60)",90,9.329,0.633
image_only_fold0_aug-none,image_only,0,none,best,"[60,90)",90,10.413,0.622
image_only_fold0_aug-none,image_only,0,none,best,"[90,120)",15,25.414,0.067
image_only_fold0_aug-standard,image_only,0,standard,best,"[-90,-60)",90,32.5,0.0
image_only_fold0_aug-standard,image_only,0,standard,best,"[-60,-30)",90,7.5,0.833
image_only_fold0_aug-standard,image_only,0,standard,best,"[-30,0)",90,27.5,0.0
image_only_fold0_aug-standard,image_only,0,standard,best,"[0,30)",90,57.5,0.0
image_only_fold0_aug-standard,image_only,0,standard,best,"[30,60)",90,87.5,0.0
image_only_fold0_aug-standard,image_only,0,standard,best,"[60,90)",90,117.5,0.0
image_only_fold0_aug-standard,image_only,0,standard,best,"[90,120)",15,135.0,0.0
image_only_fold1_aug-none,image_only,1,none,best,"[-90,-60)",90,163.5,0.0
image_only_fold1_aug-none,image_only,1,none,best,"[-60,-30)",90,137.5,0.0
image_only_fold1_aug-none,image_only,1,none,best,"[-30,0)",90,107.5,0.0
image_only_fold1_aug-none,image_only,1,none,best,"[0,30)",90,73.5,0.0
image_only_fold1_aug-none,image_only,1,none,best,"[30,60)",90,47.5,0.0
image_only_fold1_aug-none,image_only,1,none,best,"[60,90)",90,17.5,0.333
image_only_fold1_aug-none,image_only,1,none,best,"[90,120)",15,0.0,1.0
image_only_fold1_aug-standard,image_only,1,standard,best,"[-90,-60)",90,32.5,0.0
image_only_fold1_aug-standard,image_only,1,standard,best,"[-60,-30)",90,7.5,0.833
image_only_fold1_aug-standard,image_only,1,standard,best,"[-30,0)",90,27.5,0.0
image_only_fold1_aug-standard,image_only,1,standard,best,"[0,30)",90,57.5,0.0
image_only_fold1_aug-standard,image_only,1,standard,best,"[30,60)",90,87.5,0.0
image_only_fold1_aug-standard,image_only,1,standard,best,"[60,90)",90,117.5,0.0
image_only_fold1_aug-standard,image_only,1,standard,best,"[90,120)",15,135.0,0.0
image_only_fold2_aug-none,image_only,2,none,best,"[-90,-60)",84,122.5,0.0
image_only_fold2_aug-none,image_only,2,none,best,"[-60,-30)",84,92.5,0.0
image_only_fold2_aug-none,image_only,2,none,best,"[-30,0)",84,62.5,0.0
image_only_fold2_aug-none,image_only,2,none,best,"[0,30)",84,32.5,0.0
image_only_fold2_aug-none,image_only,2,none,best,"[30,60)",84,7.5,0.833
image_only_fold2_aug-none,image_only,2,none,best,"[60,90)",84,27.5,0.0
image_only_fold2_aug-none,image_only,2,none,best,"[90,120)",14,45.0,0.0
image_only_fold2_aug-standard,image_only,2,standard,best,"[-90,-60)",84,122.5,0.0
image_only_fold2_aug-standard,image_only,2,standard,best,"[-60,-30)",84,92.5,0.0
image_only_fold2_aug-standard,image_only,2,standard,best,"[-30,0)",84,62.5,0.0
