run,mode,fold,aug,select,pitch_band_deg,n,pitch_mae_deg,pitch_hit@10
image_only_fold0_aug-none,image_only,0,none,final,"[-90,-60)",90,30.98,0.0
image_only_fold0_aug-none,image_only,0,none,final,"[-60,-30)",90,18.007,0.311
image_only_fold0_aug-none,image_only,0,none,final,"[-30,0)",90,23.036,0.211
image_only_fold0_aug-none,image_only,0,none,final,"[0,30)",90,22.355,0.156
image_only_fold0_aug-none,image_only,0,none,final,"[30,60)",90,15.581,0.367
image_only_fold0_aug-none,image_only,0,none,final,"[60,90)",90,11.895,0.411
image_only_fold0_aug-none,image_only,0,none,final,"[90,120)",15,17.56,0.0
image_only_fold0_aug-standard,image_only,0,standard,final,"[-90,-60)",90,70.385,0.0
image_only_fold0_aug-standard,image_only,0,standard,final,"[-60,-30)",90,51.568,0.244
image_only_fold0_aug-standard,image_only,0,standard,final,"[-30,0)",90,28.577,0.056
image_only_fold0_aug-standard,image_only,0,standard,final,"[0,30)",90,50.047,0.044
image_only_fold0_aug-standard,image_only,0,standard,final,"[30,60)",90,47.88,0.189
image_only_fold0_aug-standard,image_only,0,standard,final,"[60,90)",90,31.212,0.0
image_only_fold0_aug-standard,image_only,0,standard,final,"[90,120)",15,45.39,0.0
image_only_fold1_aug-none,image_only,1,none,final,"[-90,-60)",90,23.129,0.233
image_only_fold1_aug-none,image_only,1,none,final,"[-60,-30)",90,4.845,0.878
image_only_fold1_aug-none,image_only,1,none,final,"[-30,0)",90,15.172,0.267
image_only_fold1_aug-none,image_only,1,none,final,"[0,30)",90,12.298,0.6
image_only_fold1_aug-none,image_only,1,none,final,"[30,60)",90,11.878,0.389
image_only_fold1_aug-none,image_only,1,none,final,"[60,90)",90,16.498,0.289
image_only_fold1_aug-none,image_only,1,none,final,"[90,120)",15,8.243,0.733
image_only_fold1_aug-standard,image_only,1,standard,final,"[-90,-60)",90,32.5,0.0
image_only_fold1_aug-standard,image_only,1,standard,final,"[-60,-30)",90,7.5,0.833
image_only_fold1_aug-standard,image_only,1,standard,final,"[-30,0)",90,27.5,0.0
image_only_fold1_aug-standard,image_only,1,standard,final,"[0,30)",90,57.5,0.0
image_only_fold1_aug-standard,image_only,1,standard,final,"[30,60)",90,87.5,0.0
image_only_fold1_aug-standard,image_only,1,standard,final,"[60,90)",90,117.5,0.0
image_only_fold1_aug-standard,image_only,1,standard,final,"[90,120)",15,135.0,0.0
image_only_fold2_aug-none,image_only,2,none,final,"[-90,-60)",84,122.5,0.0
image_only_fold2_aug-none,image_only,2,none,final,"[-60,-30)",84,92.5,0.0
image_only_fold2_aug-none,image_only,2,none,final,"[-30,0)",84,62.5,0.0
image_only_fold2_aug-none,image_only,2,none,final,"[0,30)",84,32.5,0.0
image_only_fold2_aug-none,image_only,2,none,final,"[30,60)",84,7.5,0.833
image_only_fold2_aug-none,image_only,2,none,final,"[60,90)",84,27.5,0.0
image_only_fold2_aug-none,image_only,2,none,final,"[90,120)",14,45.0,0.0
image_only_fold2_aug-standard,image_only,2,standard,final,"[-90,-60)",84,122.5,0.0
image_only_fold2_aug-standard,image_only,2,standard,final,"[-60,-30)",84,92.5,0.0
image_only_fold2_aug-standard,image_only,2,standard,final,"[-30,0)",84,62.5,0.0
image_only_fold2_aug-standard,image_only,2,standard,final,"[0,30)",84,32.5,0.0
image_only_fold2_aug-standard,image_only,2,standard,final,"[30,60)",84,7.5,0.833
image_only_fold2_aug-standard,image_only,2,standard,final,"[60,90)",84,27.5,0.0
image_only_fold2_aug-standard,image_only,2,standard,final,"[90,120)",14,45.0,0.0
image_only_fold3_aug-none,image_only,3,none,final,"[-90,-60)",84,22.563,0.31
image_only_fold3_aug-none,image_only,3,none,final,"[-60,-30)",84,15.569,0.298
image_only_fold3_aug-none,image_only,3,none,final,"[-30,0)",84,12.458,0.44
image_only_fold3_aug-none,image_only,3,none,final,"[0,30)",84,20.234,0.071
image_only_fold3_aug-none,image_only,3,none,final,"[30,60)",84,15.44,0.333
image_only_fold3_aug-none,image_only,3,none,final,"[60,90)",84,5.989,0.81
image_only_fold3_aug-none,image_only,3,none,final,"[90,120)",14,7.565,0.643
image_only_fold3_aug-standard,image_only,3,standard,final,"[-90,-60)",84,122.5,0.0
image_only_fold3_aug-standard,image_only,3,standard,final,"[-60,-30)",84,92.5,0.0
image_only_fold3_aug-standard,image_only,3,standard,final,"[-30,0)",84,62.5,0.0
image_only_fold3_aug-standard,image_only,3,standard,final,"[0,30)",84,32.5,0.0
image_only_fold3_aug-standard,image_only,3,standard,final,"[30,60)",84,7.5,0.833
image_only_fold3_aug-standard,image_only,3,standard,final,"[60,90)",84,27.5,0.0
image_only_fold3_aug-standard,image_only,3,standard,final,"[90,120)",14,45.0,0.0
image_only_fold4_aug-none,image_only,4,none,final,"[-90,-60)",84,41.398,0.071
image_only_fold4_aug-none,image_only,4,none,final,"[-60,-30)",84,25.762,0.036
image_only_fold4_aug-none,image_only,4,none,final,"[-30,0)",84,19.689,0.381
image_only_fold4_aug-none,image_only,4,none,final,"[0,30)",84,18.679,0.238
image_only_fold4_aug-none,image_only,4,none,final,"[30,60)",84,18.384,0.024
image_only_fold4_aug-none,image_only,4,none,final,"[60,90)",84,16.235,0.476
image_only_fold4_aug-none,image_only,4,none,final,"[90,120)",14,13.708,0.214
image_only_fold4_aug-standard,image_only,4,standard,final,"[-90,-60)",84,12.5,0.5
image_only_fold4_aug-standard,image_only,4,standard,final,"[-60,-30)",84,42.5,0.0
image_only_fold4_aug-standard,image_only,4,standard,final,"[-30,0)",84,66.356,0.0
image_only_fold4_aug-standard,image_only,4,standard,final,"[0,30)",84,102.5,0.0
image_only_fold4_aug-standard,image_only,4,standard,final,"[30,60)",84,132.5,0.0
image_only_fold4_aug-standard,image_only,4,standard,final,"[60,90)",84,159.034,0.0
image_only_fold4_aug-standard,image_only,4,standard,final,"[90,120)",14,180.0,0.0
joint_fold0_aug-none,joint,0,none,final,"[-90,-60)",90,20.729,0.222
joint_fold0_aug-none,joint,0,none,final,"[-60,-30)",90,9.196,0.6
joint_fold0_aug-none,joint,0,none,final,"[-30,0)",90,21.032,0.067
joint_fold0_aug-none,joint,0,none,final,"[0,30)",90,15.117,0.378
joint_fold0_aug-none,joint,0,none,final,"[30,60)",90,10.189,0.6
joint_fold0_aug-none,joint,0,none,final,"[60,90)",90,10.845,0.567
joint_fold0_aug-none,joint,0,none,final,"[90,120)",15,9.891,0.667
joint_fold0_aug-standard,joint,0,standard,final,"[-90,-60)",90,12.5,0.5
joint_fold0_aug-standard,joint,0,standard,final,"[-60,-30)",90,88.282,0.0
joint_fold0_aug-standard,joint,0,standard,final,"[-30,0)",90,90.754,0.0
joint_fold0_aug-standard,joint,0,standard,final,"[0,30)",90,78.462,0.0
joint_fold0_aug-standard,joint,0,standard,final,"[30,60)",90,51.389,0.0
joint_fold0_aug-standard,joint,0,standard,final,"[60,90)",90,104.278,0.111
joint_fold0_aug-standard,joint,0,standard,final,"[90,120)",15,12.0,0.933
joint_fold1_aug-none,joint,1,none,final,"[-90,-60)",90,26.723,0.3
joint_fold1_aug-none,joint,1,none,final,"[-60,-30)",90,8.803,0.667
joint_fold1_aug-none,joint,1,none,final,"[-30,0)",90,17.149,0.367
joint_fold1_aug-none,joint,1,none,final,"[0,30)",90,13.868,0.578
joint_fold1_aug-none,joint,1,none,final,"[30,60)",90,6.624,0.767
joint_fold1_aug-none,joint,1,none,final,"[60,90)",90,7.951,0.744
joint_fold1_aug-none,joint,1,none,final,"[90,120)",15,6.217,0.733
joint_fold1_aug-standard,joint,1,standard,final,"[-90,-60)",90,32.5,0.0
joint_fold1_aug-standard,joint,1,standard,final,"[-60,-30)",90,7.5,0.833
joint_fold1_aug-standard,joint,1,standard,final,"[-30,0)",90,27.5,0.0
joint_fold1_aug-standard,joint,1,standard,final,"[0,30)",90,57.5,0.0
joint_fold1_aug-standard,joint,1,standard,final,"[30,60)",90,87.5,0.0
joint_fold1_aug-standard,joint,1,standard,final,"[60,90)",90,117.5,0.0
joint_fold1_aug-standard,joint,1,standard,final,"[90,120)",15,135.0,0.0
joint_fold2_aug-none,joint,2,none,final,"[-90,-60)",84,26.41,0.167
joint_fold2_aug-none,joint,2,none,final,"[-60,-30)",84,6.482,0.786
joint_fold2_aug-none,joint,2,none,final,"[-30,0)",84,19.554,0.0
joint_fold2_aug-none,joint,2,none,final,"[0,30)",84,7.1,0.774
joint_fold2_aug-none,joint,2,none,final,"[30,60)",84,8.292,0.631
joint_fold2_aug-none,joint,2,none,final,"[60,90)",84,8.84,0.607
joint_fold2_aug-none,joint,2,none,final,"[90,120)",14,12.427,0.5
joint_fold2_aug-standard,joint,2,standard,final,"[-90,-60)",84,32.5,0.0
joint_fold2_aug-standard,joint,2,standard,final,"[-60,-30)",84,7.5,0.833
joint_fold2_aug-standard,joint,2,standard,final,"[-30,0)",84,27.5,0.0
joint_fold2_aug-standard,joint,2,standard,final,"[0,30)",84,57.5,0.0
joint_fold2_aug-standard,joint,2,standard,final,"[30,60)",84,87.5,0.0
joint_fold2_aug-standard,joint,2,standard,final,"[60,90)",84,117.5,0.0
joint_fold2_aug-standard,joint,2,standard,final,"[90,120)",14,135.0,0.0
joint_fold3_aug-none,joint,3,none,final,"[-90,-60)",84,90.023,0.0
joint_fold3_aug-none,joint,3,none,final,"[-60,-30)",84,23.833,0.036
joint_fold3_aug-none,joint,3,none,final,"[-30,0)",84,29.078,0.024
joint_fold3_aug-none,joint,3,none,final,"[0,30)",84,35.788,0.0
joint_fold3_aug-none,joint,3,none,final,"[30,60)",84,18.824,0.298
joint_fold3_aug-none,joint,3,none,final,"[60,90)",84,11.381,0.464
joint_fold3_aug-none,joint,3,none,final,"[90,120)",14,22.338,0.143
joint_fold3_aug-standard,joint,3,standard,final,"[-90,-60)",84,13.607,0.488
joint_fold3_aug-standard,joint,3,standard,final,"[-60,-30)",84,38.789,0.0
joint_fold3_aug-standard,joint,3,standard,final,"[-30,0)",84,33.67,0.143
joint_fold3_aug-standard,joint,3,standard,final,"[0,30)",84,81.506,0.0
joint_fold3_aug-standard,joint,3,standard,final,"[30,60)",84,121.304,0.0
joint_fold3_aug-standard,joint,3,standard,final,"[60,90)",84,91.064,0.071
joint_fold3_aug-standard,joint,3,standard,final,"[90,120)",14,58.444,0.286
joint_fold4_aug-none,joint,4,none,final,"[-90,-60)",84,16.866,0.357
joint_fold4_aug-none,joint,4,none,final,"[-60,-30)",84,21.261,0.107
joint_fold4_aug-none,joint,4,none,final,"[-30,0)",84,24.178,0.119
joint_fold4_aug-none,joint,4,none,final,"[0,30)",84,12.687,0.429
joint_fold4_aug-none,joint,4,none,final,"[30,60)",84,4.222,0.929
joint_fold4_aug-none,joint,4,none,final,"[60,90)",84,9.662,0.619
joint_fold4_aug-none,joint,4,none,final,"[90,120)",14,16.979,0.357
joint_fold4_aug-standard,joint,4,standard,final,"[-90,-60)",84,19.27,0.202
joint_fold4_aug-standard,joint,4,standard,final,"[-60,-30)",84,7.974,0.798
joint_fold4_aug-standard,joint,4,standard,final,"[-30,0)",84,17.371,0.155
joint_fold4_aug-standard,joint,4,standard,final,"[0,30)",84,5.632,0.857
joint_fold4_aug-standard,joint,4,standard,final,"[30,60)",84,4.426,0.976
joint_fold4_aug-standard,joint,4,standard,final,"[60,90)",84,11.809,0.5
joint_fold4_aug-standard,joint,4,standard,final,"[90,120)",14,27.338,0.071
ocs_only_fold0_aug-none,ocs_only,0,none,final,"[-90,-60)",90,80.113,0.0
ocs_only_fold0_aug-none,ocs_only,0,none,final,"[-60,-30)",90,49.758,0.0
ocs_only_fold0_aug-none,ocs_only,0,none,final,"[-30,0)",90,19.619,0.167
ocs_only_fold0_aug-none,ocs_only,0,none,final,"[0,30)",90,11.084,0.5
ocs_only_fold0_aug-none,ocs_only,0,none,final,"[30,60)",90,40.278,0.0
ocs_only_fold0_aug-none,ocs_only,0,none,final,"[60,90)",90,70.27,0.0
ocs_only_fold0_aug-none,ocs_only,0,none,final,"[90,120)",15,87.821,0.0
ocs_only_fold1_aug-none,ocs_only,1,none,final,"[-90,-60)",90,76.928,0.0
ocs_only_fold1_aug-none,ocs_only,1,none,final,"[-60,-30)",90,46.909,0.0
ocs_only_fold1_aug-none,ocs_only,1,none,final,"[-30,0)",90,16.912,0.333
ocs_only_fold1_aug-none,ocs_only,1,none,final,"[0,30)",90,13.074,0.333
ocs_only_fold1_aug-none,ocs_only,1,none,final,"[30,60)",90,43.238,0.0
ocs_only_fold1_aug-none,ocs_only,1,none,final,"[60,90)",90,73.525,0.0
ocs_only_fold1_aug-none,ocs_only,1,none,final,"[90,120)",15,91.125,0.0
ocs_only_fold2_aug-none,ocs_only,2,none,final,"[-90,-60)",84,74.768,0.0
ocs_only_fold2_aug-none,ocs_only,2,none,final,"[-60,-30)",84,43.466,0.0
ocs_only_fold2_aug-none,ocs_only,2,none,final,"[-30,0)",84,15.077,0.357
ocs_only_fold2_aug-none,ocs_only,2,none,final,"[0,30)",84,14.022,0.369
ocs_only_fold2_aug-none,ocs_only,2,none,final,"[30,60)",84,54.893,0.0
ocs_only_fold2_aug-none,ocs_only,2,none,final,"[60,90)",84,108.13,0.0
ocs_only_fold2_aug-none,ocs_only,2,none,final,"[90,120)",14,136.752,0.0
ocs_only_fold3_aug-none,ocs_only,3,none,final,"[-90,-60)",84,78.214,0.0
ocs_only_fold3_aug-none,ocs_only,3,none,final,"[-60,-30)",84,48.223,0.0
ocs_only_fold3_aug-none,ocs_only,3,none,final,"[-30,0)",84,18.243,0.167
ocs_only_fold3_aug-none,ocs_only,3,none,final,"[0,30)",84,12.011,0.5
ocs_only_fold3_aug-none,ocs_only,3,none,final,"[30,60)",84,41.749,0.0
ocs_only_fold3_aug-none,ocs_only,3,none,final,"[60,90)",84,71.737,0.0
ocs_only_fold3_aug-none,ocs_only,3,none,final,"[90,120)",14,89.237,0.0
ocs_only_fold4_aug-none,ocs_only,4,none,final,"[-90,-60)",84,95.14,0.0
ocs_only_fold4_aug-none,ocs_only,4,none,final,"[-60,-30)",84,54.778,0.0
ocs_only_fold4_aug-none,ocs_only,4,none,final,"[-30,0)",84,14.281,0.417
ocs_only_fold4_aug-none,ocs_only,4,none,final,"[0,30)",84,14.59,0.31
ocs_only_fold4_aug-none,ocs_only,4,none,final,"[30,60)",84,43.292,0.0
ocs_only_fold4_aug-none,ocs_only,4,none,final,"[60,90)",84,75.965,0.0
ocs_only_fold4_aug-none,ocs_only,4,none,final,"[90,120)",14,93.292,0.0
