run,mode,fold,aug,select,best_epoch,n_test,yaw_cmae_deg,yaw_median_deg,yaw_p90_deg,yaw_hit@5,yaw_hit@10,yaw_hit@30,yaw_within_1bin,yaw_within_2bin,yaw_within_6bin,yaw_exact_sentinel,yaw_coarse45,yaw_coarse90,pitch_mae_deg,pitch_hit@5,pitch_hit@10,pitch_hit@30,pitch_exact_sentinel
image_only_fold0_aug-none,image_only,0,none,best,16,555,94.4288,99.6501,163.0723,0.036,0.0775,0.164,0.0613,0.0865,0.1784,0.0162,0.1892,0.1928,20.5934,0.173,0.3279,0.7495,0.0937
image_only_fold0_aug-standard,image_only,0,standard,best,2,555,139.7138,150.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.1622,0.0811,0.1351,0.3514,0.027
image_only_fold1_aug-none,image_only,1,none,best,15,555,64.5551,65.0493,95.0437,0.0018,0.0054,0.0054,0.0054,0.0054,0.0721,0.0,0.0018,0.2054,88.7027,0.0541,0.0811,0.1964,0.027
image_only_fold1_aug-standard,image_only,1,standard,best,9,555,147.8981,150.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.1622,0.0811,0.1351,0.3514,0.027
image_only_fold2_aug-none,image_only,2,none,best,15,518,42.5,42.5,70.0,0.0,0.0714,0.3571,0.0,0.0714,0.3571,0.0,0.0,0.5714,57.1622,0.0811,0.1351,0.3514,0.027
image_only_fold2_aug-standard,image_only,2,standard,best,1,518,137.5,137.5,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.1622,0.0811,0.1351,0.3514,0.027
image_only_fold3_aug-none,image_only,3,none,best,8,518,52.1654,54.4044,76.6582,0.0077,0.0367,0.2046,0.0212,0.0463,0.2143,0.0,0.0714,0.5483,49.2518,0.0541,0.1081,0.3707,0.029
image_only_fold3_aug-standard,image_only,3,standard,best,7,518,54.3117,51.4615,100.0051,0.0907,0.1332,0.2085,0.1197,0.139,0.2394,0.0483,0.1293,0.4247,83.0798,0.0695,0.1062,0.2432,0.0328
image_only_fold4_aug-none,image_only,4,none,best,7,518,47.7173,33.0968,110.0,0.0714,0.1351,0.4537,0.1062,0.1776,0.4865,0.0463,0.2645,0.6815,50.6332,0.1062,0.1757,0.4479,0.0502
image_only_fold4_aug-standard,image_only,4,standard,best,16,518,50.5819,44.9759,104.7321,0.056,0.1023,0.3494,0.0792,0.1293,0.3707,0.0212,0.2722,0.6448,54.1344,0.168,0.2915,0.4595,0.0869
joint_fold0_aug-none,joint,0,none,best,20,555,107.2101,124.9083,168.793,0.0036,0.0396,0.1622,0.0198,0.0505,0.1676,0.0,0.1568,0.1568,14.3929,0.218,0.4126,0.9315,0.0883
joint_fold0_aug-standard,joint,0,standard,best,20,555,157.9887,156.5311,176.6641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.3512,0.0883,0.1243,0.2775,0.0523
joint_fold1_aug-none,joint,1,none,best,4,555,65.0037,65.0305,95.0561,0.0,0.0,0.0378,0.0,0.0,0.0667,0.0,0.1315,0.2,87.8559,0.0541,0.0811,0.1964,0.027
joint_fold1_aug-standard,joint,1,standard,best,3,555,60.7159,60.6241,90.6625,0.0468,0.0739,0.1009,0.0468,0.0739,0.1045,0.0162,0.1315,0.1874,65.0265,0.0757,0.1117,0.2757,0.0414
joint_fold2_aug-none,joint,2,none,best,16,518,88.9069,79.5954,149.8512,0.0154,0.0405,0.1236,0.027,0.0483,0.1274,0.0135,0.0869,0.3996,13.6243,0.222,0.4865,0.9305,0.1062
joint_fold2_aug-standard,joint,2,standard,best,10,518,123.8616,130.6948,170.5746,0.0019,0.0058,0.0193,0.0039,0.0077,0.0212,0.0,0.0328,0.0927,68.4928,0.0734,0.112,0.2606,0.0367
joint_fold3_aug-none,joint,3,none,best,19,518,65.2014,66.3909,97.3066,0.0019,0.0077,0.1042,0.0039,0.0077,0.1313,0.0019,0.1641,0.305,65.0173,0.083,0.1409,0.3726,0.0367
joint_fold3_aug-standard,joint,3,standard,best,18,518,30.237,28.8376,50.1725,0.0386,0.0772,0.5251,0.0598,0.11,0.5637,0.0135,0.4981,0.5618,78.6495,0.0328,0.0772,0.1931,0.0193
joint_fold4_aug-none,joint,4,none,best,9,518,37.3781,26.9893,90.3661,0.0753,0.1757,0.5521,0.1139,0.2201,0.5907,0.029,0.4035,0.7819,70.3934,0.0714,0.1042,0.2838,0.0347
joint_fold4_aug-standard,joint,4,standard,best,11,518,34.5352,31.3666,64.7605,0.0502,0.1274,0.4807,0.083,0.168,0.527,0.0174,0.2413,0.8475,18.1207,0.1622,0.3417,0.8359,0.0849
ocs_only_fold0_aug-none,ocs_only,0,none,best,4,555,160.0959,161.1632,176.2457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.511,0.0541,0.1081,0.3243,0.027
ocs_only_fold1_aug-none,ocs_only,1,none,best,20,555,127.6754,134.6717,157.8104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.3417,0.0541,0.1081,0.3243,0.027
ocs_only_fold2_aug-none,ocs_only,2,none,best,14,518,125.609,123.1374,169.2763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.3823,0.0598,0.112,0.3205,0.027
ocs_only_fold3_aug-none,ocs_only,3,none,best,8,518,161.5886,162.5963,176.9751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.4025,0.0541,0.1081,0.3243,0.0328
ocs_only_fold4_aug-none,ocs_only,4,none,best,20,518,144.0537,141.6937,174.1879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.8533,0.0541,0.1178,0.3224,0.027
