run,mode,fold,aug,select,best_epoch,n_test,yaw_cmae_deg,yaw_median_deg,yaw_p90_deg,yaw_hit@5,yaw_hit@10,yaw_hit@30,yaw_within_1bin,yaw_within_2bin,yaw_within_6bin,yaw_exact_sentinel,yaw_coarse45,yaw_coarse90,pitch_mae_deg,pitch_hit@5,pitch_hit@10,pitch_hit@30,pitch_exact_sentinel
image_only_fold0_aug-none,image_only,0,none,final,16,555,111.3163,118.0952,169.5925,0.0,0.0,0.0432,0.0,0.0,0.0541,0.0,0.0126,0.0126,20.2347,0.0829,0.236,0.7658,0.0432
image_only_fold0_aug-standard,image_only,0,standard,final,2,555,130.9953,130.0042,169.9936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.5784,0.036,0.0865,0.3315,0.0234
image_only_fold1_aug-none,image_only,1,none,final,15,555,35.6768,33.9268,64.1481,0.045,0.1045,0.445,0.0649,0.155,0.4739,0.018,0.2613,0.7856,13.815,0.2811,0.4505,0.9279,0.1441
image_only_fold1_aug-standard,image_only,1,standard,final,9,555,114.4955,115.0,145.0,0.0,0.0072,0.0072,0.0,0.0072,0.0072,0.0,0.0072,0.0072,57.1622,0.0811,0.1351,0.3514,0.027
image_only_fold2_aug-none,image_only,2,none,final,15,518,42.5,42.5,70.0,0.0,0.0714,0.3571,0.0,0.0714,0.3571,0.0,0.0,0.5714,57.1622,0.0811,0.1351,0.3514,0.027
image_only_fold2_aug-standard,image_only,2,standard,final,1,518,137.5,137.5,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.1622,0.0811,0.1351,0.3514,0.027
image_only_fold3_aug-none,image_only,3,none,final,8,518,95.6454,96.2365,156.9863,0.0,0.0,0.0985,0.0,0.0,0.1293,0.0,0.1525,0.2857,15.1643,0.2046,0.3842,0.9266,0.1042
image_only_fold3_aug-standard,image_only,3,standard,final,7,518,151.7857,152.5,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.1622,0.0811,0.1351,0.3514,0.027
image_only_fold4_aug-none,image_only,4,none,final,7,518,28.0367,20.0928,56.1052,0.2104,0.3224,0.6216,0.2741,0.388,0.6448,0.1158,0.4788,0.9189,23.0972,0.0946,0.2046,0.7876,0.0483
image_only_fold4_aug-standard,image_only,4,standard,final,16,518,117.9942,128.661,165.2698,0.0,0.0154,0.0927,0.0097,0.0328,0.0965,0.0,0.0116,0.0907,88.4416,0.0541,0.0811,0.1969,0.027
joint_fold0_aug-none,joint,0,none,final,20,555,107.2101,124.9083,168.793,0.0036,0.0396,0.1622,0.0198,0.0505,0.1676,0.0,0.1568,0.1568,14.3929,0.218,0.4126,0.9315,0.0883
joint_fold0_aug-standard,joint,0,standard,final,20,555,157.9887,156.5311,176.6641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.3512,0.0883,0.1243,0.2775,0.0523
joint_fold1_aug-none,joint,1,none,final,4,555,36.1096,34.0743,66.4777,0.0595,0.1514,0.4432,0.0937,0.1874,0.4649,0.0216,0.2036,0.8,13.3224,0.3315,0.5748,0.8685,0.1658
joint_fold1_aug-standard,joint,1,standard,final,3,555,149.3243,155.0,175.0,0.0072,0.0216,0.0216,0.0072,0.0216,0.0216,0.0,0.0216,0.0216,57.1622,0.0811,0.1351,0.3514,0.027
joint_fold2_aug-none,joint,2,none,final,16,518,93.4172,87.8289,155.3185,0.0502,0.0734,0.1351,0.0579,0.0811,0.1371,0.0328,0.0927,0.3707,12.7701,0.2297,0.4942,0.9421,0.11
joint_fold2_aug-standard,joint,2,standard,final,10,518,137.5,137.5,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.1622,0.0811,0.1351,0.3514,0.027
joint_fold3_aug-none,joint,3,none,final,19,518,78.8115,71.541,154.0258,0.0405,0.0753,0.2297,0.0541,0.0965,0.2375,0.0251,0.2278,0.2278,34.4838,0.0695,0.1371,0.5637,0.0386
joint_fold3_aug-standard,joint,3,standard,final,18,518,38.0771,34.869,76.1969,0.0792,0.1583,0.444,0.112,0.1931,0.4749,0.0463,0.2645,0.2896,63.1913,0.0579,0.1216,0.3263,0.0154
joint_fold4_aug-none,joint,4,none,final,9,518,28.4369,23.2319,57.7308,0.1486,0.2664,0.5849,0.2181,0.3224,0.61,0.0772,0.4151,0.8263,14.8711,0.2162,0.4247,0.8977,0.1197
joint_fold4_aug-standard,joint,4,standard,final,11,518,17.0224,10.1972,46.207,0.278,0.4923,0.7876,0.3958,0.5734,0.8185,0.1313,0.5734,0.9575,11.5197,0.3185,0.5676,0.9459,0.1506
ocs_only_fold0_aug-none,ocs_only,0,none,final,4,555,112.0554,106.3996,165.3911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.3393,0.0541,0.1081,0.3243,0.027
ocs_only_fold1_aug-none,ocs_only,1,none,final,20,555,127.6754,134.6717,157.8104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.3417,0.0541,0.1081,0.3243,0.027
ocs_only_fold2_aug-none,ocs_only,2,none,final,14,518,122.8863,129.537,168.5444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0714,54.024,0.0541,0.1178,0.3301,0.029
ocs_only_fold3_aug-none,ocs_only,3,none,final,8,518,147.7041,145.3514,178.5009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0193,46.2243,0.0541,0.1081,0.3243,0.027
ocs_only_fold4_aug-none,ocs_only,4,none,final,20,518,144.0537,141.6937,174.1879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.8533,0.0541,0.1178,0.3224,0.027
