run,mode,fold,aug,select,yaw_block_deg,n,yaw_cmae_deg,yaw_median_deg,yaw_hit@10,yaw_hit@30
image_only_fold0_aug-none,image_only,0,none,best,"[0,45)",333,129.684,132.288,0.0,0.003
image_only_fold0_aug-none,image_only,0,none,best,"[45,90)",222,41.546,40.108,0.194,0.405
image_only_fold0_aug-standard,image_only,0,standard,best,"[0,45)",333,155.0,155.0,0.0,0.0
image_only_fold0_aug-standard,image_only,0,standard,best,"[45,90)",222,116.785,80.002,0.0,0.0
image_only_fold1_aug-none,image_only,1,none,best,"[45,90)",111,35.028,35.028,0.0,0.0
image_only_fold1_aug-none,image_only,1,none,best,"[90,135)",333,65.047,65.049,0.0,0.0
image_only_fold1_aug-none,image_only,1,none,best,"[135,180)",111,92.606,95.044,0.027,0.027
image_only_fold1_aug-standard,image_only,1,standard,best,"[45,90)",111,125.0,125.0,0.0,0.0
image_only_fold1_aug-standard,image_only,1,standard,best,"[90,135)",333,155.0,155.0,0.0,0.0
image_only_fold1_aug-standard,image_only,1,standard,best,"[135,180)",111,149.491,170.0,0.0,0.0
image_only_fold2_aug-none,image_only,2,none,best,"[135,180)",222,62.5,62.5,0.0,0.0
image_only_fold2_aug-none,image_only,2,none,best,"[180,225)",296,27.5,27.5,0.125,0.625
image_only_fold2_aug-standard,image_only,2,standard,best,"[135,180)",222,117.5,117.5,0.0,0.0
image_only_fold2_aug-standard,image_only,2,standard,best,"[180,225)",296,152.5,152.5,0.0,0.0
image_only_fold3_aug-none,image_only,3,none,best,"[180,225)",37,19.611,13.056,0.459,0.757
image_only_fold3_aug-none,image_only,3,none,best,"[225,270)",333,47.872,48.152,0.006,0.234
image_only_fold3_aug-none,image_only,3,none,best,"[270,315)",148,69.964,69.035,0.0,0.0
image_only_fold3_aug-standard,image_only,3,standard,best,"[180,225)",37,12.193,5.328,0.784,0.892
image_only_fold3_aug-standard,image_only,3,standard,best,"[225,270)",333,58.682,43.48,0.12,0.225
image_only_fold3_aug-standard,image_only,3,standard,best,"[270,315)",148,55.008,54.39,0.0,0.0
image_only_fold4_aug-none,image_only,4,none,best,"[270,315)",185,30.735,28.5,0.124,0.519
image_only_fold4_aug-none,image_only,4,none,best,"[315,360)",333,57.152,44.743,0.141,0.417
image_only_fold4_aug-standard,image_only,4,standard,best,"[270,315)",185,38.145,39.989,0.076,0.351
image_only_fold4_aug-standard,image_only,4,standard,best,"[315,360)",333,57.491,57.642,0.117,0.348
joint_fold0_aug-none,joint,0,none,best,"[0,45)",333,144.563,147.002,0.0,0.0
joint_fold0_aug-none,joint,0,none,best,"[45,90)",222,51.181,37.295,0.099,0.405
joint_fold0_aug-standard,joint,0,standard,best,"[0,45)",333,155.249,155.593,0.0,0.0
joint_fold0_aug-standard,joint,0,standard,best,"[45,90)",222,162.098,160.09,0.0,0.0
