run,mode,fold,aug,select,yaw_block_deg,n,yaw_cmae_deg,yaw_median_deg,yaw_hit@10,yaw_hit@30
image_only_fold0_aug-none,image_only,0,none,final,"[0,45)",333,141.202,144.915,0.0,0.0
image_only_fold0_aug-none,image_only,0,none,final,"[45,90)",222,66.488,70.488,0.0,0.108
image_only_fold0_aug-standard,image_only,0,standard,final,"[0,45)",333,126.918,125.009,0.0,0.0
image_only_fold0_aug-standard,image_only,0,standard,final,"[45,90)",222,137.111,154.875,0.0,0.0
image_only_fold1_aug-none,image_only,1,none,final,"[45,90)",111,62.181,60.43,0.0,0.009
image_only_fold1_aug-none,image_only,1,none,final,"[90,135)",333,33.713,32.914,0.027,0.429
image_only_fold1_aug-none,image_only,1,none,final,"[135,180)",111,15.064,10.707,0.441,0.928
image_only_fold1_aug-standard,image_only,1,standard,final,"[45,90)",111,145.0,145.0,0.0,0.0
image_only_fold1_aug-standard,image_only,1,standard,final,"[90,135)",333,115.0,115.0,0.0,0.0
image_only_fold1_aug-standard,image_only,1,standard,final,"[135,180)",111,82.477,85.0,0.036,0.036
image_only_fold2_aug-none,image_only,2,none,final,"[135,180)",222,62.5,62.5,0.0,0.0
image_only_fold2_aug-none,image_only,2,none,final,"[180,225)",296,27.5,27.5,0.125,0.625
image_only_fold2_aug-standard,image_only,2,standard,final,"[135,180)",222,117.5,117.5,0.0,0.0
image_only_fold2_aug-standard,image_only,2,standard,final,"[180,225)",296,152.5,152.5,0.0,0.0
image_only_fold3_aug-none,image_only,3,none,final,"[180,225)",37,166.18,164.312,0.0,0.0
image_only_fold3_aug-none,image_only,3,none,final,"[225,270)",333,113.727,114.341,0.0,0.0
image_only_fold3_aug-none,image_only,3,none,final,"[270,315)",148,37.327,34.909,0.0,0.345
image_only_fold3_aug-standard,image_only,3,standard,final,"[180,225)",37,175.0,175.0,0.0,0.0
image_only_fold3_aug-standard,image_only,3,standard,final,"[225,270)",333,160.0,160.0,0.0,0.0
image_only_fold3_aug-standard,image_only,3,standard,final,"[270,315)",148,127.5,127.5,0.0,0.0
image_only_fold4_aug-none,image_only,4,none,final,"[270,315)",185,39.681,41.606,0.016,0.259
image_only_fold4_aug-none,image_only,4,none,final,"[315,360)",333,21.568,10.113,0.492,0.823
image_only_fold4_aug-standard,image_only,4,standard,final,"[270,315)",185,137.887,133.072,0.0,0.0
image_only_fold4_aug-standard,image_only,4,standard,final,"[315,360)",333,106.942,125.175,0.024,0.144
joint_fold0_aug-none,joint,0,none,final,"[0,45)",333,144.563,147.002,0.0,0.0
joint_fold0_aug-none,joint,0,none,final,"[45,90)",222,51.181,37.295,0.099,0.405
joint_fold0_aug-standard,joint,0,standard,final,"[0,45)",333,155.249,155.593,0.0,0.0
joint_fold0_aug-standard,joint,0,standard,final,"[45,90)",222,162.098,160.09,0.0,0.0
joint_fold1_aug-none,joint,1,none,final,"[45,90)",111,67.834,66.557,0.0,0.0
joint_fold1_aug-none,joint,1,none,final,"[90,135)",333,34.851,34.074,0.018,0.405
joint_fold1_aug-none,joint,1,none,final,"[135,180)",111,8.16,8.11,0.703,1.0
joint_fold1_aug-standard,joint,1,standard,final,"[45,90)",111,125.0,125.0,0.0,0.0
joint_fold1_aug-standard,joint,1,standard,final,"[90,135)",333,155.0,155.0,0.0,0.0
joint_fold1_aug-standard,joint,1,standard,final,"[135,180)",111,156.621,175.0,0.108,0.108
joint_fold2_aug-none,joint,2,none,final,"[135,180)",222,58.04,60.414,0.072,0.126
joint_fold2_aug-none,joint,2,none,final,"[180,225)",296,119.95,140.397,0.074,0.142
joint_fold2_aug-standard,joint,2,standard,final,"[135,180)",222,117.5,117.5,0.0,0.0
joint_fold2_aug-standard,joint,2,standard,final,"[180,225)",296,152.5,152.5,0.0,0.0
joint_fold3_aug-none,joint,3,none,final,"[180,225)",37,168.719,168.768,0.0,0.0
joint_fold3_aug-none,joint,3,none,final,"[225,270)",333,95.389,93.435,0.0,0.0
joint_fold3_aug-none,joint,3,none,final,"[270,315)",148,19.036,18.54,0.264,0.804
joint_fold3_aug-standard,joint,3,standard,final,"[180,225)",37,69.062,66.787,0.0,0.027
joint_fold3_aug-standard,joint,3,standard,final,"[225,270)",333,46.382,43.645,0.021,0.258
joint_fold3_aug-standard,joint,3,standard,final,"[270,315)",148,11.645,9.746,0.507,0.966
joint_fold4_aug-none,joint,4,none,final,"[270,315)",185,45.09,48.214,0.016,0.141
joint_fold4_aug-none,joint,4,none,final,"[315,360)",333,19.185,12.872,0.405,0.832
joint_fold4_aug-standard,joint,4,standard,final,"[270,315)",185,28.711,27.257,0.184,0.541
joint_fold4_aug-standard,joint,4,standard,final,"[315,360)",333,10.529,6.935,0.664,0.925
ocs_only_fold0_aug-none,ocs_only,0,none,final,"[0,45)",333,137.709,141.531,0.0,0.0
ocs_only_fold0_aug-none,ocs_only,0,none,final,"[45,90)",222,73.575,71.435,0.0,0.0
ocs_only_fold1_aug-none,ocs_only,1,none,final,"[45,90)",111,86.487,86.131,0.0,0.0
ocs_only_fold1_aug-none,ocs_only,1,none,final,"[90,135)",333,133.48,134.672,0.0,0.0
ocs_only_fold1_aug-none,ocs_only,1,none,final,"[135,180)",111,151.45,150.737,0.0,0.0
ocs_only_fold2_aug-none,ocs_only,2,none,final,"[135,180)",222,152.139,152.053,0.0,0.0
ocs_only_fold2_aug-none,ocs_only,2,none,final,"[180,225)",296,100.947,100.773,0.0,0.0
ocs_only_fold3_aug-none,ocs_only,3,none,final,"[180,225)",37,177.647,177.671,0.0,0.0
ocs_only_fold3_aug-none,ocs_only,3,none,final,"[225,270)",333,158.345,163.761,0.0,0.0
ocs_only_fold3_aug-none,ocs_only,3,none,final,"[270,315)",148,116.277,121.598,0.0,0.0
ocs_only_fold4_aug-none,ocs_only,4,none,final,"[270,315)",185,153.769,162.443,0.0,0.0
ocs_only_fold4_aug-none,ocs_only,4,none,final,"[315,360)",333,138.656,134.408,0.0,0.0
