select,geom_group,mode,n,entropy_mean,margin_mean,yaw_cmae_all,yaw_cmae_high_margin,yaw_cmae_low_margin,yaw_cmae_low_entropy,yaw_cmae_high_entropy
final,G1,ocs_only,296,4.9172,0.00041,78.306,79.909,76.703,78.074,78.538
final,G1,image_only,296,4.8946,0.0004,12.065,13.32,10.809,11.795,12.334
final,G1,joint,296,4.8029,0.00049,2.099,2.029,2.168,2.182,2.015
final,G3,ocs_only,296,4.9132,0.00038,38.56,39.577,37.542,44.345,32.774
final,G3,image_only,296,4.8176,0.00043,4.945,4.698,5.193,5.35,4.541
final,G3,joint,296,4.8295,0.00045,2.032,1.594,2.469,2.008,2.055
final,G5,ocs_only,296,4.9149,0.0004,22.769,23.66,21.878,22.267,23.271
final,G5,image_only,296,4.6532,0.00066,9.124,9.189,9.059,8.138,10.11
final,G5,joint,296,4.8345,0.00041,3.197,3.138,3.256,3.05,3.344
best,G1,ocs_only,296,4.9173,0.00041,76.559,75.769,77.348,80.638,72.479
best,G1,image_only,296,4.8071,0.00049,2.436,2.04,2.832,2.752,2.12
best,G1,joint,296,4.8139,0.00047,2.114,1.634,2.594,2.188,2.039
best,G3,ocs_only,296,4.9137,0.0004,38.225,44.455,31.994,33.661,42.788
best,G3,image_only,296,4.8176,0.00043,4.945,4.698,5.193,5.35,4.541
best,G3,joint,296,4.8295,0.00045,2.032,1.594,2.469,2.008,2.055
best,G5,ocs_only,296,4.9149,0.0004,22.769,23.66,21.878,22.267,23.271
best,G5,image_only,296,4.8161,0.00044,8.573,8.863,8.283,8.548,8.597
best,G5,joint,296,4.8345,0.00041,3.197,3.138,3.256,3.05,3.344
