method,degrade_level,geom,mode,select,record_id,yaw_true,yaw_err,q_deg_a010,covered_a010
neural,clean,G1,ocs_only,best,G1_yaw260_pitch-065,260.0,72.6332,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw300_pitch+055,300.0,6.7451,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw140_pitch+000,140.0,69.1128,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw165_pitch+055,165.0,51.5181,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw170_pitch-040,170.0,31.8804,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw315_pitch-020,315.0,113.644,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw130_pitch+035,130.0,83.0735,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw020_pitch-005,20.0,162.9082,160.8977,0
neural,clean,G1,ocs_only,best,G1_yaw255_pitch-005,255.0,166.1736,160.8977,0
neural,clean,G1,ocs_only,best,G1_yaw190_pitch-055,190.0,39.5627,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw345_pitch-080,345.0,171.3078,160.8977,0
neural,clean,G1,ocs_only,best,G1_yaw160_pitch-080,160.0,72.6839,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw320_pitch-020,320.0,93.207,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw085_pitch+050,85.0,5.034,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw015_pitch+020,15.0,172.9568,160.8977,0
neural,clean,G1,ocs_only,best,G1_yaw175_pitch-015,175.0,44.8946,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw320_pitch-065,320.0,120.1788,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw245_pitch+075,245.0,10.6815,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw120_pitch+085,120.0,176.3711,160.8977,0
neural,clean,G1,ocs_only,best,G1_yaw085_pitch-060,85.0,10.1324,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw175_pitch+080,175.0,96.1821,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw200_pitch+005,200.0,12.1285,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw160_pitch-070,160.0,91.9935,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw135_pitch-080,135.0,100.5411,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw250_pitch+080,250.0,175.3397,160.8977,0
neural,clean,G1,ocs_only,best,G1_yaw020_pitch+065,20.0,125.0343,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw320_pitch+005,320.0,128.8978,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw115_pitch-085,115.0,120.6599,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw325_pitch+010,325.0,155.8975,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw255_pitch+015,255.0,171.6769,160.8977,0
neural,clean,G1,ocs_only,best,G1_yaw185_pitch+060,185.0,115.2936,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw280_pitch+030,280.0,4.5657,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw045_pitch-035,45.0,29.5379,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw055_pitch+005,55.0,1.9713,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw110_pitch-055,110.0,164.7814,160.8977,0
neural,clean,G1,ocs_only,best,G1_yaw330_pitch-075,330.0,137.9944,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw310_pitch-020,310.0,174.1877,160.8977,0
neural,clean,G1,ocs_only,best,G1_yaw270_pitch+045,270.0,87.3667,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw095_pitch-020,95.0,89.9324,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw350_pitch-045,350.0,88.8177,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw010_pitch-010,10.0,158.7402,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw240_pitch+030,240.0,179.4458,160.8977,0
neural,clean,G1,ocs_only,best,G1_yaw250_pitch+085,250.0,175.4074,160.8977,0
neural,clean,G1,ocs_only,best,G1_yaw095_pitch+025,95.0,21.0251,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw065_pitch-015,65.0,6.6223,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw075_pitch-070,75.0,9.3103,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw180_pitch+015,180.0,38.3617,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw295_pitch-085,295.0,19.6629,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw205_pitch+075,205.0,4.4362,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw335_pitch-070,335.0,154.2764,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw165_pitch-005,165.0,6.1834,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw295_pitch+000,295.0,74.2123,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw170_pitch+060,170.0,81.4459,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw195_pitch+045,195.0,55.6512,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw120_pitch+075,120.0,151.6111,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw320_pitch+020,320.0,134.4487,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw075_pitch-025,75.0,9.4096,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw230_pitch-035,230.0,155.6858,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw015_pitch+010,15.0,164.8503,160.8977,0
neural,clean,G1,ocs_only,best,G1_yaw285_pitch-040,285.0,25.8983,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw145_pitch-030,145.0,8.4825,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw020_pitch-060,20.0,158.9169,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw160_pitch-055,160.0,1.6604,160.8977,1
