method,degrade_level,geom,mode,select,alpha,q_deg,val_n,test_n,coverage,target,set_size_deg
neural,clean,G1,ocs_only,best,0.05,175.9791,259,296,0.9764,0.95,351.9582
neural,clean,G1,ocs_only,best,0.1,160.8977,259,296,0.8986,0.9,321.7954
neural,clean,G1,ocs_only,best,0.2,126.0305,259,296,0.7736,0.8,252.061
neural,clean,G1,ocs_only,final,0.05,172.4702,259,296,0.9628,0.95,344.9403
neural,clean,G1,ocs_only,final,0.1,166.7711,259,296,0.9392,0.9,333.5422
neural,clean,G1,ocs_only,final,0.2,131.0247,259,296,0.7905,0.8,262.0494
neural,clean,G1,image_only,best,0.05,7.2817,259,296,0.9527,0.95,14.5634
neural,clean,G1,image_only,best,0.1,5.0075,259,296,0.8919,0.9,10.015
neural,clean,G1,image_only,best,0.2,4.1445,259,296,0.8378,0.8,8.2889
neural,clean,G1,image_only,final,0.05,27.2875,259,296,0.9358,0.95,54.5751
neural,clean,G1,image_only,final,0.1,23.7463,259,296,0.8649,0.9,47.4927
neural,clean,G1,image_only,final,0.2,19.0505,259,296,0.7804,0.8,38.101
neural,clean,G1,joint,best,0.05,6.0907,259,296,0.9595,0.95,12.1814
neural,clean,G1,joint,best,0.1,4.6219,259,296,0.9122,0.9,9.2439
neural,clean,G1,joint,best,0.2,3.3073,259,296,0.7939,0.8,6.6146
neural,clean,G1,joint,final,0.05,6.5759,259,296,0.9628,0.95,13.1518
neural,clean,G1,joint,final,0.1,4.1969,259,296,0.8919,0.9,8.3938
neural,clean,G1,joint,final,0.2,3.0555,259,296,0.7703,0.8,6.111
neural,clean,G3,ocs_only,best,0.05,161.4542,259,296,0.9392,0.95,322.9084
neural,clean,G3,ocs_only,best,0.1,122.8454,259,296,0.9122,0.9,245.6907
neural,clean,G3,ocs_only,best,0.2,80.5554,259,296,0.8176,0.8,161.1108
neural,clean,G3,ocs_only,final,0.05,150.98,259,296,0.9595,0.95,301.9601
neural,clean,G3,ocs_only,final,0.1,109.4219,259,296,0.8818,0.9,218.8439
neural,clean,G3,ocs_only,final,0.2,84.2722,259,296,0.8277,0.8,168.5443
neural,clean,G3,image_only,best,0.05,13.4775,259,296,0.9358,0.95,26.955
neural,clean,G3,image_only,best,0.1,10.4756,259,296,0.8649,0.9,20.9512
neural,clean,G3,image_only,best,0.2,7.3319,259,296,0.7736,0.8,14.6638
neural,clean,G3,image_only,final,0.05,13.4775,259,296,0.9358,0.95,26.955
neural,clean,G3,image_only,final,0.1,10.4756,259,296,0.8649,0.9,20.9512
neural,clean,G3,image_only,final,0.2,7.3319,259,296,0.7736,0.8,14.6638
neural,clean,G3,joint,best,0.05,6.2128,259,296,0.9561,0.95,12.4256
neural,clean,G3,joint,best,0.1,4.9907,259,296,0.9223,0.9,9.9815
neural,clean,G3,joint,best,0.2,3.4546,259,296,0.8615,0.8,6.9092
neural,clean,G3,joint,final,0.05,6.2128,259,296,0.9561,0.95,12.4256
neural,clean,G3,joint,final,0.1,4.9907,259,296,0.9223,0.9,9.9815
neural,clean,G3,joint,final,0.2,3.4546,259,296,0.8615,0.8,6.9092
neural,clean,G5,ocs_only,best,0.05,103.8144,259,296,0.9595,0.95,207.6288
neural,clean,G5,ocs_only,best,0.1,63.0904,259,296,0.902,0.9,126.1807
neural,clean,G5,ocs_only,best,0.2,28.0909,259,296,0.8007,0.8,56.1819
neural,clean,G5,ocs_only,final,0.05,103.8144,259,296,0.9595,0.95,207.6288
neural,clean,G5,ocs_only,final,0.1,63.0904,259,296,0.902,0.9,126.1807
neural,clean,G5,ocs_only,final,0.2,28.0909,259,296,0.8007,0.8,56.1819
neural,clean,G5,image_only,best,0.05,23.8646,259,296,0.9426,0.95,47.7292
neural,clean,G5,image_only,best,0.1,16.1529,259,296,0.8345,0.9,32.3058
neural,clean,G5,image_only,best,0.2,12.4068,259,296,0.777,0.8,24.8135
neural,clean,G5,image_only,final,0.05,21.101,259,296,0.9595,0.95,42.2019
neural,clean,G5,image_only,final,0.1,19.3127,259,296,0.9155,0.9,38.6254
neural,clean,G5,image_only,final,0.2,14.4369,259,296,0.7804,0.8,28.8737
neural,clean,G5,joint,best,0.05,7.2414,259,296,0.9392,0.95,14.4827
neural,clean,G5,joint,best,0.1,6.4348,259,296,0.902,0.9,12.8696
neural,clean,G5,joint,best,0.2,5.1706,259,296,0.8108,0.8,10.3413
neural,clean,G5,joint,final,0.05,7.2414,259,296,0.9392,0.95,14.4827
neural,clean,G5,joint,final,0.1,6.4348,259,296,0.902,0.9,12.8696
neural,clean,G5,joint,final,0.2,5.1706,259,296,0.8108,0.8,10.3413
neural,degraded-mild,G1,ocs_only,best,0.05,176.834,259,296,0.9696,0.95,353.668
neural,degraded-mild,G1,ocs_only,best,0.1,160.1159,259,296,0.9054,0.9,320.2319
neural,degraded-mild,G1,ocs_only,best,0.2,124.7238,259,296,0.7973,0.8,249.4476
neural,degraded-mild,G1,ocs_only,final,0.05,171.0725,259,296,0.9595,0.95,342.1451
neural,degraded-mild,G1,ocs_only,final,0.1,165.9545,259,296,0.9189,0.9,331.909
neural,degraded-mild,G1,ocs_only,final,0.2,133.7689,259,296,0.7939,0.8,267.5378
neural,degraded-mild,G1,image_only,best,0.05,4.4519,259,296,0.9527,0.95,8.9038
neural,degraded-mild,G1,image_only,best,0.1,3.6238,259,296,0.9155,0.9,7.2475
neural,degraded-mild,G1,image_only,best,0.2,2.5912,259,296,0.7872,0.8,5.1825
neural,degraded-mild,G1,image_only,final,0.05,4.4519,259,296,0.9527,0.95,8.9038
neural,degraded-mild,G1,image_only,final,0.1,3.6238,259,296,0.9155,0.9,7.2475
neural,degraded-mild,G1,image_only,final,0.2,2.5912,259,296,0.7872,0.8,5.1825
neural,degraded-mild,G1,joint,best,0.05,4.7185,259,296,0.9358,0.95,9.437
neural,degraded-mild,G1,joint,best,0.1,3.7399,259,296,0.8885,0.9,7.4799
neural,degraded-mild,G1,joint,best,0.2,2.9326,259,296,0.8041,0.8,5.8651
neural,degraded-mild,G1,joint,final,0.05,4.7185,259,296,0.9358,0.95,9.437
neural,degraded-mild,G1,joint,final,0.1,3.7399,259,296,0.8885,0.9,7.4799
neural,degraded-mild,G1,joint,final,0.2,2.9326,259,296,0.8041,0.8,5.8651
neural,degraded-mild,G3,ocs_only,best,0.05,163.9308,259,296,0.9628,0.95,327.8617
neural,degraded-mild,G3,ocs_only,best,0.1,137.9897,259,296,0.9392,0.9,275.9794
neural,degraded-mild,G3,ocs_only,best,0.2,92.4171,259,296,0.8311,0.8,184.8341
neural,degraded-mild,G3,ocs_only,final,0.05,167.1084,259,296,0.9865,0.95,334.2168
neural,degraded-mild,G3,ocs_only,final,0.1,137.8249,259,296,0.9392,0.9,275.6498
neural,degraded-mild,G3,ocs_only,final,0.2,90.7034,259,296,0.8243,0.8,181.4068
neural,degraded-mild,G5,ocs_only,best,0.05,112.2765,259,296,0.9358,0.95,224.553
neural,degraded-mild,G5,ocs_only,best,0.1,74.4164,259,296,0.8953,0.9,148.8328
neural,degraded-mild,G5,ocs_only,best,0.2,39.1816,259,296,0.8176,0.8,78.3632
neural,degraded-mild,G5,ocs_only,final,0.05,112.2765,259,296,0.9358,0.95,224.553
neural,degraded-mild,G5,ocs_only,final,0.1,74.4164,259,296,0.8953,0.9,148.8328
neural,degraded-mild,G5,ocs_only,final,0.2,39.1816,259,296,0.8176,0.8,78.3632
neural,degraded-mild,G5,image_only,best,0.05,8.7843,259,296,0.9223,0.95,17.5686
neural,degraded-mild,G5,image_only,best,0.1,6.667,259,296,0.848,0.9,13.3339
neural,degraded-mild,G5,image_only,best,0.2,5.1552,259,296,0.8142,0.8,10.3103
neural,degraded-mild,G5,image_only,final,0.05,8.7843,259,296,0.9223,0.95,17.5686
neural,degraded-mild,G5,image_only,final,0.1,6.667,259,296,0.848,0.9,13.3339
neural,degraded-mild,G5,image_only,final,0.2,5.1552,259,296,0.8142,0.8,10.3103
neural,degraded-mild,G5,joint,best,0.05,4.7385,259,296,0.9527,0.95,9.4771
neural,degraded-mild,G5,joint,best,0.1,3.6181,259,296,0.8919,0.9,7.2362
neural,degraded-mild,G5,joint,best,0.2,2.9349,259,296,0.8142,0.8,5.8698
neural,degraded-mild,G5,joint,final,0.05,5.0229,259,296,0.9392,0.95,10.0458
neural,degraded-mild,G5,joint,final,0.1,4.3858,259,296,0.8986,0.9,8.7716
neural,degraded-mild,G5,joint,final,0.2,3.7878,259,296,0.8345,0.8,7.5757
neural,degraded-moderate,G1,ocs_only,best,0.05,174.8812,259,296,0.973,0.95,349.7623
neural,degraded-moderate,G1,ocs_only,best,0.1,165.2491,259,296,0.9054,0.9,330.4981
neural,degraded-moderate,G1,ocs_only,best,0.2,139.6761,259,296,0.8176,0.8,279.3522
neural,degraded-moderate,G1,ocs_only,final,0.05,174.5175,259,296,0.9696,0.95,349.035
neural,degraded-moderate,G1,ocs_only,final,0.1,168.6767,259,296,0.9088,0.9,337.3535
neural,degraded-moderate,G1,ocs_only,final,0.2,143.1566,259,296,0.8243,0.8,286.3132
neural,degraded-moderate,G1,image_only,best,0.05,10.0,259,296,0.9527,0.95,20.0
neural,degraded-moderate,G1,image_only,best,0.1,7.9933,259,296,0.9122,0.9,15.9866
neural,degraded-moderate,G1,image_only,best,0.2,5.9147,259,296,0.8243,0.8,11.8294
neural,degraded-moderate,G1,image_only,final,0.05,13.1318,259,296,0.9628,0.95,26.2637
neural,degraded-moderate,G1,image_only,final,0.1,10.0,259,296,0.9223,0.9,20.0
neural,degraded-moderate,G1,image_only,final,0.2,7.8186,259,296,0.8784,0.8,15.6373
neural,degraded-moderate,G1,joint,best,0.05,4.2071,259,296,0.9223,0.95,8.4141
neural,degraded-moderate,G1,joint,best,0.1,3.3481,259,296,0.8446,0.9,6.6962
neural,degraded-moderate,G1,joint,best,0.2,2.4961,259,296,0.7297,0.8,4.9921
neural,degraded-moderate,G1,joint,final,0.05,5.2119,259,296,0.9561,0.95,10.4238
neural,degraded-moderate,G1,joint,final,0.1,4.0865,259,296,0.9122,0.9,8.1729
neural,degraded-moderate,G1,joint,final,0.2,3.2153,259,296,0.8176,0.8,6.4307
neural,degraded-moderate,G3,ocs_only,best,0.05,174.157,259,296,0.9764,0.95,348.3141
