method,degrade_level,geom,mode,select,alpha,stratum,val_n,test_n,q_deg,coverage,target,set_size_deg,fallback_pooled
neural,clean,G1,ocs_only,best,0.1,000-090,59,67,100.7536,0.7313,0.9,201.5071,False
neural,clean,G1,ocs_only,best,0.1,090-180,64,76,169.3678,0.9605,0.9,338.7357,False
neural,clean,G1,ocs_only,best,0.1,180-270,70,69,176.8139,0.9275,0.9,353.6278,False
neural,clean,G1,ocs_only,best,0.1,270-360,66,84,152.123,0.9405,0.9,304.2461,False
neural,clean,G1,ocs_only,best,0.2,000-090,59,67,72.5673,0.6716,0.8,145.1345,False
neural,clean,G1,ocs_only,best,0.2,090-180,64,76,122.0663,0.8158,0.8,244.1325,False
neural,clean,G1,ocs_only,best,0.2,180-270,70,69,167.1836,0.8551,0.8,334.3672,False
neural,clean,G1,ocs_only,best,0.2,270-360,66,84,126.0305,0.7738,0.8,252.061,False
neural,clean,G1,ocs_only,final,0.1,000-090,59,67,105.6154,0.7164,0.9,211.2307,False
neural,clean,G1,ocs_only,final,0.1,090-180,64,76,167.2157,0.9474,0.9,334.4314,False
neural,clean,G1,ocs_only,final,0.1,180-270,70,69,174.0261,0.942,0.9,348.0521,False
neural,clean,G1,ocs_only,final,0.1,270-360,66,84,123.3413,0.9405,0.9,246.6827,False
neural,clean,G1,ocs_only,final,0.2,000-090,59,67,51.0794,0.6418,0.8,102.1589,False
neural,clean,G1,ocs_only,final,0.2,090-180,64,76,151.1354,0.7895,0.8,302.2708,False
neural,clean,G1,ocs_only,final,0.2,180-270,70,69,169.8534,0.8841,0.8,339.7068,False
neural,clean,G1,ocs_only,final,0.2,270-360,66,84,100.9635,0.7976,0.8,201.9271,False
neural,clean,G1,image_only,best,0.1,000-090,59,67,3.8864,0.9403,0.9,7.7728,False
neural,clean,G1,image_only,best,0.1,090-180,64,76,7.4299,0.9079,0.9,14.8599,False
neural,clean,G1,image_only,best,0.1,180-270,70,69,4.6841,0.8261,0.9,9.3683,False
neural,clean,G1,image_only,best,0.1,270-360,66,84,6.6721,0.9762,0.9,13.3442,False
neural,clean,G1,image_only,best,0.2,000-090,59,67,2.3566,0.791,0.8,4.7133,False
neural,clean,G1,image_only,best,0.2,090-180,64,76,5.0075,0.8026,0.8,10.015,False
neural,clean,G1,image_only,best,0.2,180-270,70,69,3.7139,0.7536,0.8,7.4277,False
neural,clean,G1,image_only,best,0.2,270-360,66,84,4.5708,0.9167,0.8,9.1416,False
neural,clean,G1,image_only,final,0.1,000-090,59,67,26.6128,0.9552,0.9,53.2255,False
neural,clean,G1,image_only,final,0.1,090-180,64,76,34.1159,0.8947,0.9,68.2318,False
neural,clean,G1,image_only,final,0.1,180-270,70,69,13.2556,0.942,0.9,26.5113,False
neural,clean,G1,image_only,final,0.1,270-360,66,84,20.1852,0.9524,0.9,40.3705,False
neural,clean,G1,image_only,final,0.2,000-090,59,67,18.7232,0.6866,0.8,37.4465,False
neural,clean,G1,image_only,final,0.2,090-180,64,76,25.4008,0.7632,0.8,50.8016,False
neural,clean,G1,image_only,final,0.2,180-270,70,69,10.8685,0.8551,0.8,21.7369,False
neural,clean,G1,image_only,final,0.2,270-360,66,84,15.26,0.7857,0.8,30.5201,False
neural,clean,G1,joint,best,0.1,000-090,59,67,4.6219,0.9254,0.9,9.2439,False
neural,clean,G1,joint,best,0.1,090-180,64,76,6.0907,0.9079,0.9,12.1814,False
neural,clean,G1,joint,best,0.1,180-270,70,69,4.5921,0.942,0.9,9.1841,False
neural,clean,G1,joint,best,0.1,270-360,66,84,4.8553,0.9286,0.9,9.7106,False
neural,clean,G1,joint,best,0.2,000-090,59,67,3.7415,0.7761,0.8,7.4829,False
neural,clean,G1,joint,best,0.2,090-180,64,76,3.9393,0.7895,0.8,7.8787,False
neural,clean,G1,joint,best,0.2,180-270,70,69,2.7504,0.8116,0.8,5.5008,False
neural,clean,G1,joint,best,0.2,270-360,66,84,3.3073,0.8452,0.8,6.6146,False
neural,clean,G1,joint,final,0.1,000-090,59,67,3.4411,0.8657,0.9,6.8822,False
neural,clean,G1,joint,final,0.1,090-180,64,76,6.2829,0.9079,0.9,12.5659,False
neural,clean,G1,joint,final,0.1,180-270,70,69,4.0936,0.8986,0.9,8.1872,False
neural,clean,G1,joint,final,0.1,270-360,66,84,6.8704,1.0,0.9,13.7407,False
neural,clean,G1,joint,final,0.2,000-090,59,67,2.8423,0.8209,0.8,5.6847,False
neural,clean,G1,joint,final,0.2,090-180,64,76,3.5639,0.75,0.8,7.1277,False
neural,clean,G1,joint,final,0.2,180-270,70,69,2.869,0.7681,0.8,5.7379,False
neural,clean,G1,joint,final,0.2,270-360,66,84,3.4798,0.8571,0.8,6.9595,False
neural,clean,G3,ocs_only,best,0.1,000-090,59,67,175.136,0.9701,0.9,350.2719,False
neural,clean,G3,ocs_only,best,0.1,090-180,64,76,161.0908,0.9211,0.9,322.1817,False
neural,clean,G3,ocs_only,best,0.1,180-270,70,69,33.6646,0.8696,0.9,67.3291,False
neural,clean,G3,ocs_only,best,0.1,270-360,66,84,107.3651,0.881,0.9,214.7303,False
neural,clean,G3,ocs_only,best,0.2,000-090,59,67,72.3356,0.8657,0.8,144.6712,False
neural,clean,G3,ocs_only,best,0.2,090-180,64,76,120.4325,0.8816,0.8,240.865,False
neural,clean,G3,ocs_only,best,0.2,180-270,70,69,19.1866,0.7246,0.8,38.3731,False
neural,clean,G3,ocs_only,best,0.2,270-360,66,84,84.6187,0.8095,0.8,169.2374,False
neural,clean,G3,ocs_only,final,0.1,000-090,59,67,159.1898,0.9254,0.9,318.3795,False
neural,clean,G3,ocs_only,final,0.1,090-180,64,76,150.98,0.9737,0.9,301.9601,False
neural,clean,G3,ocs_only,final,0.1,180-270,70,69,63.1634,0.8986,0.9,126.3268,False
neural,clean,G3,ocs_only,final,0.1,270-360,66,84,119.7806,0.8333,0.9,239.5611,False
neural,clean,G3,ocs_only,final,0.2,000-090,59,67,64.9084,0.8806,0.8,129.8168,False
neural,clean,G3,ocs_only,final,0.2,090-180,64,76,101.0086,0.8947,0.8,202.0171,False
