degrade_level,geom,mode,select,n,both_correct,neural_only,pdb_only,both_wrong,either_correct,oracle_hit@30
clean,G1,ocs_only,best,296,32,50,54,160,136,0.4595
clean,G1,ocs_only,final,296,30,49,56,161,135,0.4561
clean,G1,image_only,best,296,86,210,0,0,296,1.0
clean,G1,image_only,final,296,86,199,0,11,285,0.9628
clean,G1,joint,best,296,86,210,0,0,296,1.0
clean,G1,joint,final,296,86,210,0,0,296,1.0
clean,G3,ocs_only,best,296,185,14,58,39,257,0.8682
clean,G3,ocs_only,final,296,177,11,66,42,254,0.8581
clean,G3,image_only,best,296,243,53,0,0,296,1.0
clean,G3,image_only,final,296,243,53,0,0,296,1.0
clean,G3,joint,best,296,243,53,0,0,296,1.0
clean,G3,joint,final,296,243,53,0,0,296,1.0
clean,G5,ocs_only,best,296,237,3,44,12,284,0.9595
clean,G5,ocs_only,final,296,237,3,44,12,284,0.9595
clean,G5,image_only,best,296,279,15,2,0,296,1.0
clean,G5,image_only,final,296,280,15,1,0,296,1.0
clean,G5,joint,best,296,281,15,0,0,296,1.0
clean,G5,joint,final,296,281,15,0,0,296,1.0
degraded-mild,G1,ocs_only,best,296,28,48,52,168,128,0.4324
degraded-mild,G1,ocs_only,final,296,31,46,49,170,126,0.4257
degraded-mild,G1,image_only,best,296,80,216,0,0,296,1.0
degraded-mild,G1,image_only,final,296,80,216,0,0,296,1.0
degraded-mild,G1,joint,best,296,80,216,0,0,296,1.0
degraded-mild,G1,joint,final,296,80,216,0,0,296,1.0
degraded-mild,G3,ocs_only,best,296,159,23,70,44,252,0.8514
degraded-mild,G3,ocs_only,final,296,154,23,75,44,252,0.8514
degraded-mild,G5,ocs_only,best,296,214,11,50,21,275,0.9291
degraded-mild,G5,ocs_only,final,296,214,11,50,21,275,0.9291
degraded-mild,G5,image_only,best,296,264,32,0,0,296,1.0
degraded-mild,G5,image_only,final,296,264,32,0,0,296,1.0
degraded-mild,G5,joint,best,296,264,32,0,0,296,1.0
degraded-mild,G5,joint,final,296,264,32,0,0,296,1.0
degraded-moderate,G1,ocs_only,best,296,23,53,45,175,121,0.4088
degraded-moderate,G1,ocs_only,final,296,22,52,46,176,120,0.4054
degraded-moderate,G1,image_only,best,296,68,228,0,0,296,1.0
degraded-moderate,G1,image_only,final,296,68,228,0,0,296,1.0
degraded-moderate,G1,joint,best,296,68,228,0,0,296,1.0
degraded-moderate,G1,joint,final,296,68,228,0,0,296,1.0
degraded-moderate,G3,ocs_only,best,296,127,33,58,78,218,0.7365
degraded-moderate,G3,ocs_only,final,296,126,29,59,82,214,0.723
degraded-moderate,G5,ocs_only,best,296,166,17,65,48,248,0.8378
degraded-moderate,G5,ocs_only,final,296,167,13,64,52,244,0.8243
degraded-moderate,G5,image_only,best,296,231,65,0,0,296,1.0
degraded-moderate,G5,image_only,final,296,231,65,0,0,296,1.0
degraded-moderate,G5,joint,best,296,231,65,0,0,296,1.0
degraded-moderate,G5,joint,final,296,46,10,185,55,241,0.8142
