degrade_level,geom,mode,select,conf_source,decile,n,yaw_cmae,yaw_hit@30
clean,G1,ocs_only,best,neural_margin,1,29,79.194,0.2759
clean,G1,ocs_only,best,neural_margin,2,30,82.9339,0.2333
clean,G1,ocs_only,best,neural_margin,3,29,95.9357,0.1379
clean,G1,ocs_only,best,neural_margin,4,30,65.5446,0.4333
clean,G1,ocs_only,best,neural_margin,5,30,56.0249,0.5
clean,G1,ocs_only,best,neural_margin,6,29,78.8843,0.1379
clean,G1,ocs_only,best,neural_margin,7,30,88.4986,0.3
clean,G1,ocs_only,best,neural_margin,8,29,62.5726,0.3448
clean,G1,ocs_only,best,neural_margin,9,30,69.5963,0.2333
clean,G1,ocs_only,best,neural_margin,10,30,86.7477,0.1667
clean,G1,pdb,-,pdb_margin,1,29,80.0,0.3793
clean,G1,pdb,-,pdb_margin,2,30,77.6667,0.3667
clean,G1,pdb,-,pdb_margin,3,29,68.1034,0.4138
clean,G1,pdb,-,pdb_margin,4,30,84.0,0.2333
clean,G1,pdb,-,pdb_margin,5,30,85.1667,0.3667
clean,G1,pdb,-,pdb_margin,6,29,74.4828,0.4138
clean,G1,pdb,-,pdb_margin,7,30,86.0,0.2
clean,G1,pdb,-,pdb_margin,8,29,103.2759,0.1724
clean,G1,pdb,-,pdb_margin,9,30,87.8333,0.2333
clean,G1,pdb,-,pdb_margin,10,30,90.5,0.1333
clean,G1,ocs_only,final,neural_margin,1,29,90.3426,0.3103
clean,G1,ocs_only,final,neural_margin,2,30,65.0145,0.4667
clean,G1,ocs_only,final,neural_margin,3,29,78.7411,0.2414
clean,G1,ocs_only,final,neural_margin,4,30,82.3923,0.2667
clean,G1,ocs_only,final,neural_margin,5,30,83.3617,0.2333
clean,G1,ocs_only,final,neural_margin,6,29,81.0186,0.2414
clean,G1,ocs_only,final,neural_margin,7,30,86.2704,0.0667
clean,G1,ocs_only,final,neural_margin,8,29,67.9475,0.3103
clean,G1,ocs_only,final,neural_margin,9,30,76.1061,0.2333
clean,G1,ocs_only,final,neural_margin,10,30,72.0234,0.3
clean,G1,pdb,-,pdb_margin,1,29,80.0,0.3793
clean,G1,pdb,-,pdb_margin,2,30,77.6667,0.3667
clean,G1,pdb,-,pdb_margin,3,29,68.1034,0.4138
clean,G1,pdb,-,pdb_margin,4,30,84.0,0.2333
clean,G1,pdb,-,pdb_margin,5,30,85.1667,0.3667
clean,G1,pdb,-,pdb_margin,6,29,74.4828,0.4138
clean,G1,pdb,-,pdb_margin,7,30,86.0,0.2
clean,G1,pdb,-,pdb_margin,8,29,103.2759,0.1724
clean,G1,pdb,-,pdb_margin,9,30,87.8333,0.2333
clean,G1,pdb,-,pdb_margin,10,30,90.5,0.1333
clean,G1,image_only,best,neural_margin,1,29,2.3496,1.0
clean,G1,image_only,best,neural_margin,2,30,1.8299,1.0
clean,G1,image_only,best,neural_margin,3,29,1.5938,1.0
clean,G1,image_only,best,neural_margin,4,30,2.195,1.0
clean,G1,image_only,best,neural_margin,5,30,2.2263,1.0
clean,G1,image_only,best,neural_margin,6,29,2.606,1.0
clean,G1,image_only,best,neural_margin,7,30,2.6757,1.0
clean,G1,image_only,best,neural_margin,8,29,2.4513,1.0
clean,G1,image_only,best,neural_margin,9,30,3.1859,1.0
clean,G1,image_only,best,neural_margin,10,30,3.2204,1.0
clean,G1,image_only,final,neural_margin,1,29,13.471,1.0
clean,G1,image_only,final,neural_margin,2,30,11.1555,0.9667
clean,G1,image_only,final,neural_margin,3,29,13.406,0.931
clean,G1,image_only,final,neural_margin,4,30,17.042,0.9
clean,G1,image_only,final,neural_margin,5,30,11.5352,1.0
clean,G1,image_only,final,neural_margin,6,29,10.5123,1.0
clean,G1,image_only,final,neural_margin,7,30,7.8636,1.0
clean,G1,image_only,final,neural_margin,8,29,12.252,0.931
clean,G1,image_only,final,neural_margin,9,30,13.2103,0.9333
clean,G1,image_only,final,neural_margin,10,30,10.2446,0.9667
clean,G1,joint,best,neural_margin,1,29,1.1103,1.0
clean,G1,joint,best,neural_margin,2,30,1.7864,1.0
clean,G1,joint,best,neural_margin,3,29,1.781,1.0
clean,G1,joint,best,neural_margin,4,30,1.6087,1.0
clean,G1,joint,best,neural_margin,5,30,1.8701,1.0
clean,G1,joint,best,neural_margin,6,29,2.3166,1.0
clean,G1,joint,best,neural_margin,7,30,3.0481,1.0
clean,G1,joint,best,neural_margin,8,29,2.6273,1.0
clean,G1,joint,best,neural_margin,9,30,2.355,1.0
clean,G1,joint,best,neural_margin,10,30,2.6131,1.0
clean,G1,joint,final,neural_margin,1,29,2.0193,1.0
clean,G1,joint,final,neural_margin,2,30,1.5752,1.0
clean,G1,joint,final,neural_margin,3,29,1.7962,1.0
clean,G1,joint,final,neural_margin,4,30,2.1141,1.0
clean,G1,joint,final,neural_margin,5,30,2.6335,1.0
clean,G1,joint,final,neural_margin,6,29,1.8748,1.0
clean,G1,joint,final,neural_margin,7,30,2.1837,1.0
clean,G1,joint,final,neural_margin,8,29,2.3221,1.0
clean,G1,joint,final,neural_margin,9,30,1.9979,1.0
clean,G1,joint,final,neural_margin,10,30,2.4562,1.0
clean,G3,ocs_only,best,neural_margin,1,29,44.323,0.6207
clean,G3,ocs_only,best,neural_margin,2,30,34.8236,0.7
clean,G3,ocs_only,best,neural_margin,3,29,37.0733,0.6897
clean,G3,ocs_only,best,neural_margin,4,30,51.3697,0.5667
clean,G3,ocs_only,best,neural_margin,5,30,54.434,0.5333
clean,G3,ocs_only,best,neural_margin,6,29,38.5971,0.6207
clean,G3,ocs_only,best,neural_margin,7,30,32.2155,0.7333
clean,G3,ocs_only,best,neural_margin,8,29,29.4479,0.7931
clean,G3,ocs_only,best,neural_margin,9,30,39.0684,0.6333
clean,G3,ocs_only,best,neural_margin,10,30,20.7784,0.8333
clean,G3,pdb,-,pdb_margin,1,29,30.1724,0.7931
clean,G3,pdb,-,pdb_margin,2,30,21.5,0.8667
clean,G3,pdb,-,pdb_margin,3,29,29.4828,0.7931
clean,G3,pdb,-,pdb_margin,4,30,30.0,0.8
clean,G3,pdb,-,pdb_margin,5,30,20.0,0.8667
clean,G3,pdb,-,pdb_margin,6,29,22.069,0.8621
clean,G3,pdb,-,pdb_margin,7,30,20.8333,0.8333
clean,G3,pdb,-,pdb_margin,8,29,19.6552,0.8276
clean,G3,pdb,-,pdb_margin,9,30,45.1667,0.7
clean,G3,pdb,-,pdb_margin,10,30,24.3333,0.8667
clean,G3,ocs_only,final,neural_margin,1,29,36.8387,0.6207
clean,G3,ocs_only,final,neural_margin,2,30,37.0041,0.6
clean,G3,ocs_only,final,neural_margin,3,29,30.2512,0.6897
clean,G3,ocs_only,final,neural_margin,4,30,37.9447,0.6667
clean,G3,ocs_only,final,neural_margin,5,30,55.444,0.5667
clean,G3,ocs_only,final,neural_margin,6,29,50.2423,0.4828
clean,G3,ocs_only,final,neural_margin,7,30,44.8175,0.5667
clean,G3,ocs_only,final,neural_margin,8,29,24.4208,0.7586
clean,G3,ocs_only,final,neural_margin,9,30,42.0842,0.6333
clean,G3,ocs_only,final,neural_margin,10,30,26.1322,0.7667
clean,G3,pdb,-,pdb_margin,1,29,30.1724,0.7931
clean,G3,pdb,-,pdb_margin,2,30,21.5,0.8667
clean,G3,pdb,-,pdb_margin,3,29,29.4828,0.7931
clean,G3,pdb,-,pdb_margin,4,30,30.0,0.8
clean,G3,pdb,-,pdb_margin,5,30,20.0,0.8667
clean,G3,pdb,-,pdb_margin,6,29,22.069,0.8621
clean,G3,pdb,-,pdb_margin,7,30,20.8333,0.8333
clean,G3,pdb,-,pdb_margin,8,29,19.6552,0.8276
clean,G3,pdb,-,pdb_margin,9,30,45.1667,0.7
clean,G3,pdb,-,pdb_margin,10,30,24.3333,0.8667
clean,G3,image_only,best,neural_margin,1,29,4.7341,1.0
