degrade_level,geom,mode,select,n,pearson_neural_pdb_yawerr,spearman_neural_pdb_yawerr,neural_yaw_cmae,pdb_yaw_cmae,neural_hit@30,pdb_hit@30
clean,G1,ocs_only,best,296,0.2375,0.2354,76.5588,83.7331,0.277,0.2905
clean,G1,ocs_only,final,296,0.2345,0.233,78.3057,83.7331,0.2669,0.2905
clean,G1,image_only,best,296,-0.0184,-0.0385,2.4359,83.7331,1.0,0.2905
clean,G1,image_only,final,296,0.2137,0.231,12.0646,83.7331,0.9628,0.2905
clean,G1,joint,best,296,0.016,-0.0057,2.1137,83.7331,1.0,0.2905
clean,G1,joint,final,296,0.022,0.0221,2.0986,83.7331,1.0,0.2905
clean,G3,ocs_only,best,296,0.4384,0.2062,38.2246,26.3345,0.6723,0.8209
clean,G3,ocs_only,final,296,0.4619,0.2902,38.5596,26.3345,0.6351,0.8209
clean,G3,image_only,best,296,-0.0479,0.0162,4.9453,26.3345,1.0,0.8209
clean,G3,image_only,final,296,-0.0479,0.0162,4.9453,26.3345,1.0,0.8209
clean,G3,joint,best,296,0.0709,-0.0118,2.0316,26.3345,1.0,0.8209
clean,G3,joint,final,296,0.0709,-0.0118,2.0316,26.3345,1.0,0.8209
clean,G5,ocs_only,best,296,0.3406,0.0661,22.769,8.1926,0.8108,0.9493
clean,G5,ocs_only,final,296,0.3406,0.0661,22.769,8.1926,0.8108,0.9493
clean,G5,image_only,best,296,0.0077,-0.0854,8.5728,8.1926,0.9932,0.9493
clean,G5,image_only,final,296,-0.0387,-0.0039,9.1241,8.1926,0.9966,0.9493
clean,G5,joint,best,296,-0.0823,0.0134,3.1968,8.1926,1.0,0.9493
clean,G5,joint,final,296,-0.0823,0.0134,3.1968,8.1926,1.0,0.9493
degraded-mild,G1,ocs_only,best,296,0.158,0.1802,76.7758,83.8007,0.2568,0.2703
degraded-mild,G1,ocs_only,final,296,0.1386,0.1584,78.2512,83.8007,0.2601,0.2703
degraded-mild,G1,image_only,best,296,-0.0623,-0.0742,1.6733,83.8007,1.0,0.2703
degraded-mild,G1,image_only,final,296,-0.0623,-0.0742,1.6733,83.8007,1.0,0.2703
degraded-mild,G1,joint,best,296,0.0658,0.043,1.9054,83.8007,1.0,0.2703
degraded-mild,G1,joint,final,296,0.0658,0.043,1.9054,83.8007,1.0,0.2703
degraded-mild,G3,ocs_only,best,296,0.3169,0.174,40.1481,31.6047,0.6149,0.7736
degraded-mild,G3,ocs_only,final,296,0.3689,0.2575,40.7562,31.6047,0.598,0.7736
degraded-mild,G5,ocs_only,best,296,0.4304,0.2368,27.8265,17.4155,0.7601,0.8919
degraded-mild,G5,ocs_only,final,296,0.4304,0.2368,27.8265,17.4155,0.7601,0.8919
degraded-mild,G5,image_only,best,296,-0.0667,-0.0552,3.5026,17.4155,1.0,0.8919
degraded-mild,G5,image_only,final,296,-0.0667,-0.0552,3.5026,17.4155,1.0,0.8919
degraded-mild,G5,joint,best,296,-0.0107,-0.0602,1.8752,17.4155,1.0,0.8919
degraded-mild,G5,joint,final,296,0.1062,0.1433,2.1445,17.4155,1.0,0.8919
degraded-moderate,G1,ocs_only,best,296,0.1109,0.1013,78.4812,91.6723,0.2568,0.2297
degraded-moderate,G1,ocs_only,final,296,0.1127,0.0993,80.358,91.6723,0.25,0.2297
degraded-moderate,G1,image_only,best,296,-0.1008,-0.0802,3.6878,91.6723,1.0,0.2297
degraded-moderate,G1,image_only,final,296,-0.0313,0.0026,4.209,91.6723,1.0,0.2297
degraded-moderate,G1,joint,best,296,-0.152,-0.1531,1.8622,91.6723,1.0,0.2297
degraded-moderate,G1,joint,final,296,-0.0749,-0.0513,1.9483,91.6723,1.0,0.2297
degraded-moderate,G3,ocs_only,best,296,0.4805,0.3842,51.7221,51.5709,0.5405,0.625
degraded-moderate,G3,ocs_only,final,296,0.5559,0.4238,53.0913,51.5709,0.5236,0.625
degraded-moderate,G5,ocs_only,best,296,0.4171,0.3264,38.4566,34.7128,0.6182,0.7804
degraded-moderate,G5,ocs_only,final,296,0.4614,0.342,40.6226,34.7128,0.6081,0.7804
degraded-moderate,G5,image_only,best,296,-0.0398,0.0025,2.7124,34.7128,1.0,0.7804
degraded-moderate,G5,image_only,final,296,-0.0493,0.0016,6.2089,34.7128,1.0,0.7804
degraded-moderate,G5,joint,best,296,-0.0147,0.0397,2.0193,34.7128,1.0,0.7804
degraded-moderate,G5,joint,final,296,0.0354,0.0689,81.1687,34.7128,0.1892,0.7804
