degrade_level,geom,mode,select,record_id,yaw_true,pitch_true,neural_yaw_pred,neural_yaw_err,neural_pitch_err,neural_margin,neural_entropy,pdb_top1_yaw_err,pdb_nearest_distance,pdb_margin,pdb_cand_yaw_spread
clean,G1,ocs_only,best,G1_yaw260_pitch-065,260.0,-65.0,187.367,72.6332,61.5898,6.5e-05,4.917319,100.0,0.0,0.0,66.8001
clean,G1,ocs_only,best,G1_yaw300_pitch+055,300.0,55.0,293.255,6.7451,52.4589,2e-05,4.917319,65.0,0.0,0.0,58.3524
clean,G1,ocs_only,best,G1_yaw140_pitch+000,140.0,0.0,70.887,69.1128,1.4469,0.000513,4.917319,90.0,0.0,0.0,75.3409
clean,G1,ocs_only,best,G1_yaw165_pitch+055,165.0,55.0,216.518,51.5181,55.0734,0.00048,4.917319,30.0,0.0,0.0,43.2435
clean,G1,ocs_only,best,G1_yaw170_pitch-040,170.0,-40.0,201.88,31.8804,38.3652,0.000301,4.917319,35.0,0.0,0.0,60.2495
clean,G1,ocs_only,best,G1_yaw315_pitch-020,315.0,-20.0,68.644,113.644,18.5096,0.000491,4.917319,70.0,0.0,0.0,45.0028
clean,G1,ocs_only,best,G1_yaw130_pitch+035,130.0,35.0,213.074,83.0735,35.3878,0.00028,4.917319,160.0,0.0,0.0,65.681
clean,G1,ocs_only,best,G1_yaw020_pitch-005,20.0,-5.0,182.908,162.9082,1.1436,0.000199,4.917319,170.0,0.0,0.0,36.4726
clean,G1,ocs_only,best,G1_yaw255_pitch-005,255.0,-5.0,88.826,166.1736,1.1498,0.000645,4.917319,135.0,0.0,0.0,29.0517
clean,G1,ocs_only,best,G1_yaw190_pitch-055,190.0,-55.0,229.563,39.5627,55.7186,0.000865,4.917319,115.0,0.0,0.0,45.2244
clean,G1,ocs_only,best,G1_yaw345_pitch-080,345.0,-80.0,173.692,171.3078,75.4566,0.000581,4.917319,145.0,0.0,0.0,53.6563
clean,G1,ocs_only,best,G1_yaw160_pitch-080,160.0,-80.0,232.684,72.6839,79.5102,9e-05,4.917319,0.0,0.0,0.0,55.5788
clean,G1,ocs_only,best,G1_yaw320_pitch-020,320.0,-20.0,53.207,93.207,20.0757,0.000346,4.917319,95.0,0.0,0.0,29.2617
clean,G1,ocs_only,best,G1_yaw085_pitch+050,85.0,50.0,79.966,5.034,53.3132,0.000398,4.917319,170.0,0.0,0.0,63.9844
clean,G1,ocs_only,best,G1_yaw015_pitch+020,15.0,20.0,202.043,172.9568,21.6147,0.000222,4.917319,80.0,0.0,0.0,46.6369
clean,G1,ocs_only,best,G1_yaw175_pitch-015,175.0,-15.0,219.895,44.8946,15.2057,0.001109,4.917319,25.0,0.0,0.0,54.7357
clean,G1,ocs_only,best,G1_yaw320_pitch-065,320.0,-65.0,199.821,120.1788,63.1063,0.000297,4.917319,55.0,0.0,0.0,67.897
clean,G1,ocs_only,best,G1_yaw245_pitch+075,245.0,75.0,234.319,10.6815,75.9559,0.000751,4.917319,100.0,0.0,0.0,40.5709
clean,G1,ocs_only,best,G1_yaw120_pitch+085,120.0,85.0,296.371,176.3711,82.9192,0.000204,4.917319,175.0,0.0,0.0,51.9711
clean,G1,ocs_only,best,G1_yaw085_pitch-060,85.0,-60.0,74.868,10.1324,57.0914,0.0002,4.917319,50.0,0.0,0.0,66.0757
clean,G1,ocs_only,best,G1_yaw175_pitch+080,175.0,80.0,271.182,96.1821,77.6415,6.9e-05,4.917319,95.0,0.0,0.0,41.0761
clean,G1,ocs_only,best,G1_yaw200_pitch+005,200.0,5.0,212.129,12.1285,5.4768,0.000182,4.917319,140.0,0.0,0.0,61.2393
clean,G1,ocs_only,best,G1_yaw160_pitch-070,160.0,-70.0,68.006,91.9935,68.5193,0.000246,4.917319,0.0,0.0,0.0,38.1314
clean,G1,ocs_only,best,G1_yaw135_pitch-080,135.0,-80.0,235.541,100.5411,79.2004,0.000826,4.917319,165.0,0.0,0.0,48.7571
clean,G1,ocs_only,best,G1_yaw250_pitch+080,250.0,80.0,65.34,175.3397,81.4993,0.000489,4.917319,150.0,0.0,0.0,59.0424
clean,G1,ocs_only,best,G1_yaw020_pitch+065,20.0,65.0,145.034,125.0343,70.1153,0.001151,4.917319,5.0,0.0,0.0,53.9467
clean,G1,ocs_only,best,G1_yaw320_pitch+005,320.0,5.0,88.898,128.8978,8.8539,0.000658,4.917319,125.0,0.0,0.0,26.0576
clean,G1,ocs_only,best,G1_yaw115_pitch-085,115.0,-85.0,235.66,120.6599,85.9989,0.00073,4.917319,170.0,0.0,0.0,62.1208
clean,G1,ocs_only,best,G1_yaw325_pitch+010,325.0,10.0,120.897,155.8975,14.7608,0.00078,4.917319,70.0,0.0,0.0,60.6548
clean,G1,ocs_only,best,G1_yaw255_pitch+015,255.0,15.0,83.323,171.6769,18.5356,0.0004,4.917319,135.0,0.0,0.0,55.6327
clean,G1,ocs_only,best,G1_yaw185_pitch+060,185.0,60.0,300.294,115.2936,58.6405,0.000557,4.917319,70.0,0.0,0.0,67.8602
clean,G1,ocs_only,best,G1_yaw280_pitch+030,280.0,30.0,284.566,4.5657,27.2093,0.000142,4.917319,10.0,0.0,0.0,66.1835
clean,G1,ocs_only,best,G1_yaw045_pitch-035,45.0,-35.0,74.538,29.5379,33.6143,0.000544,4.917319,25.0,0.0,0.0,66.6708
clean,G1,ocs_only,best,G1_yaw055_pitch+005,55.0,5.0,53.029,1.9713,5.0931,0.000259,4.917319,0.0,0.0,0.0,2.5
clean,G1,ocs_only,best,G1_yaw110_pitch-055,110.0,-55.0,274.781,164.7814,57.4784,1.1e-05,4.917319,175.0,0.0,0.0,67.8767
clean,G1,ocs_only,best,G1_yaw330_pitch-075,330.0,-75.0,107.994,137.9944,70.5302,0.000242,4.917319,180.0,0.0,0.0,45.4533
clean,G1,ocs_only,best,G1_yaw310_pitch-020,310.0,-20.0,124.188,174.1877,15.1727,0.000821,4.917319,170.0,0.0,0.0,28.5876
clean,G1,ocs_only,best,G1_yaw270_pitch+045,270.0,45.0,182.633,87.3667,48.8822,6.5e-05,4.917319,175.0,0.0,0.0,55.5068
clean,G1,ocs_only,best,G1_yaw095_pitch-020,95.0,-20.0,184.932,89.9324,16.3403,0.000566,4.917319,135.0,0.0,0.0,63.6867
clean,G1,ocs_only,best,G1_yaw350_pitch-045,350.0,-45.0,261.182,88.8177,47.0373,0.000226,4.917319,15.0,0.0,0.0,73.0428
clean,G1,ocs_only,best,G1_yaw010_pitch-010,10.0,-10.0,211.26,158.7402,9.4404,0.000604,4.917319,165.0,0.0,0.0,50.636
clean,G1,ocs_only,best,G1_yaw240_pitch+030,240.0,30.0,59.446,179.4458,29.8526,0.000944,4.917319,170.0,0.0,0.0,83.4101
clean,G1,ocs_only,best,G1_yaw250_pitch+085,250.0,85.0,65.407,175.4074,86.4936,0.000491,4.917319,115.0,0.0,0.0,38.8748
clean,G1,ocs_only,best,G1_yaw095_pitch+025,95.0,25.0,116.025,21.0251,29.6566,0.000718,4.917319,165.0,0.0,0.0,57.3062
clean,G1,ocs_only,best,G1_yaw065_pitch-015,65.0,-15.0,58.378,6.6223,15.3737,0.000429,4.917319,0.0,0.0,0.0,77.6853
clean,G1,ocs_only,best,G1_yaw075_pitch-070,75.0,-70.0,65.69,9.3103,68.531,0.000503,4.917319,150.0,0.0,0.0,44.7884
clean,G1,ocs_only,best,G1_yaw180_pitch+015,180.0,15.0,218.362,38.3617,14.9148,0.000421,4.917319,170.0,0.0,0.0,59.036
clean,G1,ocs_only,best,G1_yaw295_pitch-085,295.0,-85.0,314.663,19.6629,80.2022,0.001047,4.917319,20.0,0.0,0.0,8.6023
clean,G1,ocs_only,best,G1_yaw205_pitch+075,205.0,75.0,209.436,4.4362,75.753,0.000848,4.917319,115.0,0.0,0.0,65.1153
clean,G1,ocs_only,best,G1_yaw335_pitch-070,335.0,-70.0,180.724,154.2764,65.9392,0.000759,4.917319,5.0,0.0,0.0,52.4976
clean,G1,ocs_only,best,G1_yaw165_pitch-005,165.0,-5.0,171.183,6.1834,0.309,0.000642,4.917319,35.0,0.0,0.0,58.7133
clean,G1,ocs_only,best,G1_yaw295_pitch+000,295.0,0.0,220.788,74.2123,0.2691,0.000832,4.917319,10.0,0.0,0.0,64.7862
clean,G1,ocs_only,best,G1_yaw170_pitch+060,170.0,60.0,251.446,81.4459,58.3475,0.000412,4.917319,0.0,0.0,0.0,56.6127
clean,G1,ocs_only,best,G1_yaw195_pitch+045,195.0,45.0,250.651,55.6512,43.3793,0.000429,4.917319,110.0,0.0,0.0,61.329
clean,G1,ocs_only,best,G1_yaw120_pitch+075,120.0,75.0,271.611,151.6111,72.6275,6.2e-05,4.917319,125.0,0.0,0.0,60.9939
clean,G1,ocs_only,best,G1_yaw320_pitch+020,320.0,20.0,185.551,134.4487,23.5965,0.000535,4.917319,55.0,0.0,0.0,63.9062
clean,G1,ocs_only,best,G1_yaw075_pitch-025,75.0,-25.0,65.59,9.4096,23.4256,0.000452,4.917319,175.0,0.0,0.0,73.3161
clean,G1,ocs_only,best,G1_yaw230_pitch-035,230.0,-35.0,74.314,155.6858,33.6109,0.000542,4.917319,0.0,0.0,0.0,60.959
clean,G1,ocs_only,best,G1_yaw015_pitch+010,15.0,10.0,210.15,164.8503,10.6746,0.000886,4.917319,145.0,0.0,0.0,57.7083
clean,G1,ocs_only,best,G1_yaw285_pitch-040,285.0,-40.0,310.898,25.8983,37.9521,0.000221,4.917319,75.0,0.0,0.0,42.7317
clean,G1,ocs_only,best,G1_yaw145_pitch-030,145.0,-30.0,153.482,8.4825,24.8909,0.00048,4.917319,15.0,0.0,0.0,44.2973
clean,G1,ocs_only,best,G1_yaw020_pitch-060,20.0,-60.0,178.917,158.9169,55.7937,0.000689,4.917319,0.0,0.0,0.0,66.5282
clean,G1,ocs_only,best,G1_yaw160_pitch-055,160.0,-55.0,161.66,1.6604,50.0401,0.00041,4.917319,135.0,0.0,0.0,55.3195
clean,G1,ocs_only,best,G1_yaw145_pitch+090,145.0,90.0,157.293,12.2933,91.2237,0.000101,4.917319,85.0,0.0,0.0,58.0539
