degrade_level,geom,mode,select,conf_source,coverage,n_kept,yaw_cmae,yaw_hit@30
clean,G1,ocs_only,best,neural_margin,0.05,15,82.6414,0.2667
clean,G1,ocs_only,best,neural_margin,0.1,30,79.9056,0.2667
clean,G1,ocs_only,best,neural_margin,0.15,44,79.3019,0.2727
clean,G1,ocs_only,best,neural_margin,0.2,59,81.0957,0.2542
clean,G1,ocs_only,best,neural_margin,0.25,74,84.0125,0.2162
clean,G1,ocs_only,best,neural_margin,0.3,89,85.0917,0.2247
clean,G1,ocs_only,best,neural_margin,0.35,104,81.0792,0.25
clean,G1,ocs_only,best,neural_margin,0.4,118,80.7891,0.2712
clean,G1,ocs_only,best,neural_margin,0.45,133,78.8787,0.2857
clean,G1,ocs_only,best,neural_margin,0.5,148,75.7694,0.3176
clean,G1,ocs_only,best,neural_margin,0.55,163,76.1638,0.3006
clean,G1,ocs_only,best,neural_margin,0.6,178,76.8451,0.2865
clean,G1,ocs_only,best,neural_margin,0.65,192,76.168,0.2969
clean,G1,ocs_only,best,neural_margin,0.7,207,78.0506,0.2899
clean,G1,ocs_only,best,neural_margin,0.75,222,77.6021,0.2883
clean,G1,ocs_only,best,neural_margin,0.8,237,76.5212,0.2954
clean,G1,ocs_only,best,neural_margin,0.85,252,76.0463,0.2897
clean,G1,ocs_only,best,neural_margin,0.9,266,75.4096,0.2895
clean,G1,ocs_only,best,neural_margin,0.95,281,76.7294,0.2776
clean,G1,ocs_only,best,neural_margin,1.0,296,76.5588,0.277
clean,G1,pdb,-,pdb_margin,0.05,15,96.0,0.3333
clean,G1,pdb,-,pdb_margin,0.1,30,80.3333,0.3667
clean,G1,pdb,-,pdb_margin,0.15,44,77.7273,0.3864
clean,G1,pdb,-,pdb_margin,0.2,59,78.8136,0.3729
clean,G1,pdb,-,pdb_margin,0.25,74,78.1757,0.3649
clean,G1,pdb,-,pdb_margin,0.3,89,75.1685,0.382
clean,G1,pdb,-,pdb_margin,0.35,104,75.7692,0.375
clean,G1,pdb,-,pdb_margin,0.4,118,77.5,0.3475
clean,G1,pdb,-,pdb_margin,0.45,133,77.9699,0.3459
clean,G1,pdb,-,pdb_margin,0.5,148,79.0541,0.3514
clean,G1,pdb,-,pdb_margin,0.55,163,76.1043,0.3804
clean,G1,pdb,-,pdb_margin,0.6,178,78.1742,0.3596
clean,G1,pdb,-,pdb_margin,0.65,192,79.3229,0.349
clean,G1,pdb,-,pdb_margin,0.7,207,79.4203,0.3382
clean,G1,pdb,-,pdb_margin,0.75,222,81.6892,0.3288
clean,G1,pdb,-,pdb_margin,0.8,237,82.616,0.3165
clean,G1,pdb,-,pdb_margin,0.85,252,83.1151,0.3135
clean,G1,pdb,-,pdb_margin,0.9,266,82.9699,0.3083
clean,G1,pdb,-,pdb_margin,0.95,281,83.7189,0.2989
clean,G1,pdb,-,pdb_margin,1.0,296,83.7331,0.2905
clean,G1,ocs_only,final,neural_margin,0.05,15,112.3166,0.2
clean,G1,ocs_only,final,neural_margin,0.1,30,87.6695,0.3333
clean,G1,ocs_only,final,neural_margin,0.15,44,78.6529,0.4091
clean,G1,ocs_only,final,neural_margin,0.2,59,77.4639,0.3898
clean,G1,ocs_only,final,neural_margin,0.25,74,79.0123,0.3514
clean,G1,ocs_only,final,neural_margin,0.3,89,78.2859,0.3371
clean,G1,ocs_only,final,neural_margin,0.35,104,78.8572,0.3173
clean,G1,ocs_only,final,neural_margin,0.4,118,79.0308,0.322
clean,G1,ocs_only,final,neural_margin,0.45,133,79.5428,0.3083
clean,G1,ocs_only,final,neural_margin,0.5,148,79.9087,0.3041
clean,G1,ocs_only,final,neural_margin,0.55,163,80.2501,0.2945
clean,G1,ocs_only,final,neural_margin,0.6,178,80.0978,0.2921
clean,G1,ocs_only,final,neural_margin,0.65,192,81.0253,0.2708
clean,G1,ocs_only,final,neural_margin,0.7,207,80.9862,0.2609
clean,G1,ocs_only,final,neural_margin,0.75,222,80.4863,0.2613
clean,G1,ocs_only,final,neural_margin,0.8,237,79.1661,0.27
clean,G1,ocs_only,final,neural_margin,0.85,252,78.8054,0.2659
clean,G1,ocs_only,final,neural_margin,0.9,266,79.0143,0.2632
clean,G1,ocs_only,final,neural_margin,0.95,281,78.0861,0.2598
clean,G1,ocs_only,final,neural_margin,1.0,296,78.3057,0.2669
clean,G1,pdb,-,pdb_margin,0.05,15,96.0,0.3333
clean,G1,pdb,-,pdb_margin,0.1,30,80.3333,0.3667
clean,G1,pdb,-,pdb_margin,0.15,44,77.7273,0.3864
clean,G1,pdb,-,pdb_margin,0.2,59,78.8136,0.3729
clean,G1,pdb,-,pdb_margin,0.25,74,78.1757,0.3649
clean,G1,pdb,-,pdb_margin,0.3,89,75.1685,0.382
clean,G1,pdb,-,pdb_margin,0.35,104,75.7692,0.375
clean,G1,pdb,-,pdb_margin,0.4,118,77.5,0.3475
clean,G1,pdb,-,pdb_margin,0.45,133,77.9699,0.3459
clean,G1,pdb,-,pdb_margin,0.5,148,79.0541,0.3514
clean,G1,pdb,-,pdb_margin,0.55,163,76.1043,0.3804
clean,G1,pdb,-,pdb_margin,0.6,178,78.1742,0.3596
clean,G1,pdb,-,pdb_margin,0.65,192,79.3229,0.349
clean,G1,pdb,-,pdb_margin,0.7,207,79.4203,0.3382
clean,G1,pdb,-,pdb_margin,0.75,222,81.6892,0.3288
clean,G1,pdb,-,pdb_margin,0.8,237,82.616,0.3165
clean,G1,pdb,-,pdb_margin,0.85,252,83.1151,0.3135
clean,G1,pdb,-,pdb_margin,0.9,266,82.9699,0.3083
clean,G1,pdb,-,pdb_margin,0.95,281,83.7189,0.2989
clean,G1,pdb,-,pdb_margin,1.0,296,83.7331,0.2905
clean,G1,image_only,best,neural_margin,0.05,15,2.3208,1.0
clean,G1,image_only,best,neural_margin,0.1,30,2.4579,1.0
clean,G1,image_only,best,neural_margin,0.15,44,2.204,1.0
clean,G1,image_only,best,neural_margin,0.2,59,2.0854,1.0
clean,G1,image_only,best,neural_margin,0.25,74,2.0046,1.0
clean,G1,image_only,best,neural_margin,0.3,89,1.9064,1.0
clean,G1,image_only,best,neural_margin,0.35,104,1.9226,1.0
clean,G1,image_only,best,neural_margin,0.4,118,1.9924,1.0
clean,G1,image_only,best,neural_margin,0.45,133,2.0863,1.0
clean,G1,image_only,best,neural_margin,0.5,148,2.0398,1.0
