degrade_level,geom,select,record_id,yaw_true,pitch_true,neural_ocs_yaw_err,image_yaw_err,joint_yaw_err,pdb_yaw_err,pdb_margin,pdb_nearest_distance,pdb_cand_yaw_spread,hardcase_labels
clean,G1,best,G1_yaw300_pitch+055,300.0,55.0,6.745,1.883,5.906,65.0,0.0,0.0,58.352,disagreement-hard
clean,G1,best,G1_yaw165_pitch+055,165.0,55.0,51.518,3.682,1.331,30.0,0.0,0.0,43.243,disagreement-hard
clean,G1,best,G1_yaw160_pitch-080,160.0,-80.0,72.684,3.387,2.822,0.0,0.0,0.0,55.579,disagreement-hard
clean,G1,best,G1_yaw085_pitch+050,85.0,50.0,5.034,0.93,4.875,170.0,0.0,0.0,63.984,disagreement-hard
clean,G1,best,G1_yaw175_pitch-015,175.0,-15.0,44.895,5.822,8.047,25.0,0.0,0.0,54.736,disagreement-hard
clean,G1,best,G1_yaw245_pitch+075,245.0,75.0,10.681,1.26,0.946,100.0,0.0,0.0,40.571,disagreement-hard
clean,G1,best,G1_yaw085_pitch-060,85.0,-60.0,10.132,2.736,4.48,50.0,0.0,0.0,66.076,disagreement-hard
clean,G1,best,G1_yaw200_pitch+005,200.0,5.0,12.129,2.305,0.805,140.0,0.0,0.0,61.239,disagreement-hard
clean,G1,best,G1_yaw160_pitch-070,160.0,-70.0,91.993,6.742,3.266,0.0,0.0,0.0,38.131,disagreement-hard
clean,G1,best,G1_yaw020_pitch+065,20.0,65.0,125.034,2.071,4.725,5.0,0.0,0.0,53.947,disagreement-hard
clean,G1,best,G1_yaw350_pitch-045,350.0,-45.0,88.818,0.896,0.17,15.0,0.0,0.0,73.043,disagreement-hard
clean,G1,best,G1_yaw095_pitch+025,95.0,25.0,21.025,0.237,4.825,165.0,0.0,0.0,57.306,disagreement-hard
clean,G1,best,G1_yaw075_pitch-070,75.0,-70.0,9.31,0.38,3.883,150.0,0.0,0.0,44.788,disagreement-hard
clean,G1,best,G1_yaw205_pitch+075,205.0,75.0,4.436,0.673,1.216,115.0,0.0,0.0,65.115,disagreement-hard
clean,G1,best,G1_yaw335_pitch-070,335.0,-70.0,154.276,1.108,0.715,5.0,0.0,0.0,52.498,disagreement-hard
clean,G1,best,G1_yaw165_pitch-005,165.0,-5.0,6.183,5.597,2.153,35.0,0.0,0.0,58.713,disagreement-hard
clean,G1,best,G1_yaw295_pitch+000,295.0,0.0,74.212,2.777,2.961,10.0,0.0,0.0,64.786,disagreement-hard
clean,G1,best,G1_yaw170_pitch+060,170.0,60.0,81.446,1.053,1.567,0.0,0.0,0.0,56.613,disagreement-hard
clean,G1,best,G1_yaw075_pitch-025,75.0,-25.0,9.41,2.289,0.759,175.0,0.0,0.0,73.316,disagreement-hard
clean,G1,best,G1_yaw230_pitch-035,230.0,-35.0,155.686,1.666,1.061,0.0,0.0,0.0,60.959,disagreement-hard
clean,G1,best,G1_yaw285_pitch-040,285.0,-40.0,25.898,1.538,1.501,75.0,0.0,0.0,42.732,disagreement-hard
clean,G1,best,G1_yaw020_pitch-060,20.0,-60.0,158.917,1.626,0.581,0.0,0.0,0.0,66.528,disagreement-hard
clean,G1,best,G1_yaw160_pitch-055,160.0,-55.0,1.66,7.192,0.55,135.0,0.0,0.0,55.319,disagreement-hard
clean,G1,best,G1_yaw145_pitch+090,145.0,90.0,12.293,3.346,7.966,85.0,0.0,0.0,58.054,disagreement-hard
clean,G1,best,G1_yaw040_pitch-005,40.0,-5.0,26.115,1.409,1.728,150.0,0.0,0.0,65.383,disagreement-hard
clean,G1,best,G1_yaw165_pitch-020,165.0,-20.0,11.534,7.97,1.643,165.0,0.0,0.0,63.056,disagreement-hard
clean,G1,best,G1_yaw000_pitch+040,0.0,40.0,47.536,0.605,7.128,0.0,0.0,0.0,41.34,disagreement-hard
clean,G1,best,G1_yaw185_pitch+000,185.0,0.0,54.749,4.014,3.649,5.0,0.0,0.0,50.458,disagreement-hard
clean,G1,best,G1_yaw295_pitch-050,295.0,-50.0,18.069,5.006,1.453,65.0,0.0,0.0,36.729,disagreement-hard
clean,G1,best,G1_yaw200_pitch-030,200.0,-30.0,6.906,3.749,2.647,35.0,0.0,0.0,67.186,disagreement-hard
clean,G1,best,G1_yaw320_pitch+075,320.0,75.0,97.767,2.112,6.206,10.0,0.0,0.0,78.309,disagreement-hard
clean,G1,best,G1_yaw310_pitch+005,310.0,5.0,132.896,0.259,1.183,5.0,0.0,0.0,59.127,disagreement-hard
clean,G1,best,G1_yaw000_pitch+030,0.0,30.0,48.366,2.906,0.861,0.0,0.0,0.0,48.941,disagreement-hard
clean,G1,best,G1_yaw265_pitch-090,265.0,-90.0,11.487,10.797,7.769,140.0,0.0,0.0,61.776,disagreement-hard
clean,G1,best,G1_yaw230_pitch-065,230.0,-65.0,160.478,0.957,1.586,15.0,0.0,0.0,74.042,disagreement-hard
clean,G1,best,G1_yaw010_pitch-080,10.0,-80.0,159.337,3.567,0.313,20.0,0.0,0.0,60.2,disagreement-hard
clean,G1,best,G1_yaw260_pitch+035,260.0,35.0,145.656,0.332,0.533,0.0,0.0,0.0,60.64,disagreement-hard
clean,G1,best,G1_yaw200_pitch+010,200.0,10.0,2.678,3.553,1.036,175.0,0.0,0.0,55.374,disagreement-hard
clean,G1,best,G1_yaw275_pitch+020,275.0,20.0,17.188,2.863,0.261,75.0,0.0,0.0,61.581,disagreement-hard
clean,G1,best,G1_yaw180_pitch-070,180.0,-70.0,53.922,7.603,1.305,15.0,0.0,0.0,59.883,disagreement-hard
clean,G1,best,G1_yaw065_pitch-075,65.0,-75.0,7.557,0.829,2.892,175.0,0.0,0.0,69.505,disagreement-hard
clean,G1,best,G1_yaw150_pitch+055,150.0,55.0,48.259,3.742,3.5,20.0,0.0,0.0,65.992,disagreement-hard
clean,G1,best,G1_yaw205_pitch+045,205.0,45.0,14.227,0.409,1.732,65.0,0.0,0.0,68.337,disagreement-hard
clean,G1,best,G1_yaw280_pitch+055,280.0,55.0,60.693,2.41,0.847,5.0,0.0,0.0,54.9,disagreement-hard
clean,G1,best,G1_yaw105_pitch+075,105.0,75.0,135.91,0.718,1.637,0.0,0.0,0.0,61.612,disagreement-hard
clean,G1,best,G1_yaw335_pitch-050,335.0,-50.0,138.673,0.442,0.498,5.0,0.0,0.0,57.029,disagreement-hard
clean,G1,best,G1_yaw275_pitch-015,275.0,-15.0,77.747,2.59,2.044,15.0,0.0,0.0,50.882,disagreement-hard
clean,G1,best,G1_yaw045_pitch-050,45.0,-50.0,36.151,1.067,0.262,0.0,0.0,0.0,36.156,disagreement-hard
clean,G1,best,G1_yaw300_pitch+070,300.0,70.0,18.526,1.703,1.226,55.0,0.0,0.0,58.457,disagreement-hard
clean,G1,best,G1_yaw290_pitch+005,290.0,5.0,9.466,0.156,3.088,75.0,0.0,0.0,56.116,disagreement-hard
clean,G1,best,G1_yaw355_pitch+045,355.0,45.0,47.516,4.28,3.865,0.0,0.0,0.0,63.838,disagreement-hard
clean,G1,best,G1_yaw085_pitch+000,85.0,0.0,14.433,1.817,1.753,80.0,0.0,0.0,59.668,disagreement-hard
clean,G1,best,G1_yaw285_pitch-035,285.0,-35.0,16.841,0.661,2.182,70.0,0.0,0.0,52.357,disagreement-hard
clean,G1,best,G1_yaw135_pitch-010,135.0,-10.0,23.27,1.892,2.649,110.0,0.0,0.0,56.403,disagreement-hard
clean,G1,best,G1_yaw085_pitch-025,85.0,-25.0,2.117,2.013,0.304,170.0,0.0,0.0,73.968,disagreement-hard
clean,G1,best,G1_yaw000_pitch+045,0.0,45.0,46.385,4.491,3.787,0.0,0.0,0.0,36.431,disagreement-hard
clean,G1,best,G1_yaw120_pitch+070,120.0,70.0,164.452,1.802,1.447,0.0,0.0,0.0,68.558,disagreement-hard
clean,G1,best,G1_yaw210_pitch+080,210.0,80.0,27.029,0.648,2.829,55.0,0.0,0.0,49.196,disagreement-hard
clean,G1,best,G1_yaw050_pitch-005,50.0,-5.0,9.145,1.562,3.054,170.0,0.0,0.0,83.726,disagreement-hard
clean,G1,best,G1_yaw170_pitch-065,170.0,-65.0,25.81,7.402,0.335,40.0,0.0,0.0,63.356,disagreement-hard
clean,G1,best,G1_yaw200_pitch+000,200.0,0.0,13.584,0.531,1.514,35.0,0.0,0.0,48.376,disagreement-hard
clean,G1,best,G1_yaw150_pitch+010,150.0,10.0,67.716,7.578,3.561,5.0,3e-06,1e-06,86.377,disagreement-hard
clean,G1,best,G1_yaw090_pitch+025,90.0,25.0,19.509,0.95,1.232,65.0,0.0,0.0,47.476,disagreement-hard
clean,G1,best,G1_yaw180_pitch+090,180.0,90.0,104.053,2.3,2.859,5.0,0.0,0.0,56.305,disagreement-hard
clean,G1,best,G1_yaw065_pitch-090,65.0,-90.0,8.925,3.941,4.58,175.0,1e-06,1e-06,71.652,disagreement-hard
clean,G1,best,G1_yaw280_pitch+080,280.0,80.0,82.529,0.826,5.093,5.0,0.0,0.0,59.053,disagreement-hard
clean,G1,best,G1_yaw170_pitch+050,170.0,50.0,77.599,2.527,0.917,10.0,0.0,0.0,65.355,disagreement-hard
clean,G1,best,G1_yaw190_pitch-065,190.0,-65.0,21.495,3.457,0.205,120.0,0.0,0.0,64.769,disagreement-hard
clean,G1,best,G1_yaw335_pitch-060,335.0,-60.0,135.711,1.759,1.192,0.0,0.0,0.0,64.776,disagreement-hard
