geom,degrade_level,query_split,similarity,template_mode,stratum_type,stratum,n,top1_yaw_cmae,top1_yaw_hit@30
G1,clean,val,neg-L2,matched-degraded,yaw_sector,000-090,59,80.339,0.4068
G1,clean,val,neg-L2,matched-degraded,yaw_sector,090-180,64,93.9062,0.1875
G1,clean,val,neg-L2,matched-degraded,yaw_sector,180-270,70,86.0714,0.3143
G1,clean,val,neg-L2,matched-degraded,yaw_sector,270-360,66,72.4242,0.3485
G1,clean,val,neg-L2,matched-degraded,pitch_bin,+00..+45,63,88.1746,0.254
G1,clean,val,neg-L2,matched-degraded,pitch_bin,+45..+90,63,83.6508,0.3492
G1,clean,val,neg-L2,matched-degraded,pitch_bin,+90..+135,7,109.2857,0.1429
G1,clean,val,neg-L2,matched-degraded,pitch_bin,-45..+00,63,82.619,0.3016
G1,clean,val,neg-L2,matched-degraded,pitch_bin,-90..-45,63,75.5556,0.3651
G1,clean,val,cosine,matched-degraded,yaw_sector,000-090,59,98.6441,0.0
G1,clean,val,cosine,matched-degraded,yaw_sector,090-180,64,26.9531,0.625
G1,clean,val,cosine,matched-degraded,yaw_sector,180-270,70,79.3571,0.0
G1,clean,val,cosine,matched-degraded,yaw_sector,270-360,66,153.5606,0.0
G1,clean,val,cosine,matched-degraded,pitch_bin,+00..+45,63,83.4127,0.1429
G1,clean,val,cosine,matched-degraded,pitch_bin,+45..+90,63,95.873,0.1111
G1,clean,val,cosine,matched-degraded,pitch_bin,+90..+135,7,71.4286,0.2857
G1,clean,val,cosine,matched-degraded,pitch_bin,-45..+00,63,96.5873,0.1587
G1,clean,val,cosine,matched-degraded,pitch_bin,-90..-45,63,85.0,0.1905
G1,clean,val,zscore-neg-L2,matched-degraded,yaw_sector,000-090,59,80.339,0.4068
G1,clean,val,zscore-neg-L2,matched-degraded,yaw_sector,090-180,64,93.9062,0.1875
G1,clean,val,zscore-neg-L2,matched-degraded,yaw_sector,180-270,70,86.0714,0.3143
G1,clean,val,zscore-neg-L2,matched-degraded,yaw_sector,270-360,66,72.4242,0.3485
G1,clean,val,zscore-neg-L2,matched-degraded,pitch_bin,+00..+45,63,88.1746,0.254
G1,clean,val,zscore-neg-L2,matched-degraded,pitch_bin,+45..+90,63,83.6508,0.3492
G1,clean,val,zscore-neg-L2,matched-degraded,pitch_bin,+90..+135,7,109.2857,0.1429
G1,clean,val,zscore-neg-L2,matched-degraded,pitch_bin,-45..+00,63,82.619,0.3016
G1,clean,val,zscore-neg-L2,matched-degraded,pitch_bin,-90..-45,63,75.5556,0.3651
G1,clean,test,neg-L2,matched-degraded,yaw_sector,000-090,67,78.209,0.3881
G1,clean,test,neg-L2,matched-degraded,yaw_sector,090-180,76,89.0789,0.2632
G1,clean,test,neg-L2,matched-degraded,yaw_sector,180-270,69,92.1739,0.2464
G1,clean,test,neg-L2,matched-degraded,yaw_sector,270-360,84,76.369,0.2738
G1,clean,test,neg-L2,matched-degraded,pitch_bin,+00..+45,72,79.7222,0.2639
G1,clean,test,neg-L2,matched-degraded,pitch_bin,+45..+90,72,82.4306,0.3194
G1,clean,test,neg-L2,matched-degraded,pitch_bin,+90..+135,8,65.0,0.25
G1,clean,test,neg-L2,matched-degraded,pitch_bin,-45..+00,72,94.4444,0.2639
G1,clean,test,neg-L2,matched-degraded,pitch_bin,-90..-45,72,80.4167,0.3194
G1,clean,test,cosine,matched-degraded,yaw_sector,000-090,67,105.2239,0.0
G1,clean,test,cosine,matched-degraded,yaw_sector,090-180,76,24.1447,0.7632
G1,clean,test,cosine,matched-degraded,yaw_sector,180-270,69,74.4928,0.0
G1,clean,test,cosine,matched-degraded,yaw_sector,270-360,84,155.7143,0.0
G1,clean,test,cosine,matched-degraded,pitch_bin,+00..+45,72,89.2361,0.2361
G1,clean,test,cosine,matched-degraded,pitch_bin,+45..+90,72,89.375,0.2083
G1,clean,test,cosine,matched-degraded,pitch_bin,+90..+135,8,86.875,0.25
G1,clean,test,cosine,matched-degraded,pitch_bin,-45..+00,72,91.9444,0.1806
G1,clean,test,cosine,matched-degraded,pitch_bin,-90..-45,72,96.25,0.1528
G1,clean,test,zscore-neg-L2,matched-degraded,yaw_sector,000-090,67,78.209,0.3881
G1,clean,test,zscore-neg-L2,matched-degraded,yaw_sector,090-180,76,89.0789,0.2632
G1,clean,test,zscore-neg-L2,matched-degraded,yaw_sector,180-270,69,92.1739,0.2464
G1,clean,test,zscore-neg-L2,matched-degraded,yaw_sector,270-360,84,76.369,0.2738
G1,clean,test,zscore-neg-L2,matched-degraded,pitch_bin,+00..+45,72,79.7222,0.2639
G1,clean,test,zscore-neg-L2,matched-degraded,pitch_bin,+45..+90,72,82.4306,0.3194
G1,clean,test,zscore-neg-L2,matched-degraded,pitch_bin,+90..+135,8,65.0,0.25
G1,clean,test,zscore-neg-L2,matched-degraded,pitch_bin,-45..+00,72,94.4444,0.2639
G1,clean,test,zscore-neg-L2,matched-degraded,pitch_bin,-90..-45,72,80.4167,0.3194
G3,clean,val,neg-L2,matched-degraded,yaw_sector,000-090,59,11.7797,0.9322
G3,clean,val,neg-L2,matched-degraded,yaw_sector,090-180,64,36.1719,0.75
G3,clean,val,neg-L2,matched-degraded,yaw_sector,180-270,70,25.1429,0.8286
G3,clean,val,neg-L2,matched-degraded,yaw_sector,270-360,66,34.2424,0.7576
G3,clean,val,neg-L2,matched-degraded,pitch_bin,+00..+45,63,26.2698,0.8095
G3,clean,val,neg-L2,matched-degraded,pitch_bin,+45..+90,63,25.1587,0.8413
G3,clean,val,neg-L2,matched-degraded,pitch_bin,+90..+135,7,52.1429,0.5714
G3,clean,val,neg-L2,matched-degraded,pitch_bin,-45..+00,63,21.6667,0.8571
G3,clean,val,neg-L2,matched-degraded,pitch_bin,-90..-45,63,32.6984,0.7778
G3,clean,val,cosine,matched-degraded,yaw_sector,000-090,59,54.5763,0.6441
G3,clean,val,cosine,matched-degraded,yaw_sector,090-180,64,44.7656,0.7031
G3,clean,val,cosine,matched-degraded,yaw_sector,180-270,70,48.5,0.6429
G3,clean,val,cosine,matched-degraded,yaw_sector,270-360,66,50.0758,0.6515
G3,clean,val,cosine,matched-degraded,pitch_bin,+00..+45,63,60.7937,0.619
G3,clean,val,cosine,matched-degraded,pitch_bin,+45..+90,63,53.8889,0.6349
G3,clean,val,cosine,matched-degraded,pitch_bin,+90..+135,7,92.8571,0.4286
G3,clean,val,cosine,matched-degraded,pitch_bin,-45..+00,63,37.7778,0.6984
G3,clean,val,cosine,matched-degraded,pitch_bin,-90..-45,63,40.1587,0.7143
G3,clean,val,zscore-neg-L2,matched-degraded,yaw_sector,000-090,59,11.8644,0.9322
G3,clean,val,zscore-neg-L2,matched-degraded,yaw_sector,090-180,64,36.25,0.75
G3,clean,val,zscore-neg-L2,matched-degraded,yaw_sector,180-270,70,20.1429,0.8571
G3,clean,val,zscore-neg-L2,matched-degraded,yaw_sector,270-360,66,36.7424,0.7424
G3,clean,val,zscore-neg-L2,matched-degraded,pitch_bin,+00..+45,63,23.8889,0.8254
G3,clean,val,zscore-neg-L2,matched-degraded,pitch_bin,+45..+90,63,25.2381,0.8413
G3,clean,val,zscore-neg-L2,matched-degraded,pitch_bin,+90..+135,7,52.1429,0.5714
G3,clean,val,zscore-neg-L2,matched-degraded,pitch_bin,-45..+00,63,18.8095,0.873
G3,clean,val,zscore-neg-L2,matched-degraded,pitch_bin,-90..-45,63,35.0794,0.7619
G3,clean,test,neg-L2,matched-degraded,yaw_sector,000-090,67,18.4328,0.8955
G3,clean,test,neg-L2,matched-degraded,yaw_sector,090-180,76,27.9605,0.8158
G3,clean,test,neg-L2,matched-degraded,yaw_sector,180-270,69,16.3768,0.8406
G3,clean,test,neg-L2,matched-degraded,yaw_sector,270-360,84,39.3452,0.75
G3,clean,test,neg-L2,matched-degraded,pitch_bin,+00..+45,72,36.3889,0.7639
G3,clean,test,neg-L2,matched-degraded,pitch_bin,+45..+90,72,28.2639,0.8194
G3,clean,test,neg-L2,matched-degraded,pitch_bin,+90..+135,8,53.75,0.625
G3,clean,test,neg-L2,matched-degraded,pitch_bin,-45..+00,72,14.5833,0.9028
G3,clean,test,neg-L2,matched-degraded,pitch_bin,-90..-45,72,23.0556,0.8194
G3,clean,test,cosine,matched-degraded,yaw_sector,000-090,67,44.7015,0.7015
G3,clean,test,cosine,matched-degraded,yaw_sector,090-180,76,45.3289,0.7105
G3,clean,test,cosine,matched-degraded,yaw_sector,180-270,69,37.029,0.7101
G3,clean,test,cosine,matched-degraded,yaw_sector,270-360,84,52.381,0.631
G3,clean,test,cosine,matched-degraded,pitch_bin,+00..+45,72,45.2083,0.6944
G3,clean,test,cosine,matched-degraded,pitch_bin,+45..+90,72,40.1389,0.75
G3,clean,test,cosine,matched-degraded,pitch_bin,+90..+135,8,54.375,0.625
G3,clean,test,cosine,matched-degraded,pitch_bin,-45..+00,72,38.4028,0.7222
G3,clean,test,cosine,matched-degraded,pitch_bin,-90..-45,72,56.25,0.5833
G3,clean,test,zscore-neg-L2,matched-degraded,yaw_sector,000-090,67,18.209,0.8955
G3,clean,test,zscore-neg-L2,matched-degraded,yaw_sector,090-180,76,23.6842,0.8421
G3,clean,test,zscore-neg-L2,matched-degraded,yaw_sector,180-270,69,16.3043,0.8406
G3,clean,test,zscore-neg-L2,matched-degraded,yaw_sector,270-360,84,41.3095,0.7381
G3,clean,test,zscore-neg-L2,matched-degraded,pitch_bin,+00..+45,72,36.4583,0.7639
G3,clean,test,zscore-neg-L2,matched-degraded,pitch_bin,+45..+90,72,23.6806,0.8472
G3,clean,test,zscore-neg-L2,matched-degraded,pitch_bin,+90..+135,8,53.75,0.625
G3,clean,test,zscore-neg-L2,matched-degraded,pitch_bin,-45..+00,72,16.8056,0.8889
G3,clean,test,zscore-neg-L2,matched-degraded,pitch_bin,-90..-45,72,22.8472,0.8194
G5,clean,val,neg-L2,matched-degraded,yaw_sector,000-090,59,0.2542,1.0
G5,clean,val,neg-L2,matched-degraded,yaw_sector,090-180,64,15.7031,0.9062
G5,clean,val,neg-L2,matched-degraded,yaw_sector,180-270,70,8.2857,0.9429
G5,clean,val,neg-L2,matched-degraded,yaw_sector,270-360,66,12.0455,0.9091
G5,clean,val,neg-L2,matched-degraded,pitch_bin,+00..+45,63,8.5714,0.9365
