geom,degrade_level,query_split,similarity,template_mode,n_template,n_query,top1_yaw_cmae,top1_yaw_hit@15,top1_yaw_hit@30,top1_yaw_hit@45,top1_pitch_mae,nn_distance_mean,margin_mean,topk1_best_yaw_cmae,topk3_best_yaw_cmae,topk5_best_yaw_cmae,topk10_best_yaw_cmae,topk1_best_yaw_hit@30,topk3_best_yaw_hit@30,topk5_best_yaw_hit@30,topk10_best_yaw_hit@30
G1,clean,val,neg-L2,matched-degraded,2109,259,83.2239,0.2819,0.3127,0.3514,54.5174,0.0,0.0,83.2239,37.9344,16.2355,7.2394,0.3127,0.6062,0.8185,0.9382
G1,clean,val,cosine,matched-degraded,2109,259,89.7104,0.0811,0.1544,0.2432,47.4324,-1.0,0.0,89.7104,87.1622,45.7143,45.7143,0.1544,0.166,0.3475,0.3475
G1,clean,val,zscore-neg-L2,matched-degraded,2109,259,83.2239,0.2819,0.3127,0.3514,54.5174,4.3e-05,0.0002,83.2239,37.9344,16.2355,7.2394,0.3127,0.6062,0.8185,0.9382
G1,clean,test,neg-L2,matched-degraded,2109,296,83.7331,0.25,0.2905,0.3311,56.7399,0.0,0.0,83.7331,34.6284,22.9223,11.25,0.2905,0.5642,0.723,0.8818
G1,clean,test,cosine,matched-degraded,2109,296,91.5709,0.098,0.1959,0.2804,47.4324,-1.0,0.0,91.5709,88.9527,39.8311,39.8311,0.1959,0.2196,0.4392,0.4392
G1,clean,test,zscore-neg-L2,matched-degraded,2109,296,83.7331,0.25,0.2905,0.3311,56.7399,6e-05,7.4e-05,83.7331,34.6284,22.9223,11.25,0.2905,0.5642,0.723,0.8818
G3,clean,val,neg-L2,matched-degraded,2109,259,27.1429,0.7992,0.8147,0.8185,31.1969,2e-06,6e-06,27.1429,8.9382,5.4054,2.7413,0.8147,0.9305,0.9498,0.973
G3,clean,val,cosine,matched-degraded,2109,259,49.3629,0.61,0.6602,0.6757,48.2239,-0.999967,8.6e-05,49.3629,22.7799,12.8958,2.1429,0.6602,0.8224,0.8919,0.9884
G3,clean,val,zscore-neg-L2,matched-degraded,2109,259,26.4672,0.8031,0.8185,0.8224,31.1969,0.005924,0.015942,26.4672,9.7876,5.7915,2.8378,0.8185,0.9228,0.9459,0.973
G3,clean,test,neg-L2,matched-degraded,2109,296,26.3345,0.8041,0.8209,0.8243,28.4122,2e-06,6e-06,26.3345,7.5338,4.0034,1.5372,0.8209,0.9426,0.9628,0.9899
G3,clean,test,cosine,matched-degraded,2109,296,45.2534,0.6453,0.6858,0.6993,46.9088,-0.999955,7.8e-05,45.2534,17.6014,8.4122,2.5169,0.6858,0.8649,0.9358,0.9797
G3,clean,test,zscore-neg-L2,matched-degraded,2109,296,25.7264,0.8074,0.8243,0.8277,27.9223,0.005961,0.015255,25.7264,7.1959,4.0372,1.5709,0.8243,0.9459,0.9628,0.9899
G5,clean,val,neg-L2,matched-degraded,2109,259,9.2471,0.9382,0.9382,0.9382,29.9228,1.1e-05,1.9e-05,9.2471,2.2394,0.9266,0.7915,0.9382,0.9846,0.9923,0.9923
G5,clean,val,cosine,matched-degraded,2109,259,20.1351,0.8726,0.8726,0.8726,36.6795,-0.999581,0.000439,20.1351,6.3127,4.6139,2.7992,0.8726,0.9498,0.9653,0.9807
G5,clean,val,zscore-neg-L2,matched-degraded,2109,259,12.1236,0.9228,0.9228,0.9228,27.7606,0.020933,0.04015,12.1236,4.4015,1.8919,0.1351,0.9228,0.9691,0.9846,1.0
G5,clean,test,neg-L2,matched-degraded,2109,296,8.1926,0.9493,0.9493,0.9493,31.9595,1.3e-05,2.2e-05,8.1926,0.5574,0.473,0.1351,0.9493,0.9966,0.9966,1.0
G5,clean,test,cosine,matched-degraded,2109,296,19.1216,0.8784,0.8784,0.8784,37.8885,-0.999542,0.000418,19.1216,5.5743,1.8412,1.1318,0.8784,0.9595,0.9865,0.9899
G5,clean,test,zscore-neg-L2,matched-degraded,2109,296,10.3547,0.9358,0.9392,0.9392,31.1655,0.023089,0.040898,10.3547,0.9628,0.6081,0.4223,0.9392,0.9932,0.9966,0.9966
G1,degraded-mild,val,neg-L2,matched-degraded,2109,259,85.6757,0.2355,0.2857,0.3359,56.6216,0.0,0.0,85.6757,36.1776,20.0579,8.8803,0.2857,0.61,0.7761,0.9305
G1,degraded-mild,val,cosine,matched-degraded,2109,259,89.7104,0.0811,0.1544,0.2432,47.4324,-1.0,0.0,89.7104,87.1622,45.7143,45.7143,0.1544,0.166,0.3475,0.3475
G1,degraded-mild,val,zscore-neg-L2,matched-degraded,2109,259,85.6757,0.2355,0.2857,0.3359,56.6216,0.000143,0.000286,85.6757,36.1776,20.0579,8.8803,0.2857,0.61,0.7761,0.9305
G1,degraded-mild,test,neg-L2,matched-degraded,2109,296,83.8007,0.223,0.2703,0.3142,57.5,0.0,0.0,83.8007,40.5236,23.4797,10.5743,0.2703,0.5372,0.6959,0.8953
