protocol,geom,mode,run,dir_exists,has_samples_csv_best,has_samples_npz_best,has_samples_final,has_metrics_best,n_records,has_neural_topk,neural_topk_width,has_candidate_grid,npz_fields,usability
P-INT,G1,image_only,P-INT_G1_image_only_seed42,True,True,True,True,True,296,True,5,True,record_id;yaw_true_deg;pitch_true_deg;yaw_pred_deg;pitch_pred_deg;yaw_circular_error_deg;pitch_abs_error_deg;geometry_group;mode;protocol;posterior_like_top5_idx;posterior_like_top5_score;entropy;margin;candidate_grid,usable
P-INT,G1,ocs_only,P-INT_G1_ocs_only_seed42,True,True,True,True,True,296,True,5,True,record_id;yaw_true_deg;pitch_true_deg;yaw_pred_deg;pitch_pred_deg;yaw_circular_error_deg;pitch_abs_error_deg;geometry_group;mode;protocol;posterior_like_top5_idx;posterior_like_top5_score;entropy;margin;candidate_grid,usable
P-INT,G1,joint,P-INT_G1_joint_seed42,True,True,True,True,True,296,True,5,True,record_id;yaw_true_deg;pitch_true_deg;yaw_pred_deg;pitch_pred_deg;yaw_circular_error_deg;pitch_abs_error_deg;geometry_group;mode;protocol;posterior_like_top5_idx;posterior_like_top5_score;entropy;margin;candidate_grid,usable
P-INT,G3,image_only,P-INT_G3_image_only_seed42,True,True,True,True,True,296,True,5,True,record_id;yaw_true_deg;pitch_true_deg;yaw_pred_deg;pitch_pred_deg;yaw_circular_error_deg;pitch_abs_error_deg;geometry_group;mode;protocol;posterior_like_top5_idx;posterior_like_top5_score;entropy;margin;candidate_grid,usable
P-INT,G3,ocs_only,P-INT_G3_ocs_only_seed42,True,True,True,True,True,296,True,5,True,record_id;yaw_true_deg;pitch_true_deg;yaw_pred_deg;pitch_pred_deg;yaw_circular_error_deg;pitch_abs_error_deg;geometry_group;mode;protocol;posterior_like_top5_idx;posterior_like_top5_score;entropy;margin;candidate_grid,usable
P-INT,G3,joint,P-INT_G3_joint_seed42,True,True,True,True,True,296,True,5,True,record_id;yaw_true_deg;pitch_true_deg;yaw_pred_deg;pitch_pred_deg;yaw_circular_error_deg;pitch_abs_error_deg;geometry_group;mode;protocol;posterior_like_top5_idx;posterior_like_top5_score;entropy;margin;candidate_grid,usable
P-INT,G5,image_only,P-INT_G5_image_only_seed42,True,True,True,True,True,296,True,5,True,record_id;yaw_true_deg;pitch_true_deg;yaw_pred_deg;pitch_pred_deg;yaw_circular_error_deg;pitch_abs_error_deg;geometry_group;mode;protocol;posterior_like_top5_idx;posterior_like_top5_score;entropy;margin;candidate_grid,usable
P-INT,G5,ocs_only,P-INT_G5_ocs_only_seed42,True,True,True,True,True,296,True,5,True,record_id;yaw_true_deg;pitch_true_deg;yaw_pred_deg;pitch_pred_deg;yaw_circular_error_deg;pitch_abs_error_deg;geometry_group;mode;protocol;posterior_like_top5_idx;posterior_like_top5_score;entropy;margin;candidate_grid,usable
P-INT,G5,joint,P-INT_G5_joint_seed42,True,True,True,True,True,296,True,5,True,record_id;yaw_true_deg;pitch_true_deg;yaw_pred_deg;pitch_pred_deg;yaw_circular_error_deg;pitch_abs_error_deg;geometry_group;mode;protocol;posterior_like_top5_idx;posterior_like_top5_score;entropy;margin;candidate_grid,usable
P-EXT,G1,image_only,P-EXT_G1_image_only_seed42,False,False,False,False,False,0,False,0,False,,MISSING (P-EXT only ships ocs_only by design)
P-EXT,G1,ocs_only,P-EXT_G1_ocs_only_seed42,True,True,True,True,True,296,True,5,True,record_id;yaw_true_deg;pitch_true_deg;yaw_pred_deg;pitch_pred_deg;yaw_circular_error_deg;pitch_abs_error_deg;geometry_group;mode;protocol;posterior_like_top5_idx;posterior_like_top5_score;entropy;margin;candidate_grid,usable
P-EXT,G1,joint,P-EXT_G1_joint_seed42,False,False,False,False,False,0,False,0,False,,MISSING (P-EXT only ships ocs_only by design)
P-EXT,G3,image_only,P-EXT_G3_image_only_seed42,False,False,False,False,False,0,False,0,False,,MISSING (P-EXT only ships ocs_only by design)
P-EXT,G3,ocs_only,P-EXT_G3_ocs_only_seed42,True,True,True,True,True,296,True,5,True,record_id;yaw_true_deg;pitch_true_deg;yaw_pred_deg;pitch_pred_deg;yaw_circular_error_deg;pitch_abs_error_deg;geometry_group;mode;protocol;posterior_like_top5_idx;posterior_like_top5_score;entropy;margin;candidate_grid,usable
P-EXT,G3,joint,P-EXT_G3_joint_seed42,False,False,False,False,False,0,False,0,False,,MISSING (P-EXT only ships ocs_only by design)
P-EXT,G5,image_only,P-EXT_G5_image_only_seed42,False,False,False,False,False,0,False,0,False,,MISSING (P-EXT only ships ocs_only by design)
P-EXT,G5,ocs_only,P-EXT_G5_ocs_only_seed42,True,True,True,True,True,296,True,5,True,record_id;yaw_true_deg;pitch_true_deg;yaw_pred_deg;pitch_pred_deg;yaw_circular_error_deg;pitch_abs_error_deg;geometry_group;mode;protocol;posterior_like_top5_idx;posterior_like_top5_score;entropy;margin;candidate_grid,usable
P-EXT,G5,joint,P-EXT_G5_joint_seed42,False,False,False,False,False,0,False,0,False,,MISSING (P-EXT only ships ocs_only by design)
