check,value_in_16pack,source_value,tol,status
M5 P-INT ocs hit@30 G1,0.277,0.277,0.001,PASS
M5 P-INT ocs cMAE G1,76.559,76.5588,0.001,PASS
M5 P-EXT ocs hit@30 G1,0.0,0.0,0.001,PASS
M5 P-DB top1 hit@30 G1,0.2905,0.2905,0.001,PASS
M5 P-INT ocs hit@30 G3,0.6723,0.6723,0.001,PASS
M5 P-INT ocs cMAE G3,38.225,38.2246,0.001,PASS
M5 P-EXT ocs hit@30 G3,0.0811,0.0811,0.001,PASS
M5 P-DB top1 hit@30 G3,0.8209,0.8209,0.001,PASS
M5 P-INT ocs hit@30 G5,0.8108,0.8108,0.001,PASS
M5 P-INT ocs cMAE G5,22.769,22.769,0.001,PASS
M5 P-EXT ocs hit@30 G5,0.0,0.0,0.001,PASS
M5 P-DB top1 hit@30 G5,0.9493,0.9493,0.001,PASS
D2 ocs_only hit@30 G1,0.277,0.277,0.001,PASS
D2 image_only hit@30 G1,1.0,1.0,0.001,PASS
D2 joint hit@30 G1,1.0,1.0,0.001,PASS
D2 ocs_only hit@30 G3,0.6723,0.6723,0.001,PASS
D2 image_only hit@30 G3,1.0,1.0,0.001,PASS
D2 joint hit@30 G3,1.0,1.0,0.001,PASS
D2 ocs_only hit@30 G5,0.8108,0.8108,0.001,PASS
D2 image_only hit@30 G5,0.9932,0.9932,0.001,PASS
D2 joint hit@30 G5,1.0,1.0,0.001,PASS
