geom,record_id,yaw_true,pitch_true,image_hit,ocs_hit,joint_hit,pdb_hit,label
G1,G1_yaw000_pitch+025,0.0,25.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw000_pitch+030,0.0,30.0,1,0,1,1,ocs_wrong_image_correct
G1,G1_yaw000_pitch+040,0.0,40.0,1,0,1,1,ocs_wrong_image_correct
G1,G1_yaw000_pitch+045,0.0,45.0,1,0,1,1,ocs_wrong_image_correct
G1,G1_yaw000_pitch-035,0.0,-35.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw005_pitch+055,5.0,55.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw005_pitch+090,5.0,90.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw010_pitch+080,10.0,80.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw010_pitch-010,10.0,-10.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw010_pitch-040,10.0,-40.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw010_pitch-045,10.0,-45.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw010_pitch-080,10.0,-80.0,1,0,1,1,ocs_wrong_image_correct
G1,G1_yaw015_pitch+010,15.0,10.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw015_pitch+020,15.0,20.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw015_pitch+050,15.0,50.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw015_pitch+085,15.0,85.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw015_pitch-020,15.0,-20.0,1,0,1,1,ocs_wrong_image_correct
G1,G1_yaw015_pitch-030,15.0,-30.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw015_pitch-055,15.0,-55.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw020_pitch+065,20.0,65.0,1,0,1,1,ocs_wrong_image_correct
G1,G1_yaw020_pitch+085,20.0,85.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw020_pitch-005,20.0,-5.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw020_pitch-060,20.0,-60.0,1,0,1,1,ocs_wrong_image_correct
G1,G1_yaw025_pitch-030,25.0,-30.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw025_pitch-065,25.0,-65.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw025_pitch-080,25.0,-80.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw030_pitch-065,30.0,-65.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw035_pitch+005,35.0,5.0,1,0,1,0,ocs_wrong_image_correct
