geom,pair,n,both_correct,a_only,b_only,both_wrong,disagreement_rate
G1,image_only|ocs_only,296,82,214,0,0,0.723
G1,image_only|joint,296,296,0,0,0,0.0
G1,ocs_only|joint,296,82,0,214,0,0.723
G1,ocs_only|pdb,296,32,50,54,160,0.3514
G1,image_only|pdb,296,86,210,0,0,0.7095
G1,joint|pdb,296,86,210,0,0,0.7095
G3,image_only|ocs_only,296,199,97,0,0,0.3277
G3,image_only|joint,296,296,0,0,0,0.0
G3,ocs_only|joint,296,199,0,97,0,0.3277
G3,ocs_only|pdb,296,185,14,58,39,0.2432
G3,image_only|pdb,296,243,53,0,0,0.1791
G3,joint|pdb,296,243,53,0,0,0.1791
G5,image_only|ocs_only,296,238,56,2,0,0.1959
G5,image_only|joint,296,294,0,2,0,0.0068
G5,ocs_only|joint,296,240,0,56,0,0.1892
G5,ocs_only|pdb,296,237,3,44,12,0.1588
G5,image_only|pdb,296,279,15,2,0,0.0574
G5,joint|pdb,296,281,15,0,0,0.0507
