geom,record_id,yaw_true,pitch_true,type,pdb_yaw_err,pdb_nearest
G1,G1_yaw260_pitch-065,260.0,-65.0,pdb_near_but_wrong(ambiguous_flux),100.0,0.0
G1,G1_yaw300_pitch+055,300.0,55.0,pdb_near_but_wrong(ambiguous_flux),65.0,0.0
G1,G1_yaw140_pitch+000,140.0,0.0,pdb_near_but_wrong(ambiguous_flux),90.0,0.0
G1,G1_yaw170_pitch-040,170.0,-40.0,pdb_near_but_wrong(ambiguous_flux),35.0,0.0
G1,G1_yaw315_pitch-020,315.0,-20.0,pdb_near_but_wrong(ambiguous_flux),70.0,0.0
G1,G1_yaw130_pitch+035,130.0,35.0,pdb_near_but_wrong(ambiguous_flux),160.0,0.0
G1,G1_yaw020_pitch-005,20.0,-5.0,pdb_near_but_wrong(ambiguous_flux),170.0,0.0
G1,G1_yaw255_pitch-005,255.0,-5.0,pdb_near_but_wrong(ambiguous_flux),135.0,0.0
G1,G1_yaw190_pitch-055,190.0,-55.0,pdb_near_but_wrong(ambiguous_flux),115.0,0.0
G1,G1_yaw345_pitch-080,345.0,-80.0,pdb_near_but_wrong(ambiguous_flux),145.0,0.0
G1,G1_yaw320_pitch-020,320.0,-20.0,pdb_near_but_wrong(ambiguous_flux),95.0,0.0
G1,G1_yaw085_pitch+050,85.0,50.0,pdb_near_but_wrong(ambiguous_flux),170.0,0.0
G1,G1_yaw015_pitch+020,15.0,20.0,pdb_near_but_wrong(ambiguous_flux),80.0,0.0
G1,G1_yaw320_pitch-065,320.0,-65.0,pdb_near_but_wrong(ambiguous_flux),55.0,0.0
G1,G1_yaw245_pitch+075,245.0,75.0,pdb_near_but_wrong(ambiguous_flux),100.0,0.0
G1,G1_yaw120_pitch+085,120.0,85.0,pdb_near_but_wrong(ambiguous_flux),175.0,0.0
G1,G1_yaw085_pitch-060,85.0,-60.0,pdb_near_but_wrong(ambiguous_flux),50.0,0.0
G1,G1_yaw175_pitch+080,175.0,80.0,pdb_near_but_wrong(ambiguous_flux),95.0,0.0
G1,G1_yaw200_pitch+005,200.0,5.0,pdb_near_but_wrong(ambiguous_flux),140.0,0.0
G1,G1_yaw135_pitch-080,135.0,-80.0,pdb_near_but_wrong(ambiguous_flux),165.0,0.0
G1,G1_yaw250_pitch+080,250.0,80.0,pdb_near_but_wrong(ambiguous_flux),150.0,0.0
G1,G1_yaw320_pitch+005,320.0,5.0,pdb_near_but_wrong(ambiguous_flux),125.0,0.0
G1,G1_yaw115_pitch-085,115.0,-85.0,pdb_near_but_wrong(ambiguous_flux),170.0,0.0
G1,G1_yaw325_pitch+010,325.0,10.0,pdb_near_but_wrong(ambiguous_flux),70.0,0.0
G1,G1_yaw255_pitch+015,255.0,15.0,pdb_near_but_wrong(ambiguous_flux),135.0,0.0
G1,G1_yaw185_pitch+060,185.0,60.0,pdb_near_but_wrong(ambiguous_flux),70.0,0.0
G1,G1_yaw110_pitch-055,110.0,-55.0,pdb_near_but_wrong(ambiguous_flux),175.0,0.0
G1,G1_yaw330_pitch-075,330.0,-75.0,pdb_near_but_wrong(ambiguous_flux),180.0,0.0
G1,G1_yaw310_pitch-020,310.0,-20.0,pdb_near_but_wrong(ambiguous_flux),170.0,0.0
G1,G1_yaw270_pitch+045,270.0,45.0,pdb_near_but_wrong(ambiguous_flux),175.0,0.0
G1,G1_yaw095_pitch-020,95.0,-20.0,pdb_near_but_wrong(ambiguous_flux),135.0,0.0
G1,G1_yaw010_pitch-010,10.0,-10.0,pdb_near_but_wrong(ambiguous_flux),165.0,0.0
G1,G1_yaw240_pitch+030,240.0,30.0,pdb_near_but_wrong(ambiguous_flux),170.0,0.0
G1,G1_yaw250_pitch+085,250.0,85.0,pdb_near_but_wrong(ambiguous_flux),115.0,0.0
G1,G1_yaw095_pitch+025,95.0,25.0,pdb_near_but_wrong(ambiguous_flux),165.0,0.0
G1,G1_yaw075_pitch-070,75.0,-70.0,pdb_near_but_wrong(ambiguous_flux),150.0,0.0
