record_id,yaw_true,pitch_true,ocs_g1_err,ocs_g5_err,gain_g1_to_g5
G5_yaw260_pitch-065,260.0,-65.0,72.633,6.764,65.869
G5_yaw300_pitch+055,300.0,55.0,6.745,111.006,-104.26
G5_yaw140_pitch+000,140.0,0.0,69.113,16.481,52.632
G5_yaw165_pitch+055,165.0,55.0,51.518,19.996,31.523
G5_yaw170_pitch-040,170.0,-40.0,31.88,1.961,29.92
G5_yaw315_pitch-020,315.0,-20.0,113.644,17.766,95.878
G5_yaw130_pitch+035,130.0,35.0,83.074,6.127,76.946
G5_yaw020_pitch-005,20.0,-5.0,162.908,1.676,161.232
G5_yaw255_pitch-005,255.0,-5.0,166.174,10.419,155.755
G5_yaw190_pitch-055,190.0,-55.0,39.563,16.51,23.053
G5_yaw345_pitch-080,345.0,-80.0,171.308,6.354,164.954
G5_yaw160_pitch-080,160.0,-80.0,72.684,26.443,46.241
G5_yaw320_pitch-020,320.0,-20.0,93.207,25.784,67.423
G5_yaw085_pitch+050,85.0,50.0,5.034,10.629,-5.595
G5_yaw015_pitch+020,15.0,20.0,172.957,0.608,172.349
G5_yaw175_pitch-015,175.0,-15.0,44.895,1.926,42.968
G5_yaw320_pitch-065,320.0,-65.0,120.179,5.522,114.657
G5_yaw245_pitch+075,245.0,75.0,10.681,15.962,-5.28
G5_yaw120_pitch+085,120.0,85.0,176.371,97.808,78.563
G5_yaw085_pitch-060,85.0,-60.0,10.132,14.416,-4.284
G5_yaw175_pitch+080,175.0,80.0,96.182,9.892,86.29
G5_yaw200_pitch+005,200.0,5.0,12.129,13.438,-1.31
G5_yaw160_pitch-070,160.0,-70.0,91.994,5.216,86.778
G5_yaw135_pitch-080,135.0,-80.0,100.541,33.493,67.048
G5_yaw250_pitch+080,250.0,80.0,175.34,85.504,89.836
G5_yaw020_pitch+065,20.0,65.0,125.034,8.74,116.295
G5_yaw320_pitch+005,320.0,5.0,128.898,0.49,128.407
G5_yaw115_pitch-085,115.0,-85.0,120.66,81.462,39.197
G5_yaw325_pitch+010,325.0,10.0,155.897,2.205,153.693
G5_yaw255_pitch+015,255.0,15.0,171.677,9.226,162.451
G5_yaw185_pitch+060,185.0,60.0,115.294,3.589,111.705
G5_yaw280_pitch+030,280.0,30.0,4.566,18.057,-13.492
G5_yaw045_pitch-035,45.0,-35.0,29.538,2.437,27.101
G5_yaw055_pitch+005,55.0,5.0,1.971,24.167,-22.195
G5_yaw110_pitch-055,110.0,-55.0,164.781,19.698,145.083
G5_yaw330_pitch-075,330.0,-75.0,137.994,123.239,14.755
G5_yaw310_pitch-020,310.0,-20.0,174.188,7.747,166.44
G5_yaw270_pitch+045,270.0,45.0,87.367,25.274,62.093
G5_yaw095_pitch-020,95.0,-20.0,89.932,2.995,86.938
G5_yaw350_pitch-045,350.0,-45.0,88.818,14.534,74.284
G5_yaw010_pitch-010,10.0,-10.0,158.74,25.098,133.643
G5_yaw240_pitch+030,240.0,30.0,179.446,0.212,179.234
G5_yaw250_pitch+085,250.0,85.0,175.407,41.524,133.884
G5_yaw095_pitch+025,95.0,25.0,21.025,12.884,8.141
G5_yaw065_pitch-015,65.0,-15.0,6.622,2.162,4.46
G5_yaw075_pitch-070,75.0,-70.0,9.31,2.688,6.623
G5_yaw180_pitch+015,180.0,15.0,38.362,32.732,5.63
G5_yaw295_pitch-085,295.0,-85.0,19.663,7.903,11.76
G5_yaw205_pitch+075,205.0,75.0,4.436,11.038,-6.602
G5_yaw335_pitch-070,335.0,-70.0,154.276,18.628,135.648
G5_yaw165_pitch-005,165.0,-5.0,6.183,9.932,-3.748
G5_yaw295_pitch+000,295.0,0.0,74.212,107.077,-32.864
G5_yaw170_pitch+060,170.0,60.0,81.446,9.734,71.712
G5_yaw195_pitch+045,195.0,45.0,55.651,18.384,37.267
G5_yaw120_pitch+075,120.0,75.0,151.611,51.699,99.912
G5_yaw320_pitch+020,320.0,20.0,134.449,3.46,130.989
G5_yaw075_pitch-025,75.0,-25.0,9.41,5.703,3.706
G5_yaw230_pitch-035,230.0,-35.0,155.686,2.51,153.176
G5_yaw015_pitch+010,15.0,10.0,164.85,9.704,155.146
G5_yaw285_pitch-040,285.0,-40.0,25.898,11.502,14.396
G5_yaw145_pitch-030,145.0,-30.0,8.482,13.601,-5.119
G5_yaw020_pitch-060,20.0,-60.0,158.917,3.186,155.731
G5_yaw160_pitch-055,160.0,-55.0,1.66,11.952,-10.292
G5_yaw145_pitch+090,145.0,90.0,12.293,10.762,1.532
G5_yaw060_pitch+065,60.0,65.0,6.89,14.112,-7.222
G5_yaw150_pitch-075,150.0,-75.0,70.584,1.263,69.321
G5_yaw175_pitch+015,175.0,15.0,13.801,19.615,-5.813
G5_yaw330_pitch-055,330.0,-55.0,135.992,125.419,10.573
G5_yaw325_pitch-050,325.0,-50.0,141.614,7.23,134.384
G5_yaw145_pitch-035,145.0,-35.0,15.556,12.048,3.508
G5_yaw095_pitch+005,95.0,5.0,80.171,96.198,-16.026
G5_yaw020_pitch+085,20.0,85.0,150.314,4.565,145.748
G5_yaw095_pitch+050,95.0,50.0,68.971,0.011,68.96
G5_yaw325_pitch+055,325.0,55.0,119.387,7.903,111.484
G5_yaw145_pitch+035,145.0,35.0,31.656,9.613,22.042
G5_yaw285_pitch+005,285.0,5.0,6.642,50.019,-43.376
G5_yaw040_pitch-005,40.0,-5.0,26.115,15.509,10.606
G5_yaw165_pitch-020,165.0,-20.0,11.534,9.736,1.798
G5_yaw000_pitch+040,0.0,40.0,47.536,16.88,30.655
G5_yaw240_pitch+020,240.0,20.0,178.623,0.67,177.954
G5_yaw185_pitch+000,185.0,0.0,54.749,2.809,51.939
G5_yaw295_pitch-050,295.0,-50.0,18.069,11.547,6.522
G5_yaw130_pitch+050,130.0,50.0,102.955,6.028,96.927
G5_yaw040_pitch-090,40.0,-90.0,26.266,1.892,24.374
G5_yaw035_pitch+005,35.0,5.0,37.753,4.513,33.24
G5_yaw095_pitch+040,95.0,40.0,43.723,6.167,37.556
G5_yaw320_pitch-055,320.0,-55.0,119.523,5.829,113.694
G5_yaw200_pitch-030,200.0,-30.0,6.906,2.389,4.516
G5_yaw100_pitch+075,100.0,75.0,115.265,14.537,100.728
G5_yaw065_pitch+075,65.0,75.0,6.507,171.803,-165.296
G5_yaw130_pitch+055,130.0,55.0,113.128,5.498,107.63
G5_yaw320_pitch+075,320.0,75.0,97.767,5.801,91.966
G5_yaw335_pitch-085,335.0,-85.0,91.938,4.678,87.26
G5_yaw305_pitch+065,305.0,65.0,33.301,32.975,0.326
G5_yaw310_pitch+005,310.0,5.0,132.896,6.372,126.524
G5_yaw350_pitch-040,350.0,-40.0,91.433,11.392,80.041
G5_yaw000_pitch+030,0.0,30.0,48.366,7.69,40.676
G5_yaw015_pitch-030,15.0,-30.0,162.364,5.624,156.74
G5_yaw025_pitch-065,25.0,-65.0,124.516,6.776,117.739
G5_yaw355_pitch-085,355.0,-85.0,148.806,5.453,143.353
G5_yaw270_pitch+035,270.0,35.0,86.192,24.285,61.907
G5_yaw305_pitch+025,305.0,25.0,47.278,11.048,36.23
G5_yaw145_pitch+000,145.0,0.0,87.265,6.107,81.159
G5_yaw270_pitch-045,270.0,-45.0,46.845,24.699,22.145
G5_yaw180_pitch-005,180.0,-5.0,90.946,2.083,88.864
G5_yaw335_pitch-020,335.0,-20.0,78.382,65.849,12.533
G5_yaw265_pitch-090,265.0,-90.0,11.487,18.707,-7.22
G5_yaw110_pitch+020,110.0,20.0,79.592,23.252,56.341
G5_yaw350_pitch+070,350.0,70.0,61.604,4.257,57.347
G5_yaw230_pitch-065,230.0,-65.0,160.478,5.82,154.658
G5_yaw115_pitch+065,115.0,65.0,161.828,18.481,143.348
G5_yaw010_pitch-080,10.0,-80.0,159.337,1.455,157.882
G5_yaw130_pitch+030,130.0,30.0,69.138,9.214,59.924
G5_yaw215_pitch-045,215.0,-45.0,77.581,4.227,73.353
G5_yaw120_pitch-030,120.0,-30.0,149.441,51.447,97.994
G5_yaw005_pitch+055,5.0,55.0,97.94,12.738,85.202
G5_yaw125_pitch+035,125.0,35.0,117.652,64.267,53.385
G5_yaw260_pitch+035,260.0,35.0,145.656,5.896,139.76
G5_yaw200_pitch+010,200.0,10.0,2.678,14.199,-11.521
G5_yaw275_pitch+020,275.0,20.0,17.188,19.561,-2.373
G5_yaw180_pitch-070,180.0,-70.0,53.923,14.245,39.678
G5_yaw055_pitch+070,55.0,70.0,1.804,20.799,-18.995
G5_yaw065_pitch-075,65.0,-75.0,7.557,59.345,-51.788
G5_yaw010_pitch-045,10.0,-45.0,125.72,17.602,108.118
G5_yaw270_pitch+070,270.0,70.0,84.292,19.755,64.538
G5_yaw325_pitch+090,325.0,90.0,110.977,95.889,15.088
G5_yaw150_pitch+055,150.0,55.0,48.259,4.724,43.535
G5_yaw205_pitch+045,205.0,45.0,14.227,3.624,10.604
G5_yaw130_pitch-060,130.0,-60.0,88.234,2.47,85.763
G5_yaw280_pitch+055,280.0,55.0,60.693,15.182,45.511
G5_yaw175_pitch-035,175.0,-35.0,52.737,0.317,52.42
G5_yaw105_pitch+075,105.0,75.0,135.91,26.478,109.432
G5_yaw340_pitch+075,340.0,75.0,110.227,53.13,57.097
G5_yaw305_pitch+010,305.0,10.0,90.352,6.617,83.735
G5_yaw240_pitch-015,240.0,-15.0,178.062,1.659,176.404
G5_yaw220_pitch-030,220.0,-30.0,123.712,13.124,110.589
G5_yaw165_pitch+060,165.0,60.0,59.316,6.424,52.892
G5_yaw040_pitch-065,40.0,-65.0,25.972,5.524,20.448
G5_yaw305_pitch+015,305.0,15.0,81.402,1.03,80.372
G5_yaw335_pitch-050,335.0,-50.0,138.673,2.586,136.087
G5_yaw330_pitch-090,330.0,-90.0,94.398,100.171,-5.773
G5_yaw275_pitch-015,275.0,-15.0,77.747,67.767,9.981
G5_yaw045_pitch-050,45.0,-50.0,36.151,1.1,35.051
G5_yaw105_pitch-085,105.0,-85.0,84.912,47.768,37.144
G5_yaw300_pitch+070,300.0,70.0,18.526,94.585,-76.06
G5_yaw290_pitch+005,290.0,5.0,9.466,47.057,-37.59
G5_yaw355_pitch+045,355.0,45.0,47.516,8.34,39.176
G5_yaw085_pitch+000,85.0,0.0,14.433,7.222,7.211
G5_yaw090_pitch+015,90.0,15.0,36.909,8.048,28.861
G5_yaw155_pitch-035,155.0,-35.0,10.759,6.875,3.883
G5_yaw000_pitch-035,0.0,-35.0,49.775,9.056,40.719
G5_yaw215_pitch-075,215.0,-75.0,62.929,2.606,60.324
G5_yaw090_pitch+085,90.0,85.0,79.9,0.343,79.557
G5_yaw285_pitch-035,285.0,-35.0,16.841,12.598,4.243
G5_yaw135_pitch-010,135.0,-10.0,23.27,24.796,-1.526
G5_yaw140_pitch-015,140.0,-15.0,8.014,17.66,-9.647
G5_yaw270_pitch+000,270.0,0.0,58.566,30.886,27.679
G5_yaw245_pitch+065,245.0,65.0,11.309,1.847,9.462
G5_yaw270_pitch-050,270.0,-50.0,33.227,23.98,9.248
G5_yaw180_pitch-090,180.0,-90.0,72.554,17.789,54.765
G5_yaw085_pitch-025,85.0,-25.0,2.117,1.956,0.161
G5_yaw355_pitch-045,355.0,-45.0,56.683,14.248,42.436
G5_yaw000_pitch+045,0.0,45.0,46.385,9.485,36.9
G5_yaw050_pitch-055,50.0,-55.0,8.362,6.689,1.673
G5_yaw120_pitch+070,120.0,70.0,164.452,50.572,113.88
G5_yaw210_pitch+080,210.0,80.0,27.029,25.213,1.816
G5_yaw050_pitch-005,50.0,-5.0,9.145,21.869,-12.724
G5_yaw070_pitch-085,70.0,-85.0,52.696,28.864,23.832
G5_yaw170_pitch-065,170.0,-65.0,25.81,10.761,15.049
G5_yaw200_pitch+000,200.0,0.0,13.584,10.841,2.742
G5_yaw180_pitch-040,180.0,-40.0,98.044,11.969,86.075
G5_yaw150_pitch+010,150.0,10.0,67.716,10.777,56.939
G5_yaw330_pitch+055,330.0,55.0,129.082,7.12,121.963
G5_yaw150_pitch+085,150.0,85.0,82.288,0.825,81.463
G5_yaw100_pitch+045,100.0,45.0,88.116,14.051,74.064
G5_yaw090_pitch+025,90.0,25.0,19.509,17.575,1.935
G5_yaw065_pitch+070,65.0,70.0,6.386,164.664,-158.277
G5_yaw180_pitch+090,180.0,90.0,104.053,51.59,52.464
G5_yaw065_pitch-090,65.0,-90.0,8.926,57.206,-48.28
