geom,yaw_quad,pitch_band,ambiguous-flux,disagreement-hard,image-hard(image_only),ocs-hard,robust-easy
G1,"yaw[0,90)","pitch[-45,45]",0,11,0,0,0
G1,"yaw[0,90)","pitch[-90,-45]",0,12,0,0,1
G1,"yaw[0,90)","pitch[45,90]",0,4,0,0,0
G1,"yaw[180,270)","pitch[-45,45]",0,10,0,0,0
G1,"yaw[180,270)","pitch[-90,-45]",0,9,0,0,0
G1,"yaw[180,270)","pitch[45,90]",0,7,0,0,0
G1,"yaw[270,360)","pitch[-45,45]",0,12,0,0,0
G1,"yaw[270,360)","pitch[-90,-45]",0,6,0,0,0
G1,"yaw[270,360)","pitch[45,90]",0,11,0,0,0
G1,"yaw[90,180)","pitch[-45,45]",0,10,0,0,0
G1,"yaw[90,180)","pitch[-90,-45]",0,5,0,0,0
G1,"yaw[90,180)","pitch[45,90]",0,7,0,0,0
G3,"yaw[0,90)","pitch[-45,45]",0,2,0,0,1
G3,"yaw[0,90)","pitch[-90,-45]",0,5,0,3,4
G3,"yaw[0,90)","pitch[45,90]",0,0,0,1,2
G3,"yaw[180,270)","pitch[-45,45]",0,8,0,0,5
G3,"yaw[180,270)","pitch[-90,-45]",0,3,0,1,0
G3,"yaw[180,270)","pitch[45,90]",0,3,0,0,4
G3,"yaw[270,360)","pitch[-45,45]",0,18,0,2,2
G3,"yaw[270,360)","pitch[-90,-45]",0,3,0,1,5
G3,"yaw[270,360)","pitch[45,90]",0,6,0,2,2
G3,"yaw[90,180)","pitch[-45,45]",0,14,0,5,5
G3,"yaw[90,180)","pitch[-90,-45]",0,5,0,5,2
G3,"yaw[90,180)","pitch[45,90]",0,5,0,0,5
G5,"yaw[0,90)","pitch[-45,45]",2,0,0,1,5
G5,"yaw[0,90)","pitch[-90,-45]",0,4,0,3,8
G5,"yaw[0,90)","pitch[45,90]",1,2,0,4,0
G5,"yaw[180,270)","pitch[-45,45]",1,1,0,0,11
G5,"yaw[180,270)","pitch[-90,-45]",0,3,0,2,1
G5,"yaw[180,270)","pitch[45,90]",3,6,0,1,6
G5,"yaw[270,360)","pitch[-45,45]",2,7,0,2,12
G5,"yaw[270,360)","pitch[-90,-45]",0,7,0,5,8
G5,"yaw[270,360)","pitch[45,90]",4,8,0,3,5
G5,"yaw[90,180)","pitch[-45,45]",3,3,2,2,13
G5,"yaw[90,180)","pitch[-90,-45]",0,1,0,3,3
G5,"yaw[90,180)","pitch[45,90]",4,5,0,2,7
