category,path,status,note
clean_run_seed42,v0.4_results/11_l1m2_multigeometry_ocs/runs/P-INT_G1_ocs_only_seed42/metrics_test_best.json,OK,P-INT G1 ocs_only clean seed42 主结果
clean_run_seed42,v0.4_results/11_l1m2_multigeometry_ocs/runs/P-INT_G1_image_only_seed42/metrics_test_best.json,OK,P-INT G1 image_only clean seed42 主结果
clean_run_seed42,v0.4_results/11_l1m2_multigeometry_ocs/runs/P-INT_G1_joint_seed42/metrics_test_best.json,OK,P-INT G1 joint clean seed42 主结果
clean_run_seed42,v0.4_results/11_l1m2_multigeometry_ocs/runs/P-INT_G3_ocs_only_seed42/metrics_test_best.json,OK,P-INT G3 ocs_only clean seed42 主结果
clean_run_seed42,v0.4_results/11_l1m2_multigeometry_ocs/runs/P-INT_G3_image_only_seed42/metrics_test_best.json,OK,P-INT G3 image_only clean seed42 主结果
clean_run_seed42,v0.4_results/11_l1m2_multigeometry_ocs/runs/P-INT_G3_joint_seed42/metrics_test_best.json,OK,P-INT G3 joint clean seed42 主结果
clean_run_seed42,v0.4_results/11_l1m2_multigeometry_ocs/runs/P-INT_G5_ocs_only_seed42/metrics_test_best.json,OK,P-INT G5 ocs_only clean seed42 主结果
clean_run_seed42,v0.4_results/11_l1m2_multigeometry_ocs/runs/P-INT_G5_image_only_seed42/metrics_test_best.json,OK,P-INT G5 image_only clean seed42 主结果
clean_run_seed42,v0.4_results/11_l1m2_multigeometry_ocs/runs/P-INT_G5_joint_seed42/metrics_test_best.json,OK,P-INT G5 joint clean seed42 主结果
clean_pext_seed42,v0.4_results/11_l1m2_multigeometry_ocs/runs/P-EXT_G1_ocs_only_seed42/metrics_test_best.json,OK,P-EXT G1 ocs_only 对照
clean_pext_seed42,v0.4_results/11_l1m2_multigeometry_ocs/runs/P-EXT_G3_ocs_only_seed42/metrics_test_best.json,OK,P-EXT G3 ocs_only 对照
clean_pext_seed42,v0.4_results/11_l1m2_multigeometry_ocs/runs/P-EXT_G5_ocs_only_seed42/metrics_test_best.json,OK,P-EXT G5 ocs_only 对照
degraded_run_seed42,v0.4_results/12_l1m3_degraded_mroll/degraded/runs/degraded-mild_P-INT_G1_ocs_only_seed42/metrics_test_best.json,OK,degraded-mild G1 ocs_only
