channel,degrade_level,geom,alpha,target,coverage,set_size_deg,q_deg,val_n,test_n
neural/ocs_only,clean,G1,0.05,0.95,0.9764,351.96,175.98,259,296
neural/ocs_only,clean,G1,0.1,0.9,0.8986,321.8,160.9,259,296
neural/ocs_only,clean,G1,0.2,0.8,0.7736,252.06,126.03,259,296
neural/image_only,clean,G1,0.05,0.95,0.9527,14.56,7.28,259,296
neural/image_only,clean,G1,0.1,0.9,0.8919,10.02,5.01,259,296
neural/image_only,clean,G1,0.2,0.8,0.8378,8.29,4.14,259,296
neural/joint,clean,G1,0.05,0.95,0.9595,12.18,6.09,259,296
neural/joint,clean,G1,0.1,0.9,0.9122,9.24,4.62,259,296
neural/joint,clean,G1,0.2,0.8,0.7939,6.61,3.31,259,296
pdb/neg-L2,clean,G1,0.05,0.95,0.9764,350.0,175.0,259,296
pdb/neg-L2,clean,G1,0.1,0.9,0.9088,340.0,170.0,259,296
pdb/neg-L2,clean,G1,0.2,0.8,0.8176,320.0,160.0,259,296
neural/ocs_only,clean,G3,0.05,0.95,0.9392,322.91,161.45,259,296
neural/ocs_only,clean,G3,0.1,0.9,0.9122,245.69,122.85,259,296
neural/ocs_only,clean,G3,0.2,0.8,0.8176,161.11,80.56,259,296
neural/image_only,clean,G3,0.05,0.95,0.9358,26.95,13.48,259,296
neural/image_only,clean,G3,0.1,0.9,0.8649,20.95,10.48,259,296
neural/image_only,clean,G3,0.2,0.8,0.7736,14.66,7.33,259,296
neural/joint,clean,G3,0.05,0.95,0.9561,12.43,6.21,259,296
neural/joint,clean,G3,0.1,0.9,0.9223,9.98,4.99,259,296
neural/joint,clean,G3,0.2,0.8,0.8615,6.91,3.45,259,296
pdb/neg-L2,clean,G3,0.05,0.95,0.973,350.0,175.0,259,296
pdb/neg-L2,clean,G3,0.1,0.9,0.8953,320.0,160.0,259,296
pdb/neg-L2,clean,G3,0.2,0.8,0.8176,50.0,25.0,259,296
neural/ocs_only,clean,G5,0.05,0.95,0.9595,207.63,103.81,259,296
neural/ocs_only,clean,G5,0.1,0.9,0.902,126.18,63.09,259,296
neural/ocs_only,clean,G5,0.2,0.8,0.8007,56.18,28.09,259,296
neural/image_only,clean,G5,0.05,0.95,0.9426,47.73,23.86,259,296
neural/image_only,clean,G5,0.1,0.9,0.8345,32.31,16.15,259,296
neural/image_only,clean,G5,0.2,0.8,0.777,24.81,12.41,259,296
neural/joint,clean,G5,0.05,0.95,0.9392,14.48,7.24,259,296
neural/joint,clean,G5,0.1,0.9,0.902,12.87,6.43,259,296
neural/joint,clean,G5,0.2,0.8,0.8108,10.34,5.17,259,296
pdb/neg-L2,clean,G5,0.05,0.95,0.9628,200.0,100.0,259,296
pdb/neg-L2,clean,G5,0.1,0.9,0.9291,10.0,5.0,259,296
pdb/neg-L2,clean,G5,0.2,0.8,0.8784,0.0,0.0,259,296
neural/ocs_only,degraded-mild,G1,0.05,0.95,0.9696,353.67,176.83,259,296
neural/ocs_only,degraded-mild,G1,0.1,0.9,0.9054,320.23,160.12,259,296
neural/ocs_only,degraded-mild,G1,0.2,0.8,0.7973,249.45,124.72,259,296
neural/image_only,degraded-mild,G1,0.05,0.95,0.9527,8.9,4.45,259,296
neural/image_only,degraded-mild,G1,0.1,0.9,0.9155,7.25,3.62,259,296
neural/image_only,degraded-mild,G1,0.2,0.8,0.7872,5.18,2.59,259,296
neural/joint,degraded-mild,G1,0.05,0.95,0.9358,9.44,4.72,259,296
neural/joint,degraded-mild,G1,0.1,0.9,0.8885,7.48,3.74,259,296
neural/joint,degraded-mild,G1,0.2,0.8,0.8041,5.87,2.93,259,296
pdb/neg-L2,degraded-mild,G1,0.05,0.95,0.973,350.0,175.0,259,296
pdb/neg-L2,degraded-mild,G1,0.1,0.9,0.973,350.0,175.0,259,296
pdb/neg-L2,degraded-mild,G1,0.2,0.8,0.8446,320.0,160.0,259,296
neural/ocs_only,degraded-mild,G3,0.05,0.95,0.9628,327.86,163.93,259,296
neural/ocs_only,degraded-mild,G3,0.1,0.9,0.9392,275.98,137.99,259,296
neural/ocs_only,degraded-mild,G3,0.2,0.8,0.8311,184.83,92.42,259,296
pdb/neg-L2,degraded-mild,G3,0.05,0.95,0.9831,350.0,175.0,259,296
pdb/neg-L2,degraded-mild,G3,0.1,0.9,0.9561,340.0,170.0,259,296
pdb/neg-L2,degraded-mild,G3,0.2,0.8,0.8209,170.0,85.0,259,296
neural/ocs_only,degraded-mild,G5,0.05,0.95,0.9358,224.55,112.28,259,296
neural/ocs_only,degraded-mild,G5,0.1,0.9,0.8953,148.83,74.42,259,296
neural/ocs_only,degraded-mild,G5,0.2,0.8,0.8176,78.36,39.18,259,296
neural/image_only,degraded-mild,G5,0.05,0.95,0.9223,17.57,8.78,259,296
neural/image_only,degraded-mild,G5,0.1,0.9,0.848,13.33,6.67,259,296
neural/image_only,degraded-mild,G5,0.2,0.8,0.8142,10.31,5.16,259,296
neural/joint,degraded-mild,G5,0.05,0.95,0.9527,9.48,4.74,259,296
neural/joint,degraded-mild,G5,0.1,0.9,0.8919,7.24,3.62,259,296
neural/joint,degraded-mild,G5,0.2,0.8,0.8142,5.87,2.93,259,296
pdb/neg-L2,degraded-mild,G5,0.05,0.95,0.9831,350.0,175.0,259,296
pdb/neg-L2,degraded-mild,G5,0.1,0.9,0.9054,180.0,90.0,259,296
pdb/neg-L2,degraded-mild,G5,0.2,0.8,0.8716,10.0,5.0,259,296
neural/ocs_only,degraded-moderate,G1,0.05,0.95,0.973,349.76,174.88,259,296
neural/ocs_only,degraded-moderate,G1,0.1,0.9,0.9054,330.5,165.25,259,296
neural/ocs_only,degraded-moderate,G1,0.2,0.8,0.8176,279.35,139.68,259,296
neural/image_only,degraded-moderate,G1,0.05,0.95,0.9527,20.0,10.0,259,296
neural/image_only,degraded-moderate,G1,0.1,0.9,0.9122,15.99,7.99,259,296
neural/image_only,degraded-moderate,G1,0.2,0.8,0.8243,11.83,5.91,259,296
neural/joint,degraded-moderate,G1,0.05,0.95,0.9223,8.41,4.21,259,296
neural/joint,degraded-moderate,G1,0.1,0.9,0.8446,6.7,3.35,259,296
neural/joint,degraded-moderate,G1,0.2,0.8,0.7297,4.99,2.5,259,296
pdb/neg-L2,degraded-moderate,G1,0.05,0.95,0.9662,350.0,175.0,259,296
pdb/neg-L2,degraded-moderate,G1,0.1,0.9,0.9662,350.0,175.0,259,296
pdb/neg-L2,degraded-moderate,G1,0.2,0.8,0.8277,320.0,160.0,259,296
neural/ocs_only,degraded-moderate,G3,0.05,0.95,0.9764,348.31,174.16,259,296
neural/ocs_only,degraded-moderate,G3,0.1,0.9,0.9392,325.79,162.9,259,296
neural/ocs_only,degraded-moderate,G3,0.2,0.8,0.7939,201.64,100.82,259,296
pdb/neg-L2,degraded-moderate,G3,0.05,0.95,1.0,360.0,180.0,259,296
pdb/neg-L2,degraded-moderate,G3,0.1,0.9,0.9696,350.0,175.0,259,296
pdb/neg-L2,degraded-moderate,G3,0.2,0.8,0.8176,280.0,140.0,259,296
neural/ocs_only,degraded-moderate,G5,0.05,0.95,0.9797,327.86,163.93,259,296
