degrade_level,geom,mode,select,yaw_cmae_deg,yaw_hit@30,yaw_hit@10,pitch_mae_deg,n
degraded-severe,G1,ocs_only,best,79.867,0.1791,0.0845,46.372,296
degraded-severe,G1,ocs_only,final,79.134,0.2466,0.1014,46.284,296
degraded-severe,G1,image_only,best,4.273,0.9966,0.9324,7.705,296
degraded-severe,G1,image_only,final,5.97,0.9865,0.8649,8.76,296
degraded-severe,G1,joint,best,2.277,1.0,0.9932,3.162,296
degraded-severe,G1,joint,final,2.364,1.0,0.9966,2.785,296
degraded-severe,G3,ocs_only,best,57.871,0.473,0.2061,46.231,296
degraded-severe,G3,ocs_only,final,60.511,0.4358,0.2027,46.431,296
degraded-severe,G3,image_only,best,3.656,1.0,0.9527,4.925,296
degraded-severe,G3,image_only,final,3.648,1.0,0.9561,5.741,296
degraded-severe,G3,joint,best,2.036,1.0,0.9966,3.547,296
degraded-severe,G3,joint,final,2.79,1.0,0.9899,3.276,296
degraded-severe,G5,ocs_only,best,51.875,0.5068,0.2635,44.204,296
degraded-severe,G5,ocs_only,final,51.875,0.5068,0.2635,44.204,296
degraded-severe,G5,image_only,best,3.876,0.9966,0.9358,4.932,296
degraded-severe,G5,image_only,final,5.003,0.9966,0.8649,7.383,296
degraded-severe,G5,joint,best,2.222,1.0,0.9932,57.162,296
degraded-severe,G5,joint,final,2.894,1.0,0.9865,57.162,296
