geom_group,mode,roll_deg,cmae_drift_vs_roll0,hit30_drift_vs_roll0
G1,image_only,-30,21.731,-0.333
G1,image_only,-15,9.909,-0.0255
G1,image_only,15,12.795,-0.0661
G1,image_only,30,30.96,-0.4463
G3,image_only,-30,21.556,-0.351
G3,image_only,-15,9.46,-0.0544
G3,image_only,15,16.287,-0.1449
G3,image_only,30,32.735,-0.4733
G5,image_only,-30,20.047,-0.4043
G5,image_only,-15,11.483,-0.161
G5,image_only,15,9.869,-0.1505
G5,image_only,30,25.491,-0.3863
G1,ocs_only,-30,-1.979,-0.042
G1,ocs_only,-15,2.051,-0.0458
G1,ocs_only,15,6.29,-0.0507
G1,ocs_only,30,9.851,-0.1227
G1,joint,-30,27.906,-0.4035
G1,joint,-15,12.442,-0.0526
G1,joint,15,16.582,-0.1092
G1,joint,30,29.353,-0.4392
