geom_group,mode,roll_deg,pitch_bin,n,frac_yerr_gt30,mean_yerr
G1,image_only,-30,"[-90,-60)",432,0.5093,30.91
G1,image_only,-30,"[-60,-30)",432,0.4491,30.18
G1,image_only,-30,"[-30,+0)",432,0.2199,20.54
G1,image_only,-30,"[+0,+30)",432,0.25,19.11
G1,image_only,-30,"[+30,+60)",432,0.2269,17.35
G1,image_only,-30,"[+60,+90)",432,0.3032,24.54
G1,image_only,-15,"[-90,-60)",432,0.0069,15.49
G1,image_only,-15,"[-60,-30)",432,0.1065,16.53
G1,image_only,-15,"[-30,+0)",432,0.0324,10.11
G1,image_only,-15,"[+0,+30)",432,0.0093,9.43
G1,image_only,-15,"[+30,+60)",432,0.0023,8.68
G1,image_only,-15,"[+60,+90)",432,0.0,12.01
G1,image_only,15,"[-90,-60)",432,0.037,17.03
G1,image_only,15,"[-60,-30)",432,0.0972,20.69
G1,image_only,15,"[-30,+0)",432,0.1157,16.54
G1,image_only,15,"[+0,+30)",432,0.0903,12.5
G1,image_only,15,"[+30,+60)",432,0.0625,11.63
G1,image_only,15,"[+60,+90)",432,0.0046,11.74
G1,image_only,30,"[-90,-60)",432,0.6181,33.23
G1,image_only,30,"[-60,-30)",432,0.6898,43.63
G1,image_only,30,"[-30,+0)",432,0.5208,45.04
G1,image_only,30,"[+0,+30)",432,0.3171,30.38
G1,image_only,30,"[+30,+60)",432,0.2523,23.04
G1,image_only,30,"[+60,+90)",432,0.2824,24.32
G3,image_only,-30,"[-90,-60)",432,0.5671,31.15
G3,image_only,-30,"[-60,-30)",432,0.4236,31.56
G3,image_only,-30,"[-30,+0)",432,0.3125,26.71
G3,image_only,-30,"[+0,+30)",432,0.2662,21.44
G3,image_only,-30,"[+30,+60)",432,0.2153,19.48
G3,image_only,-30,"[+60,+90)",432,0.3032,24.89
G3,image_only,-15,"[-90,-60)",432,0.0255,16.95
G3,image_only,-15,"[-60,-30)",432,0.1644,19.12
G3,image_only,-15,"[-30,+0)",432,0.0648,12.96
G3,image_only,-15,"[+0,+30)",432,0.044,12.3
G3,image_only,-15,"[+30,+60)",432,0.0417,10.74
G3,image_only,-15,"[+60,+90)",432,0.0,11.05
G3,image_only,15,"[-90,-60)",432,0.0741,16.26
G3,image_only,15,"[-60,-30)",432,0.1944,24.8
G3,image_only,15,"[-30,+0)",432,0.2338,27.92
G3,image_only,15,"[+0,+30)",432,0.1968,20.74
G3,image_only,15,"[+30,+60)",432,0.1528,19.18
G3,image_only,15,"[+60,+90)",432,0.0394,15.64
G3,image_only,30,"[-90,-60)",432,0.5139,34.21
G3,image_only,30,"[-60,-30)",432,0.4977,46.15
G3,image_only,30,"[-30,+0)",432,0.544,49.24
G3,image_only,30,"[+0,+30)",432,0.4329,36.09
G3,image_only,30,"[+30,+60)",432,0.3681,29.18
G3,image_only,30,"[+60,+90)",432,0.4815,28.58
G5,image_only,-30,"[-90,-60)",432,0.5741,30.23
G5,image_only,-30,"[-60,-30)",432,0.3796,29.3
G5,image_only,-30,"[-30,+0)",432,0.2963,25.32
G5,image_only,-30,"[+0,+30)",432,0.2986,23.03
G5,image_only,-30,"[+30,+60)",432,0.3634,25.45
G5,image_only,-30,"[+60,+90)",432,0.5301,35.55
G5,image_only,-15,"[-90,-60)",432,0.0787,18.25
G5,image_only,-15,"[-60,-30)",432,0.2407,21.26
G5,image_only,-15,"[-30,+0)",432,0.1574,19.84
G5,image_only,-15,"[+0,+30)",432,0.1273,19.07
G5,image_only,-15,"[+30,+60)",432,0.1644,18.69
G5,image_only,-15,"[+60,+90)",432,0.2454,21.39
G5,image_only,15,"[-90,-60)",432,0.0972,15.57
G5,image_only,15,"[-60,-30)",432,0.3102,26.26
G5,image_only,15,"[-30,+0)",432,0.2639,23.79
G5,image_only,15,"[+0,+30)",432,0.162,17.01
G5,image_only,15,"[+30,+60)",432,0.088,14.6
G5,image_only,15,"[+60,+90)",432,0.0556,12.34
G5,image_only,30,"[-90,-60)",432,0.4074,32.17
G5,image_only,30,"[-60,-30)",432,0.6227,46.18
G5,image_only,30,"[-30,+0)",432,0.537,46.87
G5,image_only,30,"[+0,+30)",432,0.2917,28.44
G5,image_only,30,"[+30,+60)",432,0.2523,25.47
G5,image_only,30,"[+60,+90)",432,0.2662,24.68
G1,ocs_only,-30,"[-90,-60)",432,0.6991,74.92
G1,ocs_only,-30,"[-60,-30)",432,0.6921,64.18
G1,ocs_only,-30,"[-30,+0)",432,0.6644,62.95
G1,ocs_only,-30,"[+0,+30)",432,0.7731,76.68
G1,ocs_only,-30,"[+30,+60)",432,0.7963,71.15
G1,ocs_only,-30,"[+60,+90)",432,0.8657,87.19
G1,ocs_only,-15,"[-90,-60)",432,0.6389,75.77
G1,ocs_only,-15,"[-60,-30)",432,0.6829,70.16
G1,ocs_only,-15,"[-30,+0)",432,0.7569,74.43
G1,ocs_only,-15,"[+0,+30)",432,0.7569,75.8
G1,ocs_only,-15,"[+30,+60)",432,0.8264,79.0
G1,ocs_only,-15,"[+60,+90)",432,0.8519,86.79
G1,ocs_only,15,"[-90,-60)",432,0.7824,77.85
G1,ocs_only,15,"[-60,-30)",432,0.7523,76.95
G1,ocs_only,15,"[-30,+0)",432,0.7176,81.59
G1,ocs_only,15,"[+0,+30)",432,0.7662,82.81
G1,ocs_only,15,"[+30,+60)",432,0.7407,80.45
G1,ocs_only,15,"[+60,+90)",432,0.7963,88.13
G1,ocs_only,30,"[-90,-60)",432,0.831,80.57
G1,ocs_only,30,"[-60,-30)",432,0.8356,81.67
G1,ocs_only,30,"[-30,+0)",432,0.7569,81.35
G1,ocs_only,30,"[+0,+30)",432,0.8819,92.04
G1,ocs_only,30,"[+30,+60)",432,0.8472,88.8
G1,ocs_only,30,"[+60,+90)",432,0.831,85.02
G1,joint,-30,"[-90,-60)",432,0.5625,32.44
G1,joint,-30,"[-60,-30)",432,0.4051,37.51
G1,joint,-30,"[-30,+0)",432,0.3866,35.51
G1,joint,-30,"[+0,+30)",432,0.3032,23.66
G1,joint,-30,"[+30,+60)",432,0.2847,21.04
G1,joint,-30,"[+60,+90)",432,0.4537,27.94
G1,joint,-15,"[-90,-60)",432,0.0093,16.03
G1,joint,-15,"[-60,-30)",432,0.1852,18.4
G1,joint,-15,"[-30,+0)",432,0.1157,17.11
G1,joint,-15,"[+0,+30)",432,0.0069,10.36
G1,joint,-15,"[+30,+60)",432,0.0069,9.45
G1,joint,-15,"[+60,+90)",432,0.0,13.87
G1,joint,15,"[-90,-60)",432,0.0139,16.79
G1,joint,15,"[-60,-30)",432,0.1644,21.78
G1,joint,15,"[-30,+0)",432,0.2708,31.05
G1,joint,15,"[+0,+30)",432,0.1806,17.38
G1,joint,15,"[+30,+60)",432,0.037,10.0
G1,joint,15,"[+60,+90)",432,0.0069,13.77
G1,joint,30,"[-90,-60)",432,0.6667,34.0
G1,joint,30,"[-60,-30)",432,0.5833,42.97
G1,joint,30,"[-30,+0)",432,0.5949,41.85
G1,joint,30,"[+0,+30)",432,0.2176,20.74
G1,joint,30,"[+30,+60)",432,0.2106,19.72
G1,joint,30,"[+60,+90)",432,0.3611,27.76
