geom_group,mode,roll_deg,n,yaw_cmae,yaw_hit@30,yaw_coarse90,pitch_mae,cmae_drift_vs_roll0,hit30_drift_vs_roll0,source
G1,image_only,0,2664,2.219,1.0,0.9748,1.838,,,roll0 baseline full-2664 (01_fullrun)
G1,image_only,-30,2664,23.95,0.667,0.7406,33.233,21.731,-0.333,mroll -30 full-2664
G1,image_only,-15,2664,12.128,0.9745,0.8562,16.01,9.909,-0.0255,mroll -15 full-2664
G1,image_only,15,2664,15.014,0.9339,0.827,9.248,12.795,-0.0661,mroll +15 full-2664
G1,image_only,30,2664,33.179,0.5537,0.6659,16.34,30.96,-0.4463,mroll +30 full-2664
G3,image_only,0,2664,4.372,0.9992,0.9437,3.344,,,roll0 baseline full-2664 (01_fullrun)
G3,image_only,-30,2664,25.927,0.6483,0.7196,32.318,21.556,-0.351,mroll -30 full-2664
G3,image_only,-15,2664,13.832,0.9448,0.8367,16.617,9.46,-0.0544,mroll -15 full-2664
G3,image_only,15,2664,20.659,0.8544,0.7549,11.514,16.287,-0.1449,mroll +15 full-2664
G3,image_only,30,2664,37.106,0.5259,0.6456,18.38,32.735,-0.4733,mroll +30 full-2664
G5,image_only,0,2664,8.26,0.991,0.9043,7.979,,,roll0 baseline full-2664 (01_fullrun)
G5,image_only,-30,2664,28.307,0.5867,0.6986,38.419,20.047,-0.4043,mroll -30 full-2664
G5,image_only,-15,2664,19.743,0.83,0.7586,21.156,11.483,-0.161,mroll -15 full-2664
G5,image_only,15,2664,18.129,0.8405,0.7935,16.861,9.869,-0.1505,mroll +15 full-2664
G5,image_only,30,2664,33.751,0.6047,0.6791,21.544,25.491,-0.3863,mroll +30 full-2664
G1,ocs_only,0,2664,75.028,0.292,0.3848,45.989,,,roll0 baseline full-2664 (01_fullrun)
G1,ocs_only,-30,2664,73.05,0.25,0.3765,46.08,-1.979,-0.042,mroll -30 full-2664
G1,ocs_only,-15,2664,77.08,0.2462,0.3461,46.022,2.051,-0.0458,mroll -15 full-2664
G1,ocs_only,15,2664,81.318,0.2414,0.3044,46.001,6.29,-0.0507,mroll +15 full-2664
G1,ocs_only,30,2664,84.88,0.1693,0.2335,45.974,9.851,-0.1227,mroll +30 full-2664
G1,joint,0,2664,1.787,1.0,0.964,1.867,,,roll0 baseline full-2664 (01_fullrun)
G1,joint,-30,2664,29.693,0.5965,0.7035,28.258,27.906,-0.4035,mroll -30 full-2664
G1,joint,-15,2664,14.229,0.9474,0.8375,13.62,12.442,-0.0526,mroll -15 full-2664
G1,joint,15,2664,18.369,0.8908,0.7898,9.341,16.582,-0.1092,mroll +15 full-2664
G1,joint,30,2664,31.14,0.5608,0.6625,15.679,29.353,-0.4392,mroll +30 full-2664
