seed,geom,select,yaw_cmae_deg,yaw_hit@30,yaw_hit@10,pitch_mae_deg,n
42_baseline,G1,best,76.559,0.277,0.125,45.951,296
42_baseline,G1,final,78.306,0.2669,0.0845,45.271,296
42_baseline,G3,best,38.225,0.6723,0.3784,41.787,296
42_baseline,G3,final,38.56,0.6351,0.3682,42.196,296
42_baseline,G5,best,22.769,0.8108,0.4426,37.363,296
42_baseline,G5,final,22.769,0.8108,0.4426,37.363,296
7,G1,best,80.761,0.2939,0.1115,45.368,296
7,G1,final,76.824,0.3142,0.1081,45.27,296
7,G3,best,39.883,0.6385,0.3446,42.748,296
7,G3,final,40.178,0.6149,0.2905,42.321,296
7,G5,best,19.012,0.8345,0.5574,37.264,296
7,G5,final,20.375,0.8277,0.5034,38.519,296
123,G1,best,76.764,0.2736,0.098,45.6,296
123,G1,final,77.248,0.2568,0.1081,45.087,296
123,G3,best,38.196,0.6588,0.4054,42.021,296
123,G3,final,37.278,0.6385,0.3784,43.048,296
123,G5,best,20.104,0.8345,0.4865,37.658,296
123,G5,final,19.145,0.8277,0.5574,38.789,296
