degrade_level,subset,channel,n,yaw_cmae_deg,yaw_median_ae_deg,yaw_hit@30,yaw_hit@10
clean,all,ocs_only,379,45.031,25.274,0.5356,0.3351
clean,all,image_only,379,6.087,3.914,0.9947,0.8047
clean,all,joint,379,2.665,2.237,1.0,0.9947
clean,all,pdb,379,30.0,0.0,0.7704,0.7203
clean,robust-easy,ocs_only,117,6.734,6.776,1.0,0.7949
clean,robust-easy,image_only,117,7.975,5.296,0.9915,0.7265
clean,robust-easy,joint,117,3.052,2.576,1.0,0.9915
clean,robust-easy,pdb,117,1.239,0.0,1.0,0.9829
clean,ambiguous-flux,ocs_only,20,39.931,15.805,0.7,0.35
clean,ambiguous-flux,image_only,20,9.266,9.381,1.0,0.55
clean,ambiguous-flux,joint,20,2.937,2.423,1.0,1.0
clean,ambiguous-flux,pdb,20,25.75,0.0,0.85,0.85
clean,ocs-hard,ocs_only,48,83.973,80.754,0.125,0.0
clean,ocs-hard,image_only,48,6.312,5.844,1.0,0.7917
clean,ocs-hard,joint,48,3.042,2.443,1.0,1.0
clean,ocs-hard,pdb,48,56.146,0.0,0.625,0.6042
clean,image-hard,ocs_only,2,15.842,15.842,1.0,0.5
clean,image-hard,image_only,2,31.087,31.087,0.0,0.0
clean,image-hard,joint,2,0.974,0.974,1.0,1.0
clean,image-hard,pdb,2,0.0,0.0,1.0,1.0
clean,disagreement-hard,ocs_only,223,63.145,49.373,0.3004,0.13
clean,disagreement-hard,image_only,223,4.924,3.078,1.0,0.8475
clean,disagreement-hard,joint,223,2.43,2.044,1.0,0.9955
clean,disagreement-hard,pdb,223,36.906,5.0,0.6996,0.6233
degraded-mild,all,ocs_only,419,46.659,26.91,0.5227,0.3294
degraded-mild,all,image_only,257,2.796,1.895,1.0,0.965
degraded-mild,all,joint,257,1.876,1.356,1.0,0.9883
degraded-mild,all,pdb,419,36.134,0.0,0.7375,0.6874
degraded-mild,robust-easy,ocs_only,122,6.761,6.47,1.0,0.7623
degraded-mild,robust-easy,image_only,79,3.677,1.924,1.0,0.9114
degraded-mild,robust-easy,joint,79,2.22,1.514,1.0,0.9747
degraded-mild,robust-easy,pdb,122,1.27,0.0,1.0,0.9836
degraded-mild,ambiguous-flux,ocs_only,64,67.543,43.593,0.4219,0.2344
degraded-mild,ambiguous-flux,image_only,26,2.8,2.404,1.0,1.0
degraded-mild,ambiguous-flux,joint,26,1.418,1.227,1.0,1.0
degraded-mild,ambiguous-flux,pdb,64,58.359,5.0,0.6562,0.6406
degraded-mild,ocs-hard,ocs_only,46,90.307,81.687,0.0217,0.0
degraded-mild,ocs-hard,image_only,29,3.113,2.84,1.0,1.0
degraded-mild,ocs-hard,joint,29,1.768,1.113,1.0,1.0
degraded-mild,ocs-hard,pdb,46,44.239,0.0,0.6957,0.6957
degraded-mild,disagreement-hard,ocs_only,254,61.066,42.574,0.3228,0.1535
degraded-mild,disagreement-hard,image_only,161,2.398,1.87,1.0,0.9876
degraded-mild,disagreement-hard,joint,161,1.712,1.282,1.0,0.9938
degraded-mild,disagreement-hard,pdb,254,41.594,5.0,0.6772,0.6024
degraded-moderate,all,ocs_only,433,46.904,26.521,0.5335,0.3072
degraded-moderate,all,image_only,268,3.183,2.27,1.0,0.9478
degraded-moderate,all,joint,268,1.995,1.625,1.0,1.0
degraded-moderate,all,pdb,433,43.891,5.0,0.6836,0.6351
degraded-moderate,robust-easy,ocs_only,112,6.464,5.592,1.0,0.75
degraded-moderate,robust-easy,image_only,63,3.871,2.178,1.0,0.8571
degraded-moderate,robust-easy,joint,63,2.284,1.993,1.0,1.0
degraded-moderate,robust-easy,pdb,112,1.652,0.0,1.0,1.0
degraded-moderate,ambiguous-flux,ocs_only,64,63.914,42.424,0.375,0.1406
degraded-moderate,ambiguous-flux,image_only,34,2.277,1.707,1.0,1.0
degraded-moderate,ambiguous-flux,joint,34,1.865,1.526,1.0,1.0
degraded-moderate,ambiguous-flux,pdb,64,66.562,5.0,0.6094,0.5938
degraded-moderate,ocs-hard,ocs_only,27,114.195,101.395,0.0,0.0
degraded-moderate,ocs-hard,image_only,16,2.144,1.074,1.0,1.0
degraded-moderate,ocs-hard,joint,16,1.854,1.282,1.0,1.0
degraded-moderate,ocs-hard,pdb,27,89.074,90.0,0.4074,0.4074
degraded-moderate,disagreement-hard,ocs_only,271,57.72,40.346,0.3801,0.1624
degraded-moderate,disagreement-hard,image_only,180,3.068,2.557,1.0,0.9722
degraded-moderate,disagreement-hard,joint,180,1.946,1.506,1.0,1.0
degraded-moderate,disagreement-hard,pdb,271,49.779,10.0,0.6199,0.5424
