record_id,yaw,pitch,ocs_total_phase63,n_pix_contrib,ocs_g1_err,ocs_g5_err,gain_g1_to_g5,hardcase_labels,neural_entropy,neural_margin,pdb_nearest_distance,pdb_cand_yaw_spread,roll_err_mean15,roll_err_mean30,roll_sensitivity_30_minus_15,local_contrast,glint_flag
yaw000_pitch-090,0.0,-90.0,0.01586562030984201,2129,,,,,,,,,123.258,114.928,-8.329999999999998,0.0013806666475514595,0
yaw000_pitch-085,0.0,-85.0,0.015669943743591708,2193,,,,,,,,,144.87349999999998,89.187,-55.68649999999998,0.0012467129247493297,0
yaw000_pitch-080,0.0,-80.0,0.01529320550399324,2232,,,,,,,,,164.26999999999998,97.56649999999999,-66.70349999999999,0.001204536874344856,0
yaw000_pitch-075,0.0,-75.0,0.014813040107418407,2266,,,,,,,,,163.0155,115.095,-47.920500000000004,0.0011724805772952117,0
yaw000_pitch-070,0.0,-70.0,0.014177912369690848,2273,,,,,,,,,142.4855,156.02249999999998,13.536999999999978,0.0012557742255519914,0
yaw000_pitch-065,0.0,-65.0,0.013586215093740195,2248,,,,,,,,,129.9035,159.41649999999998,29.512999999999977,0.00132629099216389,0
yaw000_pitch-060,0.0,-60.0,0.013321548803968408,2263,,,,,,,,,115.589,143.94650000000001,28.357500000000016,0.001215715996660989,0
yaw000_pitch-055,0.0,-55.0,0.01313162850897151,2264,,,,,,,,,104.532,130.578,26.046000000000006,0.001288424508456669,0
yaw000_pitch-050,0.0,-50.0,0.013002319514234667,2235,,,,,,,,,91.63749999999999,115.70599999999999,24.0685,0.0013268072359772128,0
yaw000_pitch-045,0.0,-45.0,0.012898927791744896,2191,,,,,,,,,93.65950000000001,116.4805,22.820999999999998,0.001430605233183977,0
yaw000_pitch-040,0.0,-40.0,0.013266104829356973,2190,,,,,,,,,88.86500000000001,108.9195,20.05449999999999,0.0012457913226281495,0
yaw000_pitch-035,0.0,-35.0,0.013397971216522891,2132,49.775,9.056,40.719,,4.917271,0.000757,1e-06,0.0,92.15100000000001,114.2205,22.06949999999999,0.0014411524914007857,0
yaw000_pitch-030,0.0,-30.0,0.014151191101161725,2112,,,,,,,,,94.533,108.365,13.831999999999994,0.0014140923042261708,0
yaw000_pitch-025,0.0,-25.0,0.01490648207044809,2015,,,,,,,,,92.03200000000001,92.0955,0.06349999999999056,0.0013742146079349753,0
