seed_record_id,category,yaw,pitch,roll,geom,label,render_needed,roll0_reuse_source
yaw145_pitch+015,bright-seed,145,15,-60,phase63(L1-G1),yaw145_pitch+015_roll-060,YES,"01_fullrun (roll+000, 不重渲)"
yaw145_pitch+015,bright-seed,145,15,-45,phase63(L1-G1),yaw145_pitch+015_roll-045,YES,"01_fullrun (roll+000, 不重渲)"
yaw145_pitch+015,bright-seed,145,15,-30,phase63(L1-G1),yaw145_pitch+015_roll-030,YES,"01_fullrun (roll+000, 不重渲)"
yaw145_pitch+015,bright-seed,145,15,-15,phase63(L1-G1),yaw145_pitch+015_roll-015,YES,"01_fullrun (roll+000, 不重渲)"
yaw145_pitch+015,bright-seed,145,15,15,phase63(L1-G1),yaw145_pitch+015_roll+015,YES,"01_fullrun (roll+000, 不重渲)"
yaw145_pitch+015,bright-seed,145,15,30,phase63(L1-G1),yaw145_pitch+015_roll+030,YES,"01_fullrun (roll+000, 不重渲)"
yaw145_pitch+015,bright-seed,145,15,45,phase63(L1-G1),yaw145_pitch+015_roll+045,YES,"01_fullrun (roll+000, 不重渲)"
yaw145_pitch+015,bright-seed,145,15,60,phase63(L1-G1),yaw145_pitch+015_roll+060,YES,"01_fullrun (roll+000, 不重渲)"
yaw150_pitch+015,bright-seed,150,15,-60,phase63(L1-G1),yaw150_pitch+015_roll-060,YES,"01_fullrun (roll+000, 不重渲)"
yaw150_pitch+015,bright-seed,150,15,-45,phase63(L1-G1),yaw150_pitch+015_roll-045,YES,"01_fullrun (roll+000, 不重渲)"
yaw150_pitch+015,bright-seed,150,15,-30,phase63(L1-G1),yaw150_pitch+015_roll-030,YES,"01_fullrun (roll+000, 不重渲)"
yaw150_pitch+015,bright-seed,150,15,-15,phase63(L1-G1),yaw150_pitch+015_roll-015,YES,"01_fullrun (roll+000, 不重渲)"
yaw150_pitch+015,bright-seed,150,15,15,phase63(L1-G1),yaw150_pitch+015_roll+015,YES,"01_fullrun (roll+000, 不重渲)"
yaw150_pitch+015,bright-seed,150,15,30,phase63(L1-G1),yaw150_pitch+015_roll+030,YES,"01_fullrun (roll+000, 不重渲)"
yaw150_pitch+015,bright-seed,150,15,45,phase63(L1-G1),yaw150_pitch+015_roll+045,YES,"01_fullrun (roll+000, 不重渲)"
yaw150_pitch+015,bright-seed,150,15,60,phase63(L1-G1),yaw150_pitch+015_roll+060,YES,"01_fullrun (roll+000, 不重渲)"
yaw240_pitch+030,high-info-seed,240,30,-60,phase63(L1-G1),yaw240_pitch+030_roll-060,YES,"01_fullrun (roll+000, 不重渲)"
yaw240_pitch+030,high-info-seed,240,30,-45,phase63(L1-G1),yaw240_pitch+030_roll-045,YES,"01_fullrun (roll+000, 不重渲)"
yaw240_pitch+030,high-info-seed,240,30,-30,phase63(L1-G1),yaw240_pitch+030_roll-030,YES,"01_fullrun (roll+000, 不重渲)"
yaw240_pitch+030,high-info-seed,240,30,-15,phase63(L1-G1),yaw240_pitch+030_roll-015,YES,"01_fullrun (roll+000, 不重渲)"
yaw240_pitch+030,high-info-seed,240,30,15,phase63(L1-G1),yaw240_pitch+030_roll+015,YES,"01_fullrun (roll+000, 不重渲)"
yaw240_pitch+030,high-info-seed,240,30,30,phase63(L1-G1),yaw240_pitch+030_roll+030,YES,"01_fullrun (roll+000, 不重渲)"
yaw240_pitch+030,high-info-seed,240,30,45,phase63(L1-G1),yaw240_pitch+030_roll+045,YES,"01_fullrun (roll+000, 不重渲)"
yaw240_pitch+030,high-info-seed,240,30,60,phase63(L1-G1),yaw240_pitch+030_roll+060,YES,"01_fullrun (roll+000, 不重渲)"
yaw240_pitch+020,high-info-seed,240,20,-60,phase63(L1-G1),yaw240_pitch+020_roll-060,YES,"01_fullrun (roll+000, 不重渲)"
yaw240_pitch+020,high-info-seed,240,20,-45,phase63(L1-G1),yaw240_pitch+020_roll-045,YES,"01_fullrun (roll+000, 不重渲)"
yaw240_pitch+020,high-info-seed,240,20,-30,phase63(L1-G1),yaw240_pitch+020_roll-030,YES,"01_fullrun (roll+000, 不重渲)"
