seed_record_id,category,roll,ocs_total,delta_ocs_vs_roll0,rel_delta_pct,brightness_rank,rank_shift_vs_roll0,local_contrast,image_usable,glint_flag,saturation_flag
yaw145_pitch+015,bright-seed,-60,1.752007e-01,-2.679948e-03,-1.507,2,1,0.417477,1,0,0
yaw145_pitch+015,bright-seed,-45,1.785108e-01,6.301213e-04,0.354,2,1,0.469122,1,0,0
yaw145_pitch+015,bright-seed,-30,1.788643e-01,9.836216e-04,0.553,2,1,0.452554,1,0,0
yaw145_pitch+015,bright-seed,-15,1.788036e-01,9.229590e-04,0.519,2,1,0.515672,1,0,0
yaw145_pitch+015,bright-seed,0,1.778806e-01,0.000000e+00,0.000,1,0,0.451667,1,0,1
yaw145_pitch+015,bright-seed,15,1.752967e-01,-2.583910e-03,-1.453,2,1,0.437796,1,0,0
yaw145_pitch+015,bright-seed,30,1.730988e-01,-4.781846e-03,-2.688,1,0,0.426117,1,0,0
yaw145_pitch+015,bright-seed,45,1.701801e-01,-7.700537e-03,-4.329,2,1,0.422061,1,0,0
yaw145_pitch+015,bright-seed,60,1.697410e-01,-8.139614e-03,-4.576,1,0,0.400804,1,0,0
yaw150_pitch+015,bright-seed,-60,1.785177e-01,1.105103e-03,0.623,1,-1,0.442363,1,0,0
yaw150_pitch+015,bright-seed,-45,1.795084e-01,2.095866e-03,1.181,1,-1,0.466811,1,0,0
yaw150_pitch+015,bright-seed,-30,1.802111e-01,2.798486e-03,1.577,1,-1,0.475222,1,0,0
yaw150_pitch+015,bright-seed,-15,1.819999e-01,4.587326e-03,2.586,1,-1,0.475968,1,0,0
yaw150_pitch+015,bright-seed,0,1.774126e-01,0.000000e+00,0.000,2,0,0.470036,1,0,0
yaw150_pitch+015,bright-seed,15,1.751459e-01,-2.266657e-03,-1.278,3,1,0.456465,1,0,0
yaw150_pitch+015,bright-seed,30,1.720594e-01,-5.353179e-03,-3.017,2,0,0.432354,1,0,0
yaw150_pitch+015,bright-seed,45,1.706442e-01,-6.768328e-03,-3.815,1,-1,0.414911,1,0,0
yaw150_pitch+015,bright-seed,60,1.697025e-01,-7.710111e-03,-4.346,2,0,0.410170,1,0,1
yaw240_pitch+030,high-info-seed,-60,2.396684e-02,-2.778907e-02,-53.693,6,-1,0.510705,1,0,0
yaw240_pitch+030,high-info-seed,-45,2.176242e-02,-2.999350e-02,-57.952,7,0,0.539585,1,0,0
yaw240_pitch+030,high-info-seed,-30,2.342136e-02,-2.833455e-02,-54.747,5,-2,0.419795,1,0,0
yaw240_pitch+030,high-info-seed,-15,2.717808e-02,-2.457783e-02,-47.488,7,0,0.782005,1,1,0
yaw240_pitch+030,high-info-seed,0,5.175591e-02,0.000000e+00,0.000,7,0,0.829698,1,1,0
yaw240_pitch+030,high-info-seed,15,1.596705e-01,1.079146e-01,208.507,5,-2,0.788026,1,0,0
yaw240_pitch+030,high-info-seed,30,3.265351e-02,-1.910240e-02,-36.909,5,-2,0.896615,1,1,0
yaw240_pitch+030,high-info-seed,45,2.399561e-02,-2.776030e-02,-53.637,7,0,0.599057,1,1,0
yaw240_pitch+030,high-info-seed,60,2.101355e-02,-3.074236e-02,-59.399,8,1,0.523963,1,0,0
yaw240_pitch+020,high-info-seed,-60,2.657135e-02,-2.612914e-02,-49.580,4,-2,0.635199,1,1,0
yaw240_pitch+020,high-info-seed,-45,2.266361e-02,-3.003688e-02,-56.995,6,0,0.671764,1,1,0
yaw240_pitch+020,high-info-seed,-30,2.470477e-02,-2.799572e-02,-53.122,4,-2,0.628618,1,1,0
yaw240_pitch+020,high-info-seed,-15,2.736330e-02,-2.533719e-02,-48.078,6,0,0.672126,1,1,0
yaw240_pitch+020,high-info-seed,0,5.270049e-02,0.000000e+00,0.000,6,0,0.769201,1,1,0
yaw240_pitch+020,high-info-seed,15,1.911182e-01,1.384177e-01,262.650,1,-5,0.806645,1,0,0
yaw240_pitch+020,high-info-seed,30,3.462515e-02,-1.807534e-02,-34.298,4,-2,1.002811,1,1,0
yaw240_pitch+020,high-info-seed,45,2.427558e-02,-2.842491e-02,-53.937,6,0,0.663982,1,1,0
yaw240_pitch+020,high-info-seed,60,2.172562e-02,-3.097488e-02,-58.775,6,0,0.654509,1,1,0
yaw285_pitch-085,roll-sensitive-seed,-60,2.535335e-02,1.396209e-02,122.569,5,-6,0.395880,1,0,0
yaw285_pitch-085,roll-sensitive-seed,-45,3.154575e-02,2.015450e-02,176.930,4,-7,0.660597,1,1,0
yaw285_pitch-085,roll-sensitive-seed,-30,2.175240e-02,1.036115e-02,90.957,8,-3,0.568234,1,0,0
yaw285_pitch-085,roll-sensitive-seed,-15,1.364651e-02,2.255260e-03,19.798,12,1,0.869221,1,1,0
yaw285_pitch-085,roll-sensitive-seed,0,1.139125e-02,0.000000e+00,0.000,11,0,1.634986,1,1,0
yaw285_pitch-085,roll-sensitive-seed,15,1.498723e-02,3.595973e-03,31.568,11,0,0.585666,1,1,0
yaw285_pitch-085,roll-sensitive-seed,30,2.567254e-02,1.428129e-02,125.371,8,-3,0.270609,1,0,0
yaw285_pitch-085,roll-sensitive-seed,45,3.591157e-02,2.452032e-02,215.256,4,-7,0.464059,1,0,0
yaw285_pitch-085,roll-sensitive-seed,60,2.596260e-02,1.457135e-02,127.917,4,-7,0.688744,1,1,0
yaw150_pitch+085,roll-sensitive-seed,-60,2.012571e-02,-9.958593e-03,-33.102,8,-1,1.101684,1,1,0
yaw150_pitch+085,roll-sensitive-seed,-45,1.585888e-02,-1.422543e-02,-47.285,12,3,0.839324,1,1,0
yaw150_pitch+085,roll-sensitive-seed,-30,1.494723e-02,-1.513707e-02,-50.316,12,3,0.404687,1,0,0
yaw150_pitch+085,roll-sensitive-seed,-15,2.176369e-02,-8.320613e-03,-27.658,10,1,0.335119,1,0,0
yaw150_pitch+085,roll-sensitive-seed,0,3.008430e-02,0.000000e+00,0.000,9,0,0.313425,1,0,0
yaw150_pitch+085,roll-sensitive-seed,15,2.336529e-02,-6.719015e-03,-22.334,9,0,0.229964,1,0,0
yaw150_pitch+085,roll-sensitive-seed,30,1.465258e-02,-1.543172e-02,-51.295,12,3,0.645338,1,1,0
yaw150_pitch+085,roll-sensitive-seed,45,1.679565e-02,-1.328866e-02,-44.171,12,3,1.331556,1,1,0
yaw150_pitch+085,roll-sensitive-seed,60,2.070131e-02,-9.382995e-03,-31.189,9,0,0.454187,1,0,0
yaw065_pitch+070,low-info-seed,-60,1.567676e-02,-3.703694e-02,-70.261,12,7,0.540865,1,0,0
yaw065_pitch+070,low-info-seed,-45,1.619356e-02,-3.652015e-02,-69.280,10,5,1.207434,1,1,0
yaw065_pitch+070,low-info-seed,-30,2.020393e-02,-3.250977e-02,-61.672,10,5,1.295167,1,1,0
yaw065_pitch+070,low-info-seed,-15,2.887275e-02,-2.384095e-02,-45.227,4,-1,0.485636,1,0,0
yaw065_pitch+070,low-info-seed,0,5.271370e-02,0.000000e+00,0.000,5,0,0.582001,1,0,0
