seed_record_id,category,yaw,pitch,ocs_roll0,ocs_mean_allroll,ocs_span_rel,ocs_std_rel,roll_sensitivity_score,max_abs_rank_shift,contrast_roll0,contrast_span_rel,any_glint,any_saturation,image_usable_all
yaw145_pitch+015,bright-seed,145,15,1.778806e-01,1.752863e-01,0.0520,0.0194,0.0520,1,0.451667,0.2589,0,1,1
yaw150_pitch+015,bright-seed,150,15,1.774126e-01,1.761335e-01,0.0698,0.0238,0.0698,1,0.470036,0.1464,0,1,1
yaw240_pitch+030,high-info-seed,240,30,5.175591e-02,4.282420e-02,3.2378,0.9872,3.2378,2,0.829698,0.7287,1,0,1
yaw240_pitch+020,high-info-seed,240,20,5.270049e-02,4.730535e-02,3.5808,1.0917,3.5808,5,0.769201,0.5177,1,0,1
yaw285_pitch-085,roll-sensitive-seed,285,-85,1.139125e-02,2.291369e-02,1.0701,0.3409,1.0701,7,1.634986,2.0006,1,0,1
yaw150_pitch+085,roll-sensitive-seed,150,85,3.008430e-02,1.981052e-02,0.7790,0.2367,0.7790,3,0.313425,1.7531,1,0,1
yaw065_pitch+070,low-info-seed,65,70,5.271370e-02,2.521254e-02,1.5706,0.4627,1.5706,7,0.582001,1.3931,1,0,1
yaw065_pitch+075,ocs-hard-seed,65,75,5.287804e-02,2.553655e-02,1.5386,0.4644,1.5386,7,0.545443,1.4511,1,0,1
yaw250_pitch-010,disagreement-seed,250,-10,3.043819e-02,2.385786e-02,0.8294,0.2536,0.8294,3,0.488843,0.7578,1,0,1
yaw165_pitch-020,image-hard-seed,165,-20,2.085778e-02,2.033193e-02,0.2945,0.0988,0.2945,4,0.602180,0.8922,1,0,1
yaw285_pitch-070,dark-seed,285,-70,1.062832e-02,1.928186e-02,0.7732,0.2563,0.7732,7,1.062794,0.8871,1,0,1
yaw150_pitch+010,robust-easy-seed,150,10,1.749517e-01,1.717528e-01,0.0657,0.0231,0.0657,1,0.484533,0.4376,0,1,1
