seed_record_id,category,yaw,pitch,roll,source,ocs_total,n_pixels_camera_visible,n_pixels_contributing,local_contrast,mean_lit,image_usable,glint_flag,saturation_flag
yaw145_pitch+015,bright-seed,145,15,-60,19_pack,1.752007e-01,5586,2697,0.417477,4.056176e-01,1,0,0
yaw145_pitch+015,bright-seed,145,15,-45,19_pack,1.785108e-01,5677,2871,0.469122,3.882336e-01,1,0,0
yaw145_pitch+015,bright-seed,145,15,-30,19_pack,1.788643e-01,5611,2839,0.452554,3.933871e-01,1,0,0
yaw145_pitch+015,bright-seed,145,15,-15,19_pack,1.788036e-01,5360,2988,0.515672,3.736436e-01,1,0,0
yaw145_pitch+015,bright-seed,145,15,0,01_fullrun,1.778806e-01,5531,2827,0.451667,3.928844e-01,1,0,1
yaw145_pitch+015,bright-seed,145,15,15,19_pack,1.752967e-01,5498,2757,0.437796,3.970077e-01,1,0,0
yaw145_pitch+015,bright-seed,145,15,30,19_pack,1.730988e-01,5334,2697,0.426117,4.007513e-01,1,0,0
yaw145_pitch+015,bright-seed,145,15,45,19_pack,1.701801e-01,5055,2639,0.422061,4.026533e-01,1,0,0
yaw145_pitch+015,bright-seed,145,15,60,19_pack,1.697410e-01,4666,2586,0.400804,4.098456e-01,1,0,0
yaw150_pitch+015,bright-seed,150,15,-60,19_pack,1.785177e-01,5738,2645,0.442363,4.214223e-01,1,0,0
yaw150_pitch+015,bright-seed,150,15,-45,19_pack,1.795084e-01,5870,2718,0.466811,4.123797e-01,1,0,0
yaw150_pitch+015,bright-seed,150,15,-30,19_pack,1.802111e-01,5808,2748,0.475222,4.094743e-01,1,0,0
yaw150_pitch+015,bright-seed,150,15,-15,19_pack,1.819999e-01,5564,2778,0.475968,4.090730e-01,1,0,0
yaw150_pitch+015,bright-seed,150,15,0,01_fullrun,1.774126e-01,5702,2694,0.470036,4.111959e-01,1,0,0
yaw150_pitch+015,bright-seed,150,15,15,19_pack,1.751459e-01,5715,2627,0.456465,4.162956e-01,1,0,0
yaw150_pitch+015,bright-seed,150,15,30,19_pack,1.720594e-01,5542,2528,0.432354,4.249748e-01,1,0,0
yaw150_pitch+015,bright-seed,150,15,45,19_pack,1.706442e-01,5256,2473,0.414911,4.308533e-01,1,0,0
yaw150_pitch+015,bright-seed,150,15,60,19_pack,1.697025e-01,4857,2449,0.410170,4.326745e-01,1,0,1
yaw240_pitch+030,high-info-seed,240,30,-60,19_pack,2.396684e-02,4436,3118,0.510705,4.799507e-02,1,0,0
yaw240_pitch+030,high-info-seed,240,30,-45,19_pack,2.176242e-02,5310,4041,0.539585,3.362639e-02,1,0,0
yaw240_pitch+030,high-info-seed,240,30,-30,19_pack,2.342136e-02,6000,4719,0.419795,3.099018e-02,1,0,0
yaw240_pitch+030,high-info-seed,240,30,-15,19_pack,2.717808e-02,6378,5127,0.782005,3.309920e-02,1,1,0
yaw240_pitch+030,high-info-seed,240,30,0,01_fullrun,5.175591e-02,6369,5111,0.829698,6.322895e-02,1,1,0
yaw240_pitch+030,high-info-seed,240,30,15,19_pack,1.596705e-01,6111,4346,0.788026,2.294018e-01,1,0,0
yaw240_pitch+030,high-info-seed,240,30,30,19_pack,3.265351e-02,6022,4691,0.896615,4.346367e-02,1,1,0
yaw240_pitch+030,high-info-seed,240,30,45,19_pack,2.399561e-02,6217,4961,0.599057,3.020122e-02,1,1,0
yaw240_pitch+030,high-info-seed,240,30,60,19_pack,2.101355e-02,6108,4912,0.523963,2.671179e-02,1,0,0
yaw240_pitch+020,high-info-seed,240,20,-60,19_pack,2.657135e-02,4762,3302,0.635199,5.024566e-02,1,1,0
yaw240_pitch+020,high-info-seed,240,20,-45,19_pack,2.266361e-02,5564,4101,0.671764,3.450654e-02,1,1,0
yaw240_pitch+020,high-info-seed,240,20,-30,19_pack,2.470477e-02,6152,4726,0.628618,3.263992e-02,1,1,0
yaw240_pitch+020,high-info-seed,240,20,-15,19_pack,2.736330e-02,6417,4997,0.672126,3.419174e-02,1,1,0
yaw240_pitch+020,high-info-seed,240,20,0,01_fullrun,5.270049e-02,6306,4859,0.769201,6.772199e-02,1,1,0
yaw240_pitch+020,high-info-seed,240,20,15,19_pack,1.911182e-01,5961,4254,0.806645,2.805218e-01,1,0,0
yaw240_pitch+020,high-info-seed,240,20,30,19_pack,3.462515e-02,6129,4694,1.002811,4.605858e-02,1,1,0
yaw240_pitch+020,high-info-seed,240,20,45,19_pack,2.427558e-02,6206,4822,0.663982,3.143434e-02,1,1,0
yaw240_pitch+020,high-info-seed,240,20,60,19_pack,2.172562e-02,6007,4699,0.654509,2.886879e-02,1,1,0
yaw285_pitch-085,roll-sensitive-seed,285,-85,-60,19_pack,2.535335e-02,5976,4684,0.395880,3.379717e-02,1,0,0
yaw285_pitch-085,roll-sensitive-seed,285,-85,-45,19_pack,3.154575e-02,5967,3984,0.660597,4.944058e-02,1,1,0
yaw285_pitch-085,roll-sensitive-seed,285,-85,-30,19_pack,2.175240e-02,5671,3101,0.568234,4.379932e-02,1,0,0
yaw285_pitch-085,roll-sensitive-seed,285,-85,-15,19_pack,1.364651e-02,5003,2034,0.869221,4.189215e-02,1,1,0
yaw285_pitch-085,roll-sensitive-seed,285,-85,0,01_fullrun,1.139125e-02,4177,4049,1.634986,1.756652e-02,1,1,0
yaw285_pitch-085,roll-sensitive-seed,285,-85,15,19_pack,1.498723e-02,4070,3735,0.585666,2.505490e-02,1,1,0
yaw285_pitch-085,roll-sensitive-seed,285,-85,30,19_pack,2.567254e-02,4989,3562,0.270609,4.500252e-02,1,0,0
yaw285_pitch-085,roll-sensitive-seed,285,-85,45,19_pack,3.591157e-02,5695,3264,0.464059,6.869833e-02,1,0,0
yaw285_pitch-085,roll-sensitive-seed,285,-85,60,19_pack,2.596260e-02,6116,2822,0.688744,5.744511e-02,1,1,0
yaw150_pitch+085,roll-sensitive-seed,150,85,-60,19_pack,2.012571e-02,5639,5060,1.101684,2.483491e-02,1,1,0
yaw150_pitch+085,roll-sensitive-seed,150,85,-45,19_pack,1.585888e-02,5782,5553,0.839324,1.783228e-02,1,1,0
yaw150_pitch+085,roll-sensitive-seed,150,85,-30,19_pack,1.494723e-02,5940,2291,0.404687,4.073780e-02,1,0,0
yaw150_pitch+085,roll-sensitive-seed,150,85,-15,19_pack,2.176369e-02,5733,2801,0.335119,4.851560e-02,1,0,0
yaw150_pitch+085,roll-sensitive-seed,150,85,0,01_fullrun,3.008430e-02,5209,3202,0.313425,5.866520e-02,1,0,0
yaw150_pitch+085,roll-sensitive-seed,150,85,15,19_pack,2.336529e-02,4443,3408,0.229964,4.280885e-02,1,0,0
yaw150_pitch+085,roll-sensitive-seed,150,85,30,19_pack,1.465258e-02,3678,3491,0.645338,2.620755e-02,1,1,0
yaw150_pitch+085,roll-sensitive-seed,150,85,45,19_pack,1.679565e-02,4433,4319,1.331556,2.428150e-02,1,1,0
yaw150_pitch+085,roll-sensitive-seed,150,85,60,19_pack,2.070131e-02,5366,2402,0.454187,5.381295e-02,1,0,0
yaw065_pitch+070,low-info-seed,65,70,-60,19_pack,1.567676e-02,3998,3740,0.540865,2.617259e-02,1,0,0
yaw065_pitch+070,low-info-seed,65,70,-45,19_pack,1.619356e-02,4501,4413,1.207434,2.291238e-02,1,1,0
yaw065_pitch+070,low-info-seed,65,70,-30,19_pack,2.020393e-02,5423,5343,1.295167,2.361091e-02,1,1,0
yaw065_pitch+070,low-info-seed,65,70,-15,19_pack,2.887275e-02,6045,3556,0.485636,5.069772e-02,1,0,0
yaw065_pitch+070,low-info-seed,65,70,0,01_fullrun,5.271370e-02,6360,4394,0.582001,7.490751e-02,1,0,0
yaw065_pitch+070,low-info-seed,65,70,15,19_pack,3.427288e-02,6268,4924,0.452081,4.346048e-02,1,0,0
yaw065_pitch+070,low-info-seed,65,70,30,19_pack,2.600912e-02,5914,5324,0.868595,3.050350e-02,1,1,0
yaw065_pitch+070,low-info-seed,65,70,45,19_pack,1.985491e-02,5978,5720,1.255819,2.167373e-02,1,1,0
yaw065_pitch+070,low-info-seed,65,70,60,19_pack,1.311526e-02,6163,5626,1.759636,1.455590e-02,1,1,0
yaw065_pitch+075,ocs-hard-seed,65,75,-60,19_pack,1.611019e-02,3943,3648,0.424983,2.757451e-02,1,0,0
yaw065_pitch+075,ocs-hard-seed,65,75,-45,19_pack,1.610878e-02,4369,4265,1.230776,2.358336e-02,1,1,0
yaw065_pitch+075,ocs-hard-seed,65,75,-30,19_pack,1.989564e-02,5314,5233,1.291026,2.373937e-02,1,1,0
yaw065_pitch+075,ocs-hard-seed,65,75,-15,19_pack,2.856570e-02,5997,3421,0.436060,5.213792e-02,1,0,0
yaw065_pitch+075,ocs-hard-seed,65,75,0,01_fullrun,5.287804e-02,6319,4273,0.545443,7.726884e-02,1,0,0
yaw065_pitch+075,ocs-hard-seed,65,75,15,19_pack,3.673418e-02,6253,4840,0.431891,4.739003e-02,1,0,0
yaw065_pitch+075,ocs-hard-seed,65,75,30,19_pack,2.597766e-02,5896,5208,0.632696,3.114519e-02,1,1,0
yaw065_pitch+075,ocs-hard-seed,65,75,45,19_pack,1.997233e-02,5915,5630,1.113973,2.215044e-02,1,1,0
yaw065_pitch+075,ocs-hard-seed,65,75,60,19_pack,1.358642e-02,6121,5626,1.680609,1.507881e-02,1,1,0
yaw250_pitch-010,disagreement-seed,250,-10,-60,19_pack,1.903336e-02,5637,3499,0.789101,3.396515e-02,1,0,0
yaw250_pitch-010,disagreement-seed,250,-10,-45,19_pack,2.065179e-02,6011,4022,0.674196,3.206104e-02,1,0,0
yaw250_pitch-010,disagreement-seed,250,-10,-30,19_pack,2.184720e-02,6127,4118,0.500158,3.312618e-02,1,0,0
yaw250_pitch-010,disagreement-seed,250,-10,-15,19_pack,2.414576e-02,6021,3980,0.346817,3.788085e-02,1,0,0
yaw250_pitch-010,disagreement-seed,250,-10,0,01_fullrun,3.043819e-02,5758,3479,0.488843,5.462939e-02,1,0,0
yaw250_pitch-010,disagreement-seed,250,-10,15,19_pack,3.789087e-02,5994,3126,0.683636,7.568461e-02,1,0,0
