region,category,yaw,pitch,ocs_mean,ocs_roll0,brightness_rank,info_rank,neighbor_contrast_mean,roll_sensitivity_score,max_rank_shift,pixel_contrast_mean,any_glint,any_saturation,image_usable_all
R4_bright_robust,bright/robust-easy,150,15,1.761335e-01,1.774126e-01,1,60,0.825351,0.069819,9,0.449367,0,1,1
R4_bright_robust,bright/robust-easy,145,15,1.752863e-01,1.778806e-01,2,61,0.823734,0.052048,9,0.443697,0,1,1
R4_bright_robust,bright/robust-easy,150,10,1.717528e-01,1.749517e-01,3,52,0.869754,0.065676,9,0.472917,0,1,1
R4_bright_robust,bright/robust-easy,145,10,1.715869e-01,1.735689e-01,4,55,0.864180,0.054179,9,0.445356,0,1,1
R4_bright_robust,bright/robust-easy,155,15,1.081456e-01,1.108341e-01,5,9,1.467260,0.080930,16,0.429036,0,0,1
R4_bright_robust,bright/robust-easy,140,15,1.073193e-01,1.082000e-01,6,50,0.877787,0.041018,16,0.419564,0,1,1
R4_bright_robust,bright/robust-easy,150,20,1.068198e-01,1.081508e-01,7,8,1.478322,0.078486,17,0.457409,0,0,1
R4_bright_robust,bright/robust-easy,145,20,1.063253e-01,1.068997e-01,8,7,1.481256,0.061137,13,0.418447,0,0,1
R4_bright_robust,bright/robust-easy,155,10,1.048620e-01,1.074314e-01,9,6,1.511634,0.071933,18,0.455054,0,1,1
R4_bright_robust,bright/robust-easy,140,10,1.047278e-01,1.069917e-01,10,42,0.921294,0.056540,16,0.419353,0,1,1
R4_bright_robust,bright/robust-easy,150,5,1.011955e-01,1.029685e-01,11,43,0.911918,0.075956,16,0.462050,0,1,1
R4_bright_robust,bright/robust-easy,145,5,1.011611e-01,1.034859e-01,12,45,0.904948,0.073405,18,0.452615,0,1,1
R4_bright_robust,bright/robust-easy,155,20,7.007102e-02,7.199395e-02,13,1,2.105912,0.110177,21,0.440956,0,0,1
R4_bright_robust,bright/robust-easy,140,20,6.985451e-02,7.038142e-02,14,3,1.573981,0.047437,18,0.401127,0,1,1
R4_bright_robust,bright/robust-easy,140,5,6.594063e-02,6.769237e-02,15,39,0.970846,0.081126,15,0.459545,0,1,1
R4_bright_robust,bright/robust-easy,155,5,6.522510e-02,6.649338e-02,16,2,1.593412,0.086967,11,0.442275,0,1,1
R1_high_info,high-info,245,30,4.870246e-02,4.084094e-02,17,12,1.201218,3.838430,52,0.715923,1,1,1
R4_bright_robust,bright/robust-easy,160,15,4.829385e-02,5.048418e-02,18,32,1.058805,0.131204,25,0.391238,0,0,1
R1_high_info,high-info,245,25,4.826852e-02,4.110295e-02,19,15,1.174895,3.758283,46,0.678112,1,1,1
R1_high_info,high-info,245,35,4.805105e-02,4.067748e-02,20,13,1.196419,3.852806,52,0.709463,1,1,1
