region,category,yaw,pitch,ocs_mean,ocs_roll0,brightness_rank,info_rank,neighbor_contrast_mean,roll_sensitivity_score,max_rank_shift,pixel_contrast_mean,any_glint,any_saturation,image_usable_all
R4_bright_robust,bright/robust-easy,155,20,7.007102e-02,7.199395e-02,13,1,2.105912,0.110177,21,0.440956,0,0,1
R4_bright_robust,bright/robust-easy,155,5,6.522510e-02,6.649338e-02,16,2,1.593412,0.086967,11,0.442275,0,1,1
R4_bright_robust,bright/robust-easy,140,20,6.985451e-02,7.038142e-02,14,3,1.573981,0.047437,18,0.401127,0,1,1
R4_bright_robust,bright/robust-easy,160,20,3.695552e-02,3.863843e-02,37,4,1.561336,0.147743,38,0.436298,0,0,1
R4_bright_robust,bright/robust-easy,155,25,3.578577e-02,3.697536e-02,38,5,1.552622,0.136579,40,0.457801,0,0,1
R4_bright_robust,bright/robust-easy,155,10,1.048620e-01,1.074314e-01,9,6,1.511634,0.071933,18,0.455054,0,1,1
R4_bright_robust,bright/robust-easy,145,20,1.063253e-01,1.068997e-01,8,7,1.481256,0.061137,13,0.418447,0,0,1
R4_bright_robust,bright/robust-easy,150,20,1.068198e-01,1.081508e-01,7,8,1.478322,0.078486,17,0.457409,0,0,1
R4_bright_robust,bright/robust-easy,155,15,1.081456e-01,1.108341e-01,5,9,1.467260,0.080930,16,0.429036,0,0,1
R1_high_info,high-info,235,25,3.553962e-02,5.180625e-02,40,10,1.215286,2.183386,27,0.656524,1,0,1
R1_high_info,high-info,235,30,3.336936e-02,5.150686e-02,43,11,1.206334,1.867415,26,0.615895,1,0,1
R1_high_info,high-info,245,30,4.870246e-02,4.084094e-02,17,12,1.201218,3.838430,52,0.715923,1,1,1
R1_high_info,high-info,245,35,4.805105e-02,4.067748e-02,20,13,1.196419,3.852806,52,0.709463,1,1,1
R1_high_info,high-info,240,35,4.039367e-02,5.156162e-02,33,14,1.175990,3.013301,28,0.615623,1,0,1
R1_high_info,high-info,245,25,4.826852e-02,4.110295e-02,19,15,1.174895,3.758283,46,0.678112,1,1,1
R1_high_info,high-info,235,20,3.772471e-02,5.212304e-02,36,16,1.167067,2.492897,25,0.670130,1,0,1
R1_high_info,high-info,240,30,4.282420e-02,5.175591e-02,31,17,1.161747,3.237817,27,0.654383,1,0,1
R4_bright_robust,bright/robust-easy,160,5,3.452969e-02,3.571539e-02,42,18,1.145635,0.111642,40,0.529261,0,0,1
R1_high_info,high-info,250,25,4.136617e-02,3.198332e-02,32,19,1.127289,3.009420,52,0.594426,1,0,1
R4_bright_robust,bright/robust-easy,140,25,3.558177e-02,3.607429e-02,39,20,1.126328,0.076901,42,0.446227,0,0,1
