region,category,yaw,pitch,ocs_mean,ocs_roll0,brightness_rank,info_rank,neighbor_contrast_mean,roll_sensitivity_score,max_rank_shift,pixel_contrast_mean,any_glint,any_saturation,image_usable_all
R5_neutral,neutral-control,190,10,1.548808e-02,1.801195e-02,125,125,0.189961,0.395449,36,1.451080,1,0,1
R5_neutral,neutral-control,195,10,1.553001e-02,1.836559e-02,124,124,0.204838,0.425405,38,1.311933,1,0,1
R5_neutral,neutral-control,200,10,1.592407e-02,1.858053e-02,121,123,0.225972,0.429959,38,1.091103,1,0,1
R5_neutral,neutral-control,190,5,1.581300e-02,1.736166e-02,122,122,0.230139,0.450027,29,1.278161,1,0,1
R5_neutral,neutral-control,190,-10,1.726762e-02,1.643582e-02,108,121,0.232265,0.375962,13,0.920899,1,0,1
R5_neutral,neutral-control,195,5,1.569359e-02,1.748908e-02,123,120,0.233372,0.437175,29,1.191429,1,0,1
R5_neutral,neutral-control,190,0,1.625271e-02,1.664703e-02,118,119,0.237662,0.424139,25,1.258282,1,0,1
R5_neutral,neutral-control,200,5,1.602821e-02,1.794807e-02,119,118,0.238770,0.459166,32,1.019428,1,0,1
R5_neutral,neutral-control,195,0,1.600417e-02,1.709851e-02,120,117,0.250272,0.458952,26,1.047348,1,0,1
R5_neutral,neutral-control,195,-10,1.691999e-02,1.695514e-02,110,116,0.258399,0.407896,28,0.816909,1,0,1
R5_neutral,neutral-control,190,-5,1.685507e-02,1.660681e-02,111,115,0.259149,0.377551,12,1.009268,1,0,1
R5_neutral,neutral-control,200,0,1.627060e-02,1.786303e-02,117,114,0.261791,0.427688,29,1.007833,1,0,1
R5_neutral,neutral-control,200,-10,1.725624e-02,1.772868e-02,109,113,0.263404,0.412584,28,0.896927,1,0,1
R5_neutral,neutral-control,210,10,1.839794e-02,2.100427e-02,104,112,0.269876,0.450408,29,0.834466,1,0,1
R5_neutral,neutral-control,195,-5,1.647817e-02,1.711696e-02,116,111,0.276728,0.394207,29,1.010397,1,0,1
R5_neutral,neutral-control,200,-5,1.671721e-02,1.775737e-02,113,110,0.281191,0.445485,27,0.905938,1,0,1
R5_neutral,neutral-control,210,5,1.853253e-02,2.071600e-02,102,109,0.286615,0.482325,24,0.850988,1,0,1
R5_neutral,neutral-control,210,-10,1.962972e-02,2.108413e-02,89,108,0.300491,0.440399,20,0.888581,1,0,1
R5_neutral,neutral-control,210,0,1.881526e-02,2.076138e-02,99,107,0.311685,0.484974,22,0.812663,1,0,1
R5_neutral,neutral-control,205,10,1.655545e-02,1.891162e-02,115,106,0.315961,0.429628,37,0.934344,1,0,1
