region,category,yaw,pitch,ocs_mean,ocs_roll0,brightness_rank,info_rank,neighbor_contrast_mean,roll_sensitivity_score,max_rank_shift,pixel_contrast_mean,any_glint,any_saturation,image_usable_all,p3_reason
R3_low_info,low-info/ocs-hard,55,60,3.289301e-02,6.625763e-02,44,47,0.889419,2.154159,82,0.690096,1,0,1,brightest;roll_sensitive
R3_low_info,low-info/ocs-hard,60,65,2.738234e-02,6.779129e-02,54,35,1.034634,1.986205,106,0.829370,1,0,1,high_info
R4_bright_robust,bright/robust-easy,150,15,1.761335e-01,1.774126e-01,1,60,0.825351,0.069819,9,0.449367,0,1,1,brightest
R4_bright_robust,bright/robust-easy,155,20,7.007102e-02,7.199395e-02,13,1,2.105912,0.110177,21,0.440956,0,0,1,high_info
R4_bright_robust,bright/robust-easy,160,25,2.558725e-02,2.682769e-02,62,28,1.105230,0.177562,49,0.572553,0,0,1,roll_sensitive
R5_neutral,neutral-control,210,-10,1.962972e-02,2.108413e-02,89,108,0.300491,0.440399,20,0.888581,1,0,1,brightest
R5_neutral,neutral-control,205,-5,1.727764e-02,1.863161e-02,107,101,0.358169,0.450523,27,0.918240,1,0,1,high_info
R5_neutral,neutral-control,210,-5,1.926039e-02,2.091657e-02,95,105,0.321352,0.498121,20,0.850940,1,0,1,roll_sensitive
R1_high_info,high-info,245,30,4.870246e-02,4.084094e-02,17,12,1.201218,3.838430,52,0.715923,1,1,1,brightest
R1_high_info,high-info,235,25,3.553962e-02,5.180625e-02,40,10,1.215286,2.183386,27,0.656524,1,0,1,high_info
R1_high_info,high-info,245,35,4.805105e-02,4.067748e-02,20,13,1.196419,3.852806,52,0.709463,1,1,1,roll_sensitive
R2_dark_rollsens,dark/roll-sensitive,280,-85,2.314271e-02,1.188527e-02,75,75,0.713825,1.027388,89,0.690303,1,0,1,brightest
R2_dark_rollsens,dark/roll-sensitive,290,-80,2.045566e-02,1.132902e-02,84,65,0.787305,0.848782,84,0.816733,1,0,1,high_info
R2_dark_rollsens,dark/roll-sensitive,285,-85,2.291369e-02,1.139125e-02,76,73,0.718557,1.070117,93,0.682000,1,0,1,roll_sensitive
