region,category,yaw,pitch,roll,source,ocs_total,brightness_rank,rank_shift_vs_roll0,pixel_local_contrast,neighbor_contrast_ypr,roll_sensitivity_score,n_pixels_camera_visible,n_pixels_contributing,mean_lit,image_usable,glint_flag,saturation_flag
R3_low_info,low-info/ocs-hard,55,60,-60,20_pack,1.598010e-02,108,82,1.075251,0.395727,2.154159,4355,3633,2.746477e-02,1,1,0
R3_low_info,low-info/ocs-hard,55,60,-45,20_pack,2.048936e-02,76,50,1.178139,0.666729,2.154159,5291,4592,2.786046e-02,1,1,0
R3_low_info,low-info/ocs-hard,55,60,-30,20_pack,2.689472e-02,27,1,0.324931,1.947249,2.154159,5996,2774,6.053722e-02,1,0,0
R3_low_info,low-info/ocs-hard,55,60,-15,20_pack,8.550375e-02,13,-13,0.344331,1.235854,2.154159,6356,3587,1.488386e-01,1,0,0
R3_low_info,low-info/ocs-hard,55,60,0,01_fullrun,6.625763e-02,26,0,0.268506,1.099547,2.154159,6327,4121,1.003911e-01,1,0,0
R3_low_info,low-info/ocs-hard,55,60,15,20_pack,2.850029e-02,74,48,0.562257,1.141413,2.154159,6016,4537,3.922314e-02,1,1,0
R3_low_info,low-info/ocs-hard,55,60,30,20_pack,2.245574e-02,81,55,0.896586,0.676792,2.154159,5930,4973,2.819491e-02,1,1,0
R3_low_info,low-info/ocs-hard,55,60,45,20_pack,1.530851e-02,108,82,1.251684,0.582162,2.154159,6167,4989,1.915938e-02,1,1,0
R3_low_info,low-info/ocs-hard,55,60,60,20_pack,1.464699e-02,89,63,0.309178,0.259302,2.154159,6051,1586,5.766432e-02,1,0,0
R3_low_info,low-info/ocs-hard,55,65,-60,20_pack,1.530430e-02,115,92,1.140648,0.399750,1.817200,4221,4129,2.314358e-02,1,1,0
R3_low_info,low-info/ocs-hard,55,65,-45,20_pack,1.995866e-02,77,54,1.289701,0.672511,1.817200,5198,5133,2.427851e-02,1,1,0
R3_low_info,low-info/ocs-hard,55,65,-30,20_pack,2.637539e-02,29,6,0.544318,2.044698,1.817200,5925,3292,5.002661e-02,1,0,0
R3_low_info,low-info/ocs-hard,55,65,-15,20_pack,7.112510e-02,15,-8,0.571761,1.269831,1.817200,6318,4190,1.059914e-01,1,0,0
R3_low_info,low-info/ocs-hard,55,65,0,01_fullrun,6.669558e-02,23,0,0.487543,1.123918,1.817200,6326,4776,8.719562e-02,1,0,0
R3_low_info,low-info/ocs-hard,55,65,15,20_pack,2.880357e-02,73,50,0.726661,1.141520,1.817200,6012,5204,3.455979e-02,1,1,0
R3_low_info,low-info/ocs-hard,55,65,30,20_pack,2.241755e-02,82,59,0.960366,0.701391,1.817200,5874,5674,2.466952e-02,1,1,0
R3_low_info,low-info/ocs-hard,55,65,45,20_pack,1.516737e-02,111,88,1.403678,0.581874,1.817200,6135,5723,1.654811e-02,1,1,0
R3_low_info,low-info/ocs-hard,55,65,60,20_pack,1.451649e-02,90,67,0.729839,0.262417,1.817200,6060,2277,3.980709e-02,1,0,0
R3_low_info,low-info/ocs-hard,55,70,-60,20_pack,1.502179e-02,117,95,1.144881,0.375232,1.746005,4088,3985,2.353722e-02,1,1,0
R3_low_info,low-info/ocs-hard,55,70,-45,20_pack,1.956058e-02,78,56,1.281274,0.657666,1.746005,5089,5015,2.435414e-02,1,1,0
R3_low_info,low-info/ocs-hard,55,70,-30,20_pack,2.603617e-02,30,8,0.522779,1.752832,1.746005,5853,3149,5.162574e-02,1,0,0
R3_low_info,low-info/ocs-hard,55,70,-15,20_pack,5.949927e-02,19,-3,0.548750,1.037019,1.746005,6252,4049,9.175416e-02,1,0,0
R3_low_info,low-info/ocs-hard,55,70,0,01_fullrun,6.682134e-02,22,0,0.457997,0.868081,1.746005,6307,4683,8.909492e-02,1,0,0
R3_low_info,low-info/ocs-hard,55,70,15,20_pack,2.931572e-02,72,50,0.652150,1.153328,1.746005,6000,5139,3.561917e-02,1,1,0
R3_low_info,low-info/ocs-hard,55,70,30,20_pack,2.241718e-02,83,61,0.905723,0.730890,1.746005,5786,5594,2.502191e-02,1,1,0
R3_low_info,low-info/ocs-hard,55,70,45,20_pack,1.523288e-02,110,88,1.376538,0.580068,1.746005,6088,5711,1.665451e-02,1,1,0
R3_low_info,low-info/ocs-hard,55,70,60,20_pack,1.470992e-02,87,65,0.650020,0.296134,1.746005,6047,2190,4.193997e-02,1,0,0
R3_low_info,low-info/ocs-hard,55,75,-60,20_pack,1.446513e-02,119,98,1.050191,0.347398,1.830445,3953,3853,2.344149e-02,1,1,0
R3_low_info,low-info/ocs-hard,55,75,-45,20_pack,1.912531e-02,79,58,1.253948,0.642170,1.830445,4984,4900,2.437105e-02,1,1,0
R3_low_info,low-info/ocs-hard,55,75,-30,20_pack,2.561470e-02,31,10,0.454633,1.486346,1.830445,5779,3023,5.290698e-02,1,0,0
R3_low_info,low-info/ocs-hard,55,75,-15,20_pack,5.145380e-02,20,-1,0.505385,1.042847,1.830445,6199,3906,8.225212e-02,1,0,0
R3_low_info,low-info/ocs-hard,55,75,0,01_fullrun,6.736573e-02,21,0,0.429751,0.836213,1.830445,6290,4636,9.073138e-02,1,0,0
R3_low_info,low-info/ocs-hard,55,75,15,20_pack,2.952335e-02,71,50,0.589628,1.148010,1.830445,5968,5035,3.661239e-02,1,1,0
R3_low_info,low-info/ocs-hard,55,75,30,20_pack,2.224158e-02,85,64,0.760269,0.748699,1.830445,5717,5503,2.523644e-02,1,1,0
R3_low_info,low-info/ocs-hard,55,75,45,20_pack,1.560234e-02,107,86,1.379450,0.599642,1.830445,6052,5655,1.722738e-02,1,1,0
R3_low_info,low-info/ocs-hard,55,75,60,20_pack,1.471166e-02,86,65,0.609504,0.313755,1.830445,6015,2113,4.347346e-02,1,0,0
R3_low_info,low-info/ocs-hard,55,80,-60,20_pack,1.432826e-02,122,104,0.986694,0.294824,1.887830,3831,3729,2.399182e-02,1,1,0
R3_low_info,low-info/ocs-hard,55,80,-45,20_pack,1.876038e-02,80,62,1.203521,0.600624,1.887830,4886,4806,2.437361e-02,1,1,0
