check,status,detail
区域数 = 5,PASS,5 区域
primary 区域 = 3 (R1/R4/R3),PASS,3 primary
roll = 9 值(含0),PASS,"[-60, -45, -30, -15, 0, 15, 30, 45, 60]"
非零 roll = 8 值,PASS,"[-60, -45, -30, -15, 15, 30, 45, 60]"
primary 用 2.5 度加密,PASS,R1/R4/R3 step=2.5; R2/R5 step=5(仅对照)
规模受控(非零渲染<=2000),PASS,非零 roll 新渲染 856 <= 2000，规模受控
整数点 roll=0 fullrun 覆盖完整,PASS,"整数唯一姿态 42, 缺失 0: []"
半度点 roll=0 不静默缺失(标注新渲染),PASS,65 半度 pose 的 roll=0 标注为 21_pack 新渲染
几何仅 phase63/L1-G1,PASS,"单几何, 不做多几何"
输出仅写 21 号包,PASS,wrapper OUTPUT 固定 21_three_axis_p3_local_refinement
不改旧目录 10-20,PASS,"只读 fullrun/P2, 输出写 21 号包"
不训练/无 roll-aware,PASS,仅渲染+后处理+指标
不启动 P4/R128,PASS,仅 P3 local refinement
