region,category,priority,yaw_deg,pitch_deg,grid_type,ocs_mean,ocs_roll0,brightness_rank,info_rank,neighbor_contrast_mean,roll_sensitivity_score,max_rank_shift,pixel_contrast_mean,any_glint,any_saturation,image_usable_all
R4_bright_info_boundary,bright/robust-easy + info-boundary,primary,155.0,+20.0,integer5,7.007102e-02,7.199395e-02,31,1,1.198349,0.110177,26,0.440956,0,0,1
R4_bright_info_boundary,bright/robust-easy + info-boundary,primary,155.0,+22.5,half2p5,5.025662e-02,5.136991e-02,35,2,1.197002,0.115601,31,0.443796,0,0,1
R4_bright_info_boundary,bright/robust-easy + info-boundary,primary,157.5,+20.0,half2p5,5.109838e-02,5.266181e-02,34,3,1.188770,0.148565,23,0.427030,0,0,1
R4_bright_info_boundary,bright/robust-easy + info-boundary,primary,152.5,+22.5,half2p5,6.240351e-02,6.333954e-02,33,4,1.142032,0.105489,15,0.443433,0,0,1
R4_bright_info_boundary,bright/robust-easy + info-boundary,primary,157.5,+22.5,half2p5,3.905800e-02,4.042275e-02,67,5,1.133510,0.144832,40,0.450597,0,0,1
R4_bright_info_boundary,bright/robust-easy + info-boundary,primary,157.5,+17.5,half2p5,6.391520e-02,6.619719e-02,32,6,1.123264,0.100159,15,0.395968,0,0,1
R1_high_info,high-info,primary,247.5,+37.5,half2p5,4.860032e-02,3.509893e-02,39,7,1.114210,3.803542,87,0.690619,1,1,1
R1_high_info,high-info,primary,247.5,+40.0,half2p5,4.818270e-02,3.511555e-02,45,8,1.110790,3.802700,85,0.664537,1,1,1
R1_high_info,high-info,primary,247.5,+35.0,half2p5,4.861534e-02,3.598768e-02,38,9,1.100309,3.725903,80,0.701646,1,1,1
R1_high_info,high-info,primary,247.5,+32.5,half2p5,4.855602e-02,3.579356e-02,40,10,1.085318,3.736347,82,0.673948,1,1,1
R4_bright_info_boundary,bright/robust-easy + info-boundary,primary,152.5,+20.0,half2p5,9.060075e-02,9.206339e-02,24,11,1.084134,0.082810,25,0.452366,0,0,1
R1_high_info,high-info,primary,250.0,+37.5,half2p5,4.785626e-02,3.099334e-02,48,12,1.077836,3.462257,83,0.669326,1,1,1
R1_high_info,high-info,primary,247.5,+30.0,half2p5,4.794561e-02,3.558360e-02,47,13,1.075980,3.692265,80,0.663608,1,1,1
R1_high_info,high-info,primary,250.0,+40.0,integer5,4.854524e-02,3.117641e-02,41,14,1.070196,3.499372,84,0.703928,1,1,1
R4_bright_info_boundary,bright/robust-easy + info-boundary,primary,155.0,+17.5,half2p5,9.152472e-02,9.387110e-02,23,15,1.069601,0.092871,25,0.416813,0,0,1
