rank,region,yaw_deg,pitch_deg,roll,ocs_total,glint_flag,saturation_flag,source_pack
1,R1_high_info,245.0,30.0,15,0.208377,0,1,P3
2,R1_high_info,245.0,32.5,15,0.2079097,0,1,P3
3,R1_high_info,245.0,35.0,15,0.2062671,0,1,P3
4,R1_high_info,247.5,37.5,15,0.2056014,0,1,P3
5,R1_high_info,247.5,40.0,15,0.2035455,0,1,P3
6,R1_high_info,245.0,25.0,15,0.2032274,0,1,P2
7,R1_high_info,247.5,32.5,15,0.2025427,0,1,P3
8,R1_high_info,247.5,35.0,15,0.2023581,0,1,P3
9,R4_bright_info_boundary,147.5,12.5,-15,0.2018225,0,1,P3
10,R4_bright_info_boundary,147.5,12.5,-60,0.2015818,0,1,P3
11,R4_bright_info_boundary,147.5,12.5,-45,0.2015407,0,1,P3
12,R4_bright_info_boundary,147.5,12.5,0,0.2011461,0,1,P3
13,R4_bright_info_boundary,147.5,12.5,-30,0.2010284,0,1,P3
14,R1_high_info,245.0,37.5,15,0.2006948,0,0,P3
15,R1_high_info,247.5,30.0,15,0.1982623,0,1,P3
16,R4_bright_info_boundary,147.5,12.5,15,0.1974041,0,1,P3
17,R1_high_info,240.0,15.0,15,0.1971308,0,1,P2
18,R1_high_info,245.0,20.0,15,0.194847,0,0,P2
19,R1_high_info,242.5,30.0,15,0.1947152,0,0,P3
20,R4_bright_info_boundary,147.5,12.5,30,0.1941405,0,1,P3
