rank,yaw_deg,pitch_deg,roll,label,cluster,ocs_total,glint_flag,saturation_flag,source,ocs_ok
1,245.0,27.5,15.0,yaw2450_pitchp0275_roll+015,R1_top,0.20889048278331757,0.0,1.0,23A_new,True
2,245.0,30.0,15.0,yaw2450_pitchp0300_roll+015,R1_top,0.208377,0.0,1.0,P3_reuse,True
3,245.0,32.5,15.0,yaw2450_pitchp0325_roll+015,R1_top,0.2079097,0.0,1.0,P3_reuse,True
4,245.0,35.0,15.0,yaw2450_pitchp0350_roll+015,R1_top,0.2062671,0.0,1.0,P3_reuse,True
5,247.5,32.5,15.0,yaw2475_pitchp0325_roll+015,R1_top,0.2025427,0.0,1.0,P3_reuse,True
6,247.5,35.0,15.0,yaw2475_pitchp0350_roll+015,R1_top,0.2023581,0.0,1.0,P3_reuse,True
7,147.5,12.5,-15.0,yaw1475_pitchp0125_roll-015,R4_control,0.2018225,0.0,1.0,P3_reuse,True
8,247.5,32.5,17.5,yaw2475_pitchp0325_roll+0175,R1_top,0.20157746970653534,0.0,1.0,23A_new,True
9,147.5,12.5,0.0,yaw1475_pitchp0125_roll+000,R4_control,0.2011461,0.0,1.0,P3_reuse,True
10,242.5,27.5,12.5,yaw2425_pitchp0275_roll+0125,R1_top,0.20112067461013794,0.0,0.0,23A_new,True
11,147.5,12.5,-30.0,yaw1475_pitchp0125_roll-030,R4_control,0.2010284,0.0,1.0,P3_reuse,True
12,247.5,35.0,17.5,yaw2475_pitchp0350_roll+0175,R1_top,0.20010019838809967,0.0,1.0,23A_new,True
13,242.5,27.5,15.0,yaw2425_pitchp0275_roll+015,R1_top,0.19927522540092468,0.0,0.0,23A_new,True
14,247.5,30.0,15.0,yaw2475_pitchp0300_roll+015,R1_top,0.1982623,0.0,1.0,P3_reuse,True
15,245.0,27.5,12.5,yaw2450_pitchp0275_roll+0125,R1_top,0.19780397415161133,0.0,1.0,23A_new,True
16,245.0,30.0,12.5,yaw2450_pitchp0300_roll+0125,R1_top,0.19776536524295807,0.0,1.0,23A_new,True
17,147.5,12.5,15.0,yaw1475_pitchp0125_roll+015,R4_control,0.1974041,0.0,1.0,P3_reuse,True
18,242.5,30.0,12.5,yaw2425_pitchp0300_roll+0125,R1_top,0.19711169600486755,0.0,0.0,23A_new,True
19,245.0,32.5,12.5,yaw2450_pitchp0325_roll+0125,R1_top,0.19685949385166168,0.0,0.0,23A_new,True
20,247.5,30.0,17.5,yaw2475_pitchp0300_roll+0175,R1_top,0.19526323676109314,0.0,0.0,23A_new,True
