yaw_deg,pitch_deg,roll,exists_in_P3,ocs_total_if_exists,cluster
242.5,27.5,5.0,NEW,,R1_top
242.5,27.5,10.0,NEW,,R1_top
242.5,27.5,12.5,NEW,,R1_top
242.5,27.5,15.0,NEW,,R1_top
242.5,27.5,17.5,NEW,,R1_top
242.5,27.5,20.0,NEW,,R1_top
242.5,27.5,25.0,NEW,,R1_top
242.5,30.0,5.0,NEW,,R1_top
242.5,30.0,10.0,NEW,,R1_top
242.5,30.0,12.5,NEW,,R1_top
242.5,30.0,15.0,YES_P3,0.1947152,R1_top
242.5,30.0,17.5,NEW,,R1_top
242.5,30.0,20.0,NEW,,R1_top
242.5,30.0,25.0,NEW,,R1_top
242.5,32.5,5.0,NEW,,R1_top
242.5,32.5,10.0,NEW,,R1_top
242.5,32.5,12.5,NEW,,R1_top
242.5,32.5,15.0,YES_P3,0.1885217,R1_top
242.5,32.5,17.5,NEW,,R1_top
242.5,32.5,20.0,NEW,,R1_top
242.5,32.5,25.0,NEW,,R1_top
242.5,35.0,5.0,NEW,,R1_top
242.5,35.0,10.0,NEW,,R1_top
242.5,35.0,12.5,NEW,,R1_top
242.5,35.0,15.0,YES_P3,0.1791348,R1_top
242.5,35.0,17.5,NEW,,R1_top
242.5,35.0,20.0,NEW,,R1_top
242.5,35.0,25.0,NEW,,R1_top
245.0,27.5,5.0,NEW,,R1_top
245.0,27.5,10.0,NEW,,R1_top
245.0,27.5,12.5,NEW,,R1_top
245.0,27.5,15.0,NEW,,R1_top
245.0,27.5,17.5,NEW,,R1_top
245.0,27.5,20.0,NEW,,R1_top
245.0,27.5,25.0,NEW,,R1_top
245.0,30.0,5.0,NEW,,R1_top
245.0,30.0,10.0,NEW,,R1_top
245.0,30.0,12.5,NEW,,R1_top
245.0,30.0,15.0,YES_P3,0.208377,R1_top
245.0,30.0,17.5,NEW,,R1_top
245.0,30.0,20.0,NEW,,R1_top
245.0,30.0,25.0,NEW,,R1_top
245.0,32.5,5.0,NEW,,R1_top
245.0,32.5,10.0,NEW,,R1_top
245.0,32.5,12.5,NEW,,R1_top
245.0,32.5,15.0,YES_P3,0.2079097,R1_top
245.0,32.5,17.5,NEW,,R1_top
245.0,32.5,20.0,NEW,,R1_top
245.0,32.5,25.0,NEW,,R1_top
245.0,35.0,5.0,NEW,,R1_top
245.0,35.0,10.0,NEW,,R1_top
245.0,35.0,12.5,NEW,,R1_top
245.0,35.0,15.0,YES_P3,0.2062671,R1_top
245.0,35.0,17.5,NEW,,R1_top
245.0,35.0,20.0,NEW,,R1_top
245.0,35.0,25.0,NEW,,R1_top
247.5,27.5,5.0,NEW,,R1_top
247.5,27.5,10.0,NEW,,R1_top
247.5,27.5,12.5,NEW,,R1_top
247.5,27.5,15.0,NEW,,R1_top
247.5,27.5,17.5,NEW,,R1_top
247.5,27.5,20.0,NEW,,R1_top
247.5,27.5,25.0,NEW,,R1_top
247.5,30.0,5.0,NEW,,R1_top
247.5,30.0,10.0,NEW,,R1_top
247.5,30.0,12.5,NEW,,R1_top
247.5,30.0,15.0,YES_P3,0.1982623,R1_top
247.5,30.0,17.5,NEW,,R1_top
247.5,30.0,20.0,NEW,,R1_top
247.5,30.0,25.0,NEW,,R1_top
247.5,32.5,5.0,NEW,,R1_top
247.5,32.5,10.0,NEW,,R1_top
247.5,32.5,12.5,NEW,,R1_top
247.5,32.5,15.0,YES_P3,0.2025427,R1_top
247.5,32.5,17.5,NEW,,R1_top
247.5,32.5,20.0,NEW,,R1_top
247.5,32.5,25.0,NEW,,R1_top
247.5,35.0,5.0,NEW,,R1_top
247.5,35.0,10.0,NEW,,R1_top
247.5,35.0,12.5,NEW,,R1_top
247.5,35.0,15.0,YES_P3,0.2023581,R1_top
247.5,35.0,17.5,NEW,,R1_top
247.5,35.0,20.0,NEW,,R1_top
247.5,35.0,25.0,NEW,,R1_top
147.5,12.5,-30.0,YES_P3,0.2010284,R4_control
147.5,12.5,-15.0,YES_P3,0.2018225,R4_control
147.5,12.5,0.0,YES_P3,0.2011461,R4_control
147.5,12.5,15.0,YES_P3,0.1974041,R4_control
147.5,12.5,30.0,YES_P3,0.1941405,R4_control
