yaw_deg,pitch_deg,roll,label,cluster,ocs_total,glint_flag,saturation_flag,source,ocs_ok
242.5,27.5,5.0,yaw2425_pitchp0275_roll+005,R1_top,0.09919793903827667,0.0,0.0,23A_new,True
242.5,27.5,10.0,yaw2425_pitchp0275_roll+010,R1_top,0.17843039333820343,0.0,0.0,23A_new,True
242.5,27.5,12.5,yaw2425_pitchp0275_roll+0125,R1_top,0.20112067461013794,0.0,0.0,23A_new,True
242.5,27.5,15.0,yaw2425_pitchp0275_roll+015,R1_top,0.19927522540092468,0.0,0.0,23A_new,True
242.5,27.5,17.5,yaw2425_pitchp0275_roll+0175,R1_top,0.17356915771961212,0.0,0.0,23A_new,True
242.5,27.5,20.0,yaw2425_pitchp0275_roll+020,R1_top,0.13325978815555573,0.0,0.0,23A_new,True
242.5,27.5,25.0,yaw2425_pitchp0275_roll+025,R1_top,0.06527949124574661,0.0,0.0,23A_new,True
242.5,30.0,5.0,yaw2425_pitchp0300_roll+005,R1_top,0.09852290153503418,0.0,0.0,23A_new,True
242.5,30.0,10.0,yaw2425_pitchp0300_roll+010,R1_top,0.17278778553009033,0.0,0.0,23A_new,True
242.5,30.0,12.5,yaw2425_pitchp0300_roll+0125,R1_top,0.19711169600486755,0.0,0.0,23A_new,True
242.5,30.0,15.0,yaw2425_pitchp0300_roll+015,R1_top,0.1947152,0.0,0.0,P3_reuse,True
242.5,30.0,17.5,yaw2425_pitchp0300_roll+0175,R1_top,0.16856606304645538,0.0,0.0,23A_new,True
242.5,30.0,20.0,yaw2425_pitchp0300_roll+020,R1_top,0.12984973192214966,0.0,0.0,23A_new,True
242.5,30.0,25.0,yaw2425_pitchp0300_roll+025,R1_top,0.06350258737802505,0.0,0.0,23A_new,True
242.5,32.5,5.0,yaw2425_pitchp0325_roll+005,R1_top,0.09813183546066284,0.0,0.0,23A_new,True
242.5,32.5,10.0,yaw2425_pitchp0325_roll+010,R1_top,0.1710790991783142,0.0,0.0,23A_new,True
242.5,32.5,12.5,yaw2425_pitchp0325_roll+0125,R1_top,0.19175606966018677,0.0,0.0,23A_new,True
242.5,32.5,15.0,yaw2425_pitchp0325_roll+015,R1_top,0.1885217,0.0,0.0,P3_reuse,True
242.5,32.5,17.5,yaw2425_pitchp0325_roll+0175,R1_top,0.16220161318778992,0.0,0.0,23A_new,True
242.5,32.5,20.0,yaw2425_pitchp0325_roll+020,R1_top,0.12559716403484344,0.0,0.0,23A_new,True
242.5,32.5,25.0,yaw2425_pitchp0325_roll+025,R1_top,0.06104103848338127,0.0,0.0,23A_new,True
242.5,35.0,5.0,yaw2425_pitchp0350_roll+005,R1_top,0.09751703590154648,0.0,0.0,23A_new,True
242.5,35.0,10.0,yaw2425_pitchp0350_roll+010,R1_top,0.1666892170906067,0.0,0.0,23A_new,True
242.5,35.0,12.5,yaw2425_pitchp0350_roll+0125,R1_top,0.18324358761310577,0.0,0.0,23A_new,True
242.5,35.0,15.0,yaw2425_pitchp0350_roll+015,R1_top,0.1791348,0.0,0.0,P3_reuse,True
242.5,35.0,17.5,yaw2425_pitchp0350_roll+0175,R1_top,0.15498830378055573,0.0,0.0,23A_new,True
242.5,35.0,20.0,yaw2425_pitchp0350_roll+020,R1_top,0.11986152082681656,0.0,0.0,23A_new,True
242.5,35.0,25.0,yaw2425_pitchp0350_roll+025,R1_top,0.058237262070178986,0.0,0.0,23A_new,True
245.0,27.5,5.0,yaw2450_pitchp0275_roll+005,R1_top,0.08476638793945312,0.0,0.0,23A_new,True
245.0,27.5,10.0,yaw2450_pitchp0275_roll+010,R1_top,0.16521452367305756,0.0,0.0,23A_new,True
245.0,27.5,12.5,yaw2450_pitchp0275_roll+0125,R1_top,0.19780397415161133,0.0,1.0,23A_new,True
245.0,27.5,15.0,yaw2450_pitchp0275_roll+015,R1_top,0.20889048278331757,0.0,1.0,23A_new,True
245.0,27.5,17.5,yaw2450_pitchp0275_roll+0175,R1_top,0.1930774450302124,0.0,0.0,23A_new,True
245.0,27.5,20.0,yaw2450_pitchp0275_roll+020,R1_top,0.156571626663208,0.0,0.0,23A_new,True
245.0,27.5,25.0,yaw2450_pitchp0275_roll+025,R1_top,0.07965894788503647,0.0,0.0,23A_new,True
245.0,30.0,5.0,yaw2450_pitchp0300_roll+005,R1_top,0.08474087715148926,0.0,0.0,23A_new,True
245.0,30.0,10.0,yaw2450_pitchp0300_roll+010,R1_top,0.1649530529975891,0.0,0.0,23A_new,True
245.0,30.0,12.5,yaw2450_pitchp0300_roll+0125,R1_top,0.19776536524295807,0.0,1.0,23A_new,True
245.0,30.0,15.0,yaw2450_pitchp0300_roll+015,R1_top,0.208377,0.0,1.0,P3_reuse,True
245.0,30.0,17.5,yaw2450_pitchp0300_roll+0175,R1_top,0.1915687620639801,0.0,0.0,23A_new,True
245.0,30.0,20.0,yaw2450_pitchp0300_roll+020,R1_top,0.15754501521587372,0.0,0.0,23A_new,True
245.0,30.0,25.0,yaw2450_pitchp0300_roll+025,R1_top,0.07964949309825897,0.0,0.0,23A_new,True
245.0,32.5,5.0,yaw2450_pitchp0325_roll+005,R1_top,0.08502770215272903,0.0,0.0,23A_new,True
245.0,32.5,10.0,yaw2450_pitchp0325_roll+010,R1_top,0.1644950807094574,0.0,0.0,23A_new,True
245.0,32.5,12.5,yaw2450_pitchp0325_roll+0125,R1_top,0.19685949385166168,0.0,0.0,23A_new,True
245.0,32.5,15.0,yaw2450_pitchp0325_roll+015,R1_top,0.2079097,0.0,1.0,P3_reuse,True
245.0,32.5,17.5,yaw2450_pitchp0325_roll+0175,R1_top,0.1917119324207306,0.0,0.0,23A_new,True
245.0,32.5,20.0,yaw2450_pitchp0325_roll+020,R1_top,0.15656113624572754,0.0,0.0,23A_new,True
245.0,32.5,25.0,yaw2450_pitchp0325_roll+025,R1_top,0.0785672515630722,0.0,0.0,23A_new,True
245.0,35.0,5.0,yaw2450_pitchp0350_roll+005,R1_top,0.08414075523614883,0.0,0.0,23A_new,True
245.0,35.0,10.0,yaw2450_pitchp0350_roll+010,R1_top,0.16348208487033844,0.0,0.0,23A_new,True
245.0,35.0,12.5,yaw2450_pitchp0350_roll+0125,R1_top,0.19404736161231995,0.0,0.0,23A_new,True
245.0,35.0,15.0,yaw2450_pitchp0350_roll+015,R1_top,0.2062671,0.0,1.0,P3_reuse,True
245.0,35.0,17.5,yaw2450_pitchp0350_roll+0175,R1_top,0.18849723041057587,0.0,0.0,23A_new,True
245.0,35.0,20.0,yaw2450_pitchp0350_roll+020,R1_top,0.15318641066551208,0.0,0.0,23A_new,True
245.0,35.0,25.0,yaw2450_pitchp0350_roll+025,R1_top,0.07754239439964294,0.0,0.0,23A_new,True
247.5,27.5,5.0,yaw2475_pitchp0275_roll+005,R1_top,0.06658433377742767,1.0,0.0,23A_new,True
247.5,27.5,10.0,yaw2475_pitchp0275_roll+010,R1_top,0.13485991954803467,0.0,0.0,23A_new,True
247.5,27.5,12.5,yaw2475_pitchp0275_roll+0125,R1_top,0.171909362077713,0.0,0.0,23A_new,True
247.5,27.5,15.0,yaw2475_pitchp0275_roll+015,R1_top,0.1918971687555313,0.0,0.0,23A_new,True
247.5,27.5,17.5,yaw2475_pitchp0275_roll+0175,R1_top,0.1889883428812027,0.0,0.0,23A_new,True
247.5,27.5,20.0,yaw2475_pitchp0275_roll+020,R1_top,0.16471001505851746,0.0,0.0,23A_new,True
247.5,27.5,25.0,yaw2475_pitchp0275_roll+025,R1_top,0.08968111872673035,0.0,0.0,23A_new,True
